,Adjective,Count
1,republican,148
23,democratic,28
67,other,27
5,last,25
32,bipartisan,17
4,more,15
45,many,14
0,partisan,14
123,important,13
19,american,12
70,clear,12
24,right,12
156,moderate,12
122,political,11
119,good,11
49,able,11
16,few,11
47,next,10
149,best,10
13,strong,9
9,new,8
170,own,8
21,full,8
115,little,7
110,national,7
28,first,7
108,different,7
59,much,7
50,open,7
74,great,6
57,long,6
75,public,6
34,congressional,6
66,conservative,6
25,serious,5
90,free,5
166,constitutional,5
78,enough,5
65,legal,5
27,particular,5
33,balanced,5
136,-,4
53,responsible,4
152,appropriate,4
73,fair,4
18,positive,4
98,whole,4
35,willing,4
64,21st,4
26,minimum,4
191,same,4
37,major,4
8,significant,4
83,older,3
68,such,3
217,enormous,3
145,legislative,3
116,better,3
80,sure,3
124,hard,3
82,worried,3
220,perfect,3
10,modern,3
3,electoral,3
96,interested,3
91,fit,3
29,small,3
102,bad,3
31,economic,3
30,single,3
205,basic,3
187,short,3
163,specific,3
101,simple,3
39,several,3
195,lame,2
252,most,2
111,acceptable,2
202,liberal,2
120,huge,2
109,extreme,2
253,unanimous,2
107,african,2
106,various,2
251,private,2
214,final,2
183,key,2
181,former,2
175,unique,2
207,concerned,2
171,true,2
209,supportive,2
167,only,2
164,unconstitutional,2
160,possible,2
210,prominent,2
147,quick,2
151,impossible,2
215,old,2
182,active,2
138,smaller,2
62,accountable,2
89,personal,2
15,complete,2
11,biggest,2
84,vast,2
58,global,2
46,likely,2
52,comprehensive,2
88,latest,2
40,local,2
94,fiscal,2
99,financial,2
93,dead,2
97,international,2
230,105th,1
232,proper,1
218,plain,1
219,determined,1
231,broad,1
221,unpopular,1
222,alternative,1
223,wise,1
224,essential,1
225,ended,1
226,informal,1
227,inclined,1
228,least,1
229,certain,1
12,general,1
100,grand,1
216,brave,1
14,afraid,1
197,impeachable,1
198,aware,1
199,undecided,1
200,negative,1
201,downward,1
38,longer,1
203,tall,1
204,eager,1
36,juvenile,1
206,second,1
22,vocational,1
208,mad,1
20,annual,1
17,innovative,1
211,gratified,1
233,iraqi,1
213,cynical,1
212,real,1
237,critical,1
234,sad,1
266,interdependent,1
258,evident,1
259,maximum,1
260,consecutive,1
261,grave,1
262,conscious,1
263,strongest,1
264,far,1
265,passionate,1
267,interesting,1
235,courteous,1
268,unusual,1
269,ordinary,1
270,wrong,1
271,ultimate,1
272,live,1
273,ambitious,1
274,structural,1
275,fast,1
257,normal,1
256,okay,1
255,further,1
254,powerless,1
236,behaved,1
238,domestic,1
239,productive,1
240,proud,1
241,healthy,1
242,social,1
243,sound,1
244,common,1
245,controversial,1
246,north,1
247,korean,1
248,nuclear,1
249,unfortunate,1
250,previous,1
7,dramatic,1
6,weigh,1
2,dispositive,1
196,civil,1
189,anecdotal,1
194,broader,1
128,embarrassing,1
130,salacious,1
131,straight,1
132,sorry,1
133,honest,1
134,compelling,1
135,non,1
77,low,1
137,irrational,1
76,easier,1
139,bare,1
140,high,1
141,unfinished,1
142,fine,1
143,poor,1
144,difficult,1
72,disqualifier,1
146,hopeful,1
129,lurid,1
127,jittery,1
193,grateful,1
126,historic,1
103,sixth,1
104,historical,1
105,unbelievable,1
95,clearer,1
92,trustworthy,1
112,racist,1
113,bigger,1
114,hardcore,1
87,reliable,1
117,intense,1
118,angry,1
86,wealthier,1
85,natural,1
121,vital,1
81,realistic,1
79,federal,1
125,greatest,1
71,sexual,1
148,worthy,1
69,troubling,1
150,northwest,1
174,current,1
48,traditional,1
176,confidential,1
177,closed,1
178,top,1
179,pre,1
180,financing,1
44,chief,1
43,careful,1
184,sincerest,1
185,hollow,1
186,aggressive,1
42,unwilling,1
188,independent,1
190,senior,1
41,entrenched,1
192,welcome,1
173,unredacted,1
172,excellent,1
51,environmental,1
159,largest,1
63,focused,1
153,obvious,1
154,lucky,1
155,post,1
61,tough,1
157,conciliatory,1
158,worse,1
60,third,1
169,silly,1
161,presidential,1
162,overwhelming,1
56,antienvironmental,1
165,extra,1
55,worst,1
54,precious,1
168,happy,1
276,progressive,1
