,Word,Count
68,other,1831
36,more,1607
14,last,1334
5,new,1154
84,important,1138
0,good,1095
19,american,922
34,many,901
83,economic,697
181,first,676
57,next,664
7,long,515
298,national,500
126,great,486
176,able,484
102,public,461
41,clear,456
15,own,455
214,best,448
108,strong,433
82,international,430
28,sure,423
58,few,391
35,different,390
42,right,388
140,appropriate,388
179,much,370
52,little,367
253,same,367
43,political,348
88,financial,329
165,military,329
186,private,306
25,most,304
300,better,304
49,aware,299
147,bipartisan,293
95,federal,292
16,serious,292
278,young,287
152,such,283
101,big,281
89,global,280
287,high,272
100,several,268
40,real,267
183,possible,266
335,21st,259
70,particular,256
59,whole,237
112,open,226
17,fair,220
123,specific,219
133,human,216
33,full,215
217,significant,208
275,second,202
32,foreign,201
333,large,201
301,major,199
178,hard,197
103,additional,197
339,difficult,196
37,legal,194
414,effective,191
27,democratic,187
171,available,187
50,further,187
480,small,184
355,proud,184
3,pleased,183
104,necessary,182
9,local,182
124,certain,176
105,fiscal,169
497,old,167
314,special,166
48,least,165
80,positive,164
46,willing,163
676,palestinian,163
96,common,163
77,personal,162
194,grateful,162
164,free,161
464,enough,160
79,constitutional,158
158,only,154
289,critical,154
209,early,152
24,republican,152
47,true,148
863,nuclear,146
438,greater,144
434,lowest,142
224,past,139
215,final,138
188,senior,133
4,short,131
180,wrong,128
304,low,125
242,executive,122
44,single,122
10,ready,120
324,balanced,117
90,recent,117
524,wonderful,115
61,various,113
21,partisan,113
30,historic,111
234,current,111
270,sorry,111
109,basic,110
13,general,110
475,medical,109
461,higher,109
634,former,107
531,african,106
292,huge,106
185,comprehensive,106
23,less,106
67,close,106
325,tough,105
330,happy,104
237,entire,104
370,safe,103
675,israeli,103
114,ongoing,103
359,enormous,101
306,social,100
296,largest,99
236,key,99
598,congressional,99
534,lower,97
1242,biological,97
201,japanese,97
419,responsible,97
459,bilateral,97
268,bad,97
837,mass,95
72,glad,94
444,remarkable,94
203,domestic,94
1360,iraqi,93
276,third,93
688,individual,93
121,consistent,91
11,interested,90
709,previous,90
849,stronger,89
439,concerned,89
151,essential,88
403,permanent,87
299,smaller,87
926,korean,86
601,likely,86
347,successful,83
394,future,82
64,independent,82
641,civil,81
135,religious,80
130,fundamental,79
117,pursuant,79
168,prepared,74
594,substantial,73
159,present,73
348,diplomatic,73
260,overall,73
145,vital,73
2,brief,72
69,grand,72
143,dear,71
91,direct,71
397,minimum,71
316,correct,70
408,greatest,70
207,fine,70
154,limited,70
266,reasonable,69
113,subject,69
148,broad,69
167,peaceful,69
119,annual,69
86,late,69
586,extraordinary,69
231,interesting,69
518,environmental,68
650,productive,67
512,highest,67
1157,asian,66
97,non,66
425,delighted,65
604,legitimate,65
708,black,64
467,ordinary,64
516,rural,63
436,criminal,63
65,relevant,63
139,joint,62
878,normal,61
78,illegal,61
162,humanitarian,61
344,actual,60
555,interim,59
625,impossible,59
458,regional,58
440,safer,57
328,easy,57
644,poor,57
144,older,57
590,presidential,57
402,secure,57
208,main,55
20,helpful,55
8,electronic,55
110,simple,54
295,modern,54
1473,expeditious,53
533,average,53
389,determined,53
76,proper,53
398,easier,52
640,equal,51
297,wide,51
543,central,51
547,profound,51
465,unique,51
566,worth,51
22,unfair,51
386,fellow,50
973,elderly,50
258,potential,50
787,vast,49
205,larger,49
790,natural,49
184,legislative,47
804,mutual,47
166,similar,47
432,terrible,47
741,negative,47
195,about,47
619,unilateral,46
106,familiar,46
227,latest,46
435,violent,45
272,technical,45
690,sensitive,44
381,russian,44
313,disabled,44
342,complete,44
134,powerful,43
602,formal,43
94,official,43
469,confident,43
277,middle,42
560,magnificent,41
125,total,41
415,daily,40
360,practical,40
576,aggressive,40
225,acceptable,40
170,top,40
39,impeachable,39
595,internal,39
584,genuine,39
551,immediate,39
530,bigger,39
273,sound,38
472,unprecedented,38
515,inner,38
210,biggest,38
197,timely,38
454,strongest,38
319,hopeful,38
406,regular,38
396,healthy,38
218,clean,38
60,separate,38
99,unusual,37
712,constructive,37
876,terrorist,37
294,dramatic,37
45,very,36
390,alive,36
695,broader,36
149,diverse,36
686,useful,36
267,accurate,36
532,hispanic,36
1093,active,36
537,cultural,36
611,compelling,36
320,crucial,35
1,quick,35
536,racial,35
202,competitive,35
1241,chemical,34
763,worst,34
155,committed,34
750,informal,34
153,adequate,34
192,stable,34
361,concrete,34
655,fourth,34
303,modest,33
678,longer,33
887,sufficient,33
452,educational,33
2749,invasive,32
785,extra,32
378,native,32
38,okay,32
127,north,32
261,deep,32
706,white,32
757,outstanding,32
500,worried,32
961,colombian,32
511,smallest,32
667,industrial,32
921,mexican,31
307,accountable,31
714,scientific,31
309,dead,31
269,nice,31
418,welcome,31
816,civilian,30
376,ethnic,30
571,beautiful,30
980,affordable,30
443,unacceptable,30
341,afraid,30
730,obvious,30
477,fewer,30
55,traditional,30
523,distinguished,30
150,vulnerable,29
681,capable,29
221,anti,29
762,due,29
173,earlier,29
31,focused,29
175,overwhelming,28
966,grave,28
456,severe,28
1543,credible,28
481,20th,28
677,related,28
250,primary,28
141,rich,27
729,complicated,27
889,satisfied,27
474,meaningful,27
968,sustained,27
862,commercial,27
448,qualified,27
453,voluntary,27
550,dangerous,27
769,longest,27
501,upcoming,26
1149,honest,26
460,arab,26
471,convinced,26
668,complex,26
993,false,26
622,armed,26
911,multilateral,26
575,detailed,26
1019,indian,26
163,homeless,26
249,popular,26
280,initial,26
1515,rapid,26
349,warm,26
1011,agricultural,25
636,physical,25
62,guilty,25
588,progressive,25
235,longstanding,25
707,urban,25
495,extensive,25
775,fast,25
1270,worse,25
431,brave,25
552,solid,24
293,half,24
212,european,24
455,nearest,24
996,countless,24
699,tragic,24
451,innovative,24
1104,decent,24
442,administrative,24
577,precious,24
187,eligible,23
753,substantive,23
488,wise,23
654,corporate,23
1052,northern,23
731,exact,23
445,prosperous,23
596,efficient,23
851,prudent,23
1133,tired,23
383,strategic,23
970,perfect,23
807,closer,22
614,continued,22
198,elementary,22
274,original,22
350,ultimate,22
1369,historical,22
352,tremendous,22
1121,younger,21
768,sustainable,21
572,supportive,21
265,cooperative,21
1866,underground,21
660,heavy,21
1239,excellent,21
340,firm,21
238,urgent,21
514,poorest,21
1163,precise,21
373,spanish,21
1110,cold,20
1627,post,20
808,explicit,20
924,surprised,20
997,harder,20
945,chinese,20
204,temporary,20
1167,brazilian,20
499,worthy,20
694,alone,20
433,professional,20
798,terrific,19
941,vigilant,19
1254,judicial,19
665,awful,19
387,impressed,19
