,Word,Count
25,so,2772
11,here,2258
42,very,2228
2,now,2203
9,when,1889
0,just,1831
24,how,1599
39,also,1309
47,where,1114
6,then,968
16,as,946
19,more,915
27,there,886
7,back,859
21,again,831
15,forward,829
121,why,761
44,well,698
23,together,669
8,still,658
53,much,651
65,even,609
72,only,600
40,really,527
105,most,487
36,first,486
13,all,482
28,ago,476
30,certainly,473
94,too,390
34,far,374
76,never,352
35,actually,345
73,ever,315
49,always,314
54,already,310
33,obviously,265
1,right,258
107,clearly,257
90,hard,255
111,long,252
108,of,242
112,about,240
74,out,234
55,particularly,226
48,ahead,209
50,else,205
22,yet,204
32,later,202
5,probably,202
79,before,192
31,up,189
83,especially,185
101,finally,180
82,once,178
85,therefore,177
133,quite,175
122,fully,169
113,over,168
67,in,163
89,almost,158
160,away,157
45,maybe,147
138,simply,145
132,pretty,145
212,rather,144
12,at,143
91,earlier,139
128,quickly,137
41,specifically,136
92,nearly,134
56,perhaps,131
235,sort,128
77,down,127
232,basically,124
179,better,123
286,directly,123
154,home,122
46,further,118
164,often,117
43,closely,112
149,enough,111
75,though,111
240,soon,107
84,however,106
38,absolutely,104
106,instead,103
217,no,103
58,around,101
324,longer,97
17,recently,92
120,strongly,90
104,ultimately,89
166,indeed,88
61,on,85
129,early,82
233,kind,80
100,second,79
20,personally,78
60,exactly,75
93,sometimes,74
172,that,70
250,less,68
187,seriously,68
176,publicly,67
57,forth,65
142,truly,64
200,effectively,63
144,essentially,61
281,generally,61
3,secondly,61
68,alone,60
215,otherwise,60
145,completely,58
157,apparently,57
125,aside,55
191,increasingly,53
205,deeply,53
186,literally,52
184,abroad,52
37,somehow,51
127,fairly,51
218,matter,50
4,sometime,49
126,currently,47
95,significantly,46
198,elsewhere,45
226,third,45
192,profoundly,43
18,frankly,43
51,normally,43
80,unfortunately,42
325,least,42
155,dramatically,41
195,repeatedly,41
97,sincerely,40
131,hopefully,39
151,everywhere,39
241,somewhat,39
99,immediately,39
251,extremely,38
173,is,38
69,along,37
194,highly,36
148,twice,36
379,forever,35
308,approximately,35
103,late,35
118,precisely,35
64,possibly,34
159,virtually,34
141,anywhere,33
174,previously,33
26,necessarily,33
311,carefully,33
373,hereby,32
267,largely,32
137,somewhere,32
178,after,31
66,closer,31
274,best,31
307,prior,31
146,importantly,30
62,politically,30
237,eventually,29
444,substantially,29
52,apart,29
158,properly,29
134,anymore,29
297,rapidly,28
115,primarily,28
10,surely,27
114,mostly,27
333,totally,26
123,next,26
227,fourth,26
109,course,26
385,vigorously,25
102,by,25
302,actively,25
329,briefly,25
295,shortly,24
323,little,24
170,thus,23
429,off,23
252,expeditiously,22
272,sooner,22
220,terribly,22
261,anyway,21
143,close,21
211,aggressively,21
245,roughly,21
275,behind,21
257,overseas,21
369,economically,21
229,whenever,21
292,usually,20
314,equally,20
216,badly,20
464,fast,20
321,harder,20
183,through,20
116,afterwards,20
378,regardless,20
163,greatly,19
289,wherever,19
499,fundamentally,18
375,privately,18
526,potentially,18
246,presumably,18
436,accordingly,17
86,successfully,17
238,outside,17
304,any,17
269,widely,17
162,entirely,16
367,relatively,16
242,solely,15
247,slightly,15
617,inevitably,15
236,real,15
199,neither,15
202,mutually,15
290,historically,15
390,nonetheless,14
418,hardly,14
449,partly,14
374,thereby,14
350,traditionally,14
