,Word,Count
0,the white house,106
9,the oval office,23
1,the cabinet room,9
23,the wye river conference center,5
11,the marriott wardman park hotel,4
21,oslo,4
108,vatican,4
205,the baldrige awards,4
62,capitol,3
190,presidential hall,3
82,osan air base,3
2,the wye plantation,3
50,rose garden,2
49,the great plains,2
44,pennsylvania avenue,2
76,the map room,2
81,the korea training center,2
90,the algiers accords,2
102,the state dining room,2
105,the commonwealth of puerto rico,2
71,mosques,2
114,the kennedy center honors,2
109,the u .n,2
113,andrews air force base,2
38,the kennedy space center,2
122,the governor's mansion,2
135,the blair house,2
146,the gaza airport,2
153,the promised land,2
154,middle east peace process q,2
156,gaza international airport,2
159,the south lawn pavilion,2
177,wayne o,2
183,the kentucky derby,2
187,millennium project,2
201,lafayette park,2
39,the northwest gate,2
106,erskine bowles,2
31,the dayton accords,2
19,the rose garden,2
15,the crown prince,2
20,the conference center,2
16,camp david,2
10,heritage abroad,2
151,gaza airport,1
152,beltway,1
14,the kosovar-albanians,1
13,the nato actord,1
155,the convention center,1
12,the white house conference on hate crimes,1
157,the golden age of spain,1
37,the river house,1
149,the new international airport,1
158,palestine national charter,1
160,the baghdad hilton,1
161,the international space station,1
162,shriver,1
163,arlington national cemetery,1
164,schuessel,1
165,the tirana conference,1
166,the jerusalem hilton hotel,1
150,the shawwa center,1
147,ben gurion airport,1
148,the jerusalem convention center,1
137,the holy temple,1
129,schedule 4,1
130,schedule 5,1
131,schedule 6,1
132,schedule 8,1
133,schedule 9,1
134,ulster,1
136,the reischauer-aaron,1
138,west point,1
168,constitution,1
139,paul hill,1
140,the wye river accords,1
141,the war room,1
142,war room,1
143,gaston hall,1
144,city hall,1
145,the united nations,1
167,beit hanassi,1
169,the bill emerson good samaritan food donation act,1
127,schedule 2,1
4,the higher education bill,1
193,louis international airport st .,1
194,the jackson mann elementary school,1
195,the boston park plaza,1
196,the washington hilton,1
197,the grand hyatt hotel,1
198,cecil f,1
199,little rock,1
200,yellowstone national park,1
202,the mann jackson elementary school,1
191,ambassadors yvonne a-baki,1
203,the dayton peace accords,1
204,the nato military authorities,1
3,the child literacy bill,1
206,the morris k,1
207,the washington hilton hotel,1
208,raghadan palace,1
209,the atomic energy act,1
210,sesame street,1
192,the roman rota,1
5,the new world,1
170,pleasant view gardens,1
179,the fdr memorial,1
171,pleasant view,1
172,christa spangler,1
173,the plain language awards transcript,1
174,the state floor,1
175,the dream palace of the,1
176,the rose bowl,1
8,the white house conference on child care,1
178,kent m,1
180,title iii,1
189,grand forks,1
181,the corcoran gallery of art,1
182,the lincoln memorial,1
7,the top cops,1
184,title one,1
185,regency house,1
186,the florida everglades,1
6,brandywine creek,1
188,fleetwood mac,1
128,schedule 3,1
125,the congressional ball,1
126,schedule 1,1
69,ankara accords,1
61,the seneca falls convention,1
32,these green areas/natural reserves,1
63,latino,1
64,proposition 227,1
65,the mexico-u .s,1
66,hurricane mitch,1
67,the gulf region,1
68,the iran-iraq war,1
70,broadway,1
29,wye plantation on the eastern shore,1
72,moton field,1
73,the fayetteville choir,1
74,the little rock nine,1
75,arkansas regional airport,1
30,the global environmental facility gef,1
77,hurricane georges,1
78,montgomery g .i,1
79,the apec business summit,1
60,the even start family literacy program,1
59,children,1
58,the grand staircase-escalante national monument,1
57,kennedy space center,1
40,the mahatma gandhi memorial act,1
41,the prayer breakfast,1
42,the new psalmist baptist church,1
43,the rio grande,1
35,houghton house,1
45,phonogram treaty,1
46,bolívar plaza,1
47,surgeon general,1
48,pad 39a,1
34,wye plantation,1
33,the port of gaza,1
51,kathleen mcginty as chair of the council on environmental quality,1
52,the rogue river national forest,1
53,folsom dam,1
54,the conference room,1
55,the atom building,1
56,the john f,1
80,dmz,1
28,"the narcotics trafficking sanctions regulations """,1
36,the aspen institute wye river conference center,1
115,room 450,1
25,the white house conference on school safety : causes and prevention of youth violence,1
24,the carmichael house,1
107,white house,1
22,the commons room,1
110,the newport jazz festival,1
111,fort adams,1
112,fort mchenry,1
18,the u .n .,1
116,the capitol hilton,1
83,thais,1
117,national pearl harbor remembrance day,1
118,pearl harbor,1
119,netherlands antilles,1
120,the netherlands antilles,1
121,angus s,1
17,the white house conference,1
123,andre previn,1
124,shirley temple black,1
104,guinea-bissau,1
103,the holy land,1
26,yellowstone park,1
101,"the ""land of 10",1
84,sports center,1
85,the comprehensive nuclear test ban treaty ctbt,1
86,appointments clause,1
87,the golden eagle passport,1
88,hyde park,1
89,heraclio tolley h .r,1
27,united states attorneys,1
91,osan air force base,1
92,the asia-pacific economic conference,1
93,the akasaka palace,1
94,okinawa,1
95,the town hall,1
96,futenba air base,1
97,the imperial residence,1
98,akasaka palace,1
99,salton sea reclamation act,1
100,memorial,1
211,big bend national park,1
