,Word,Count
2,the united states,968
12,america,927
112,iraq,491
20,japan,336
90,israel,237
1,washington,209
17,kosovo,164
61,korea,152
38,new york,151
136,pakistan,151
22,russia,146
25,brazil,130
8,united states,111
168,mexico,108
156,colombia,107
137,north korea,105
70,california,100
135,india,91
83,the state of the union,83
16,the united states of america,79
172,china,76
107,gaza,70
7,cuba,69
106,florida,68
29,bosnia,67
315,iran,63
71,arkansas,58
59,guam,58
65,maryland,57
41,chicago,55
192,jordan,53
267,honduras,53
56,states,52
86,"washington , dc",48
6,h .r,43
268,nicaragua,42
93,northern ireland,40
211,baltimore,37
58,jr .,37
24,germany,33
138,boston,32
44,argentina,32
64,the district of columbia,32
72,texas,32
469,libya,31
66,virginia,31
367,south korea,29
132,the west bank,28
104,illinois,27
213,burma,26
647,usa,26
153,montenegro,26
26,peru,26
27,ecuador,26
261,baghdad,26
214,sudan,25
164,north carolina,25
60,malaysia,25
84,new york city,24
23,turkey,24
272,el salvador,23
294,venezuela,23
269,guatemala,22
175,madam,22
82,vietnam,21
67,michigan,21
392,cyprus,20
286,kuwait,20
152,the federal republic of yugoslavia serbia,19
491,rhode island,18
291,minnesota,18
170,canada,18
133,jerusalem,18
21,france,17
408,ethiopia,17
31,yugoslavia,16
299,taiwan,16
409,eritrea,16
3,kentucky,16
167,spain,16
466,afghanistan,16
122,los angeles,15
78,great britain,14
370,tokyo,14
421,osaka,14
184,angola,14
358,tennessee,13
95,ireland,13
32,belgrade,13
143,md,13
63,georgia,13
103,utah,12
101,massachusetts,12
75,ohio,12
283,south africa,12
313,new zealand,12
238,thailand,12
253,saudi arabia,12
343,sr .,12
79,wyoming,12
237,indonesia,12
115,pennsylvania,11
606,the republic of serbia,11
399,north korea's,11
393,ukraine,11
18,serbia,11
76,alabama,11
597,detroit,11
45,chile,11
524,hanukkah,11
99,the soviet union,11
204,philadelphia,11
4,new jersey,11
117,mississippi,11
126,seq .,10
48,italy,10
40,miami,10
140,the state of the union address,10
197,egypt,10
144,missouri,10
57,the united kingdom,10
467,congo,10
372,seoul,10
386,geneva,10
245,little rock,10
641,atlanta,10
110,london,9
109,amman,9
49,us,9
712,bih,9
403,moscow,9
154,albania,9
700,romania,9
30,syria,9
506,nigeria,9
177,the u .n .,9
310,australia,8
301,paris,8
304,haiti,8
118,jonesboro,8
381,greece,8
111,oslo,8
68,puerto rico,8
486,dayton,8
633,indiana,8
625,buffalo,8
353,va,8
262,the u .n,8
276,nevada,7
199,slovenia,7
271,costa rica,7
373,mtcr,7
102,north dakota,7
443,south korea's,7
73,south carolina,7
54,new hampshire,7
507,croatia,7
19,connecticut,7
425,hawaii,7
485,herzegovina,6
369,kuala lumpur,6
37,the czech republic,6
234,queens,6
298,arizona,6
241,england,6
119,springfield,6
300,tibet,6
94,rwanda,6
295,bahrain,6
278,colorado,6
479,oklahoma city,6
274,soviet union,6
414,okinawa,6
337,lebanon,6
216,louisiana,6
537,lawton,6
55,hollywood,6
62,the united states',5
215,new orleans,5
731,cologne,5
198,alexandria,5
231,kazakhstan,5
463,seattle,5
47,columbus,5
196,queenstown,5
50,poland,5
423,ghana,5
431,yongbyon,5
162,montana,5
383,cleveland,5
147,washington state,5
607,the republic of montenegro,5
243,brooklyn,5
155,macedonia,5
535,masada,5
123,san francisco,5
434,alaska,5
433,the republic of korea,5
270,belize,5
540,tel aviv,5
9,inc .,4
543,bethlehem,4
296,qatar,4
255,hungary,4
316,switzerland,4
312,the netherlands,4
556,the russian federation,4
279,new mexico,4
290,podesta,4
558,oman,4
297,marijuana,4
555,duma,4
77,new haven,4
356,jones,4
603,delaware,4
442,pyongyang,4
445,u .n,4
578,the socialist republic of vietnam,4
427,beijing,4
574,lockerbie,4
194,uganda,4
166,pinochet,4
120,oregon,4
339,iowa,4
598,wisconsin,4
201,the federal republic of yugoslavia,4
145,kansas,4
161,mongolia,4
398,budapest,3
509,kyrgyzstan,3
588,moldova,3
435,san diego,3
287,georgetown,3
410,arlington,3
394,the hague,3
510,tajikistan,3
404,orville,3
402,vermont,3
501,cambodia,3
275,las vegas,3
511,uzbekistan,3
636,bangladesh,3
380,netherlands,3
440,kyoto,3
655,erie county,3
407,camp david,3
475,new york state,3
352,newport,3
487,the republic of bosnia,3
492,milwaukee,3
355,ar,3
311,belgium,3
572,j .c,3
308,panama,3
306,tegucigalpa,3
559,shelton,3
457,the new republic,3
366,kuwaiti,3
450,the federated states,3
448,micronesia,3
379,philippines,3
635,dc,3
600,kurdistan,3
265,matthew,3
230,cape canaveral,3
200,the korea-u .s,3
87,iris,3
121,paducah,3
244,new york's,3
176,the gaza strip,3
226,houston,3
151,prc,3
157,app .,3
711,college park,3
13,sweden,3
96,manhattan,3
219,bolivia,3
69,the dominican republic,3
227,maine,3
11,norway,3
10,iceland,3
100,south dakota,3
80,laramie,3
124,long beach,3
150,the people's republic of china,3
563,capitol,2
632,san antonio,2
478,kashmir,2
130,wye mills,2
483,the republic of bosnia and herzegovina,2
484,the republic of croatia,2
165,united kingdom,2
74,bresnahan,2
638,racak,2
331,memphis,2
160,beersheba,2
329,newark,2
488,bosnia and herzegovina,2
642,denver,2
212,brussels,2
473,cedar rapids,2
129,the republic of lithuania,2
387,vienna,2
579,the state of maryland,2
377,sultan,2
581,montgomery county,2
613,the district of columbia court of appeals,2
97,mexico city,2
186,benguela province,2
179,the virgin islands,2
615,the democratic republic of the congo,2
191,d .c .,2
91,prague,2
347,the state of arkansas,2
388,plenary,2
361,moran,2
390,scotland,2
195,capital city,2
568,a federal republic of yugoslavia,2
202,watts,2
624,catellus,2
560,austria,2
474,zimbabwe,2
326,bronx,2
51,pulaski,2
490,bosnia-herzegovina,2
280,governorships,2
736,chiapas,2
724,wintergreen,2
127,the republic of estonia,2
288,ventura,2
515,luke,2
432,amcham,2
285,beverly malone,2
430,akasaka,2
419,the korea training center,2
281,palestine,2
671,the state of the union address released,2
719,tanker,2
420,plymouth,2
429,hiroshima,2
252,morocco,2
538,east africa,2
273,birmingham,2
428,nagasaki,2
259,madrid,2
722,the district of columbia courts',2
534,gaza city,2
424,west africa,2
596,resolutions,2
706,appalachia,2
28,brasilia,2
39,palm beach,2
36,bulgaria,2
587,azerbaijan,2
116,pearl,2
652,kenya,2
33,breaux,2
496,wynne,2
305,central africa,2
505,laos,2
159,hatch,2
302,hurricane mitch,2
589,turkmenistan,2
586,armenia,2
400,levin,2
436,dallas,2
680,oakton,2
452,the marshall islands,2
235,newsday,2
314,uae,2
725,pine ridge,1
582,camden yards,1
728,damascus,1
726,duluth,1
723,the district of columbia courts,1
583,west baltimore,1
584,christa,1
585,the city of neighborhoods,1
727,mobile,1
662,khobar,1
580,annapolis,1
554,the russian duma,1
552,houghton,1
551,peace,1
550,puerto rico's,1
740,yemen,1
741,leonard r,1
549,jew,1
742,petersen,1
548,jericho,1
547,nablus,1
546,jenin,1
545,tulkarem,1
544,hebron,1
743,plenipotentiary,1
542,ramallah,1
541,haifa,1
539,the state of israel,1
536,wye,1
