,Word,Count
5,constitution,115
8,bill of rights,86
34,the national emergencies act,22
244,the wye agreement,18
12,law 105,13
71,law 105-277,10
20,the trade act,10
58,the interim agreement,10
291,abm,9
40,the foreign assistance act,9
128,section 1,9
116,the iraq liberation act,9
47,the universal declaration of human rights,8
132,the reform act,7
231,resolution 1022,6
31,the comprehensive test ban treaty,6
293,the abm treaty,5
48,the chemical weapons convention,5
41,the kyoto protocol,4
230,resolution 1074,4
154,section 5,4
284,the community reinvestment act,4
182,section 301,4
184,the algiers accords,4
46,control act,3
288,education accountability act,3
52,section 609,3
287,the biological weapons convention,3
260,the copyright agreement,3
38,section 117,3
80,the wye plantation,3
269,article 2,3
247,section 2,3
0,the internet tax freedom act,3
274,article one,3
210,the wye accords,3
312,the atomic energy act,3
158,section 4,3
315,section 123,3
134,the reform act's,3
120,the civil rights act,3
317,the research act,3
186,the national security advisor,2
183,the security account,2
78,the first amendment,2
162,the glenn amendment,2
252,the national security adviser,2
250,the universal declaration,2
74,section 401,2
72,the religious freedom act,2
187,the nuclear non-proliferation treaty,2
248,the bill of rights,2
147,chapter 9,2
144,resolution 1153,2
139,the taiwan relations act,2
138,law enforcement act,2
137,section 203,2
220,ryan white act,2
237,the peace agreement,2
133,the uniform standards act,2
221,the brownback amendment,2
222,section 202,2
224,proclamation 6961,2
121,the little rock nine,2
117,the memorandum of agreement,2
119,the voting rights act,2
181,the international religious freedom act,2
28,the telecommunications act,2
32,national defense authorization act,2
283,the fair housing act,2
22,the budget enforcement act,2
285,community reinvestment act,2
24,balanced budget act,2
299,superfund,2
7,"the ""international religious freedom act of 1998",2
6,higher education act,2
27,disabilities act,2
3,older americans act,2
211,section 1003,1
212,the anti-terrorism act,1
216,the oecd guidelines for the security of information systems,1
310,the national instant check system,1
309,the brady act,1
213,m1-abrams,1
214,the wye accord,1
308,the prime act,1
215,the oecd privacy guidelines,1
306,the nato defense ministers,1
217,wipo copyright treaty,1
218,section 902,1
307,the iraqi national accord,1
208,"the national security adviser , sandy berger",1
305,the nato defense ministers',1
219,section 101,1
304,article v agreement,1
303,law 105-174,1
302,invasive species management plan,1
223,the nafta implementation act,1
209,law 104-208,1
275,boundary waters treaty,1
207,law 105-394 assistive technology act,1
311,paperwork reduction act,1
316,"law 105-305 ""research act",1
185,the general declaration of the algiers accords,1
188,the comprehensive nuclear test ban treaty,1
189,the kyoto protocol on climate change report,1
190,law 105-369,1
191,law 105-370 correction officers health and safety act,1
192,law 105-371,1
193,law 105-373,1
194,law 105-376,1
195,protection act,1
196,law 105-378,1
197,food stamp act,1
198,law 105-383,1
199,guard authorization act,1
200,law 105-384,1
314,the nuclear non-proliferation act,1
201,law 105-385,1
202,flight commemoration act,1
203,"public law 105-390 police , fire",1
313,the nuclear proliferation assessment statement,1
204,law 105-391,1
205,management act,1
301,noxious weed act of 1974,1
206,law 105-392 health professions education partnerships act,1
227,section 204b1a,1
225,proclamation 6969,1
265,unscr 883,1
253,the oslo accord,1
254,the wye agreement q,1
256,"the ""wag the dog"" syndrome",1
257,the mutual recognition agreement,1
258,"the ""copyright agreement""",1
259,section 104a of title 17 of the united states code,1
282,section 134,1
261,chapter 4 of part ii,1
262,section 1601,1
263,the foreign affairs reform and restructuring act,1
264,the libyan sanctions regulations,1
281,condition 4a,1
286,title i and goals 2000,1
266,the earned income tax credit,1
280,condition 9,1
267,defense authorization act,1
268,the helsinki agreement,1
279,section 4101,1
278,1958 public law 85-507,1
270,article 1,1
277,the government employees training act,1
276,chapter 41,1
271,the hague convention,1
272,section 111,1
251,the pnc charter,1
249,national security adviser berger,1
226,the tariff act,1
235,the united nations participation act,1
273,section 201,1
228,section 604,1
229,the trade act 19,1
300,the national environmental policy act,1
298,paycheck fairness act,1
297,educational accountability act,1
296,resolution 16,1
295,framework agreement,1
232,"the ""peace agreement""",1
233,section 1114,1
234,the federal aviation act,1
236,the peace agreement and resolution 1022,1
289,"the ""employment non-discrimination act""",1
294,the chemical weapons treaty,1
238,law 103-308,1
239,the tax code,1
240,the venezuelan constitution,1
241,law 105-85,1
242,the constitution of the united states,1
243,good friday,1
292,no abm treaty,1
245,the international covenant on civil and political rights iccpr,1
246,the convention against torture and other cruel,1
290,roe,1
255,the wye agreement for arafat,1
159,section 401c,1
180,"the foreign assistance act to provide emergency disaster relief assistance for honduras , nicaragua ,",1
65,law 105-266,1
73,the low-income home energy assistance program liheap,1
70,law 105-276,1
69,law 105-272 intelligence authorization act,1
68,law 105-269,1
67,commemorative coin act,1
66,gallatin land consolidation act,1
64,great lakes fish and wildlife restoration act,1
179,law 105-368,1
63,law 105-260,1
62,"the ""african growth and opportunity act"" transcript of a press briefing by secretary of state madeleine albright",1
61,the lusaka protocol,1
60,participation act,1
59,article xxii 1 of the interim agreement,1
57,section 754,1
75,section 405,1
76,section 402c,1
77,section 107,1
79,section 423,1
81,equal pay act,1
82,the wipo performances,1
83,article i of the constitution,1
84,article ii,1
85,section 3 of the constitution,1
86,high-performance computing act,1
87,bilateral investment treaty,1
88,wye river agreement q,1
89,defense reorganization act,1
90,charter school expansion act,1
91,law 105-280,1
92,enhancement and protection act,1
93,law 105-282,1
