,Word,Count
27,$200 million,22
120,$100 million,14
23,$5 billion,13
36,$1 billion,12
74,$400 million,12
26,$1 .1 billion,10
30,$500 million,8
201,$15 billion,8
166,$1 .5 trillion,8
122,$10 million,8
19,$300 million,7
119,$70 billion,7
268,$900 million,7
210,$150 million,7
152,$1 .2 billion,7
41,$40 million,7
40,$30 million,6
175,14,6
33,$2 billion,6
85,$1 .4 billion,6
10,millions of dollars,6
9,$1 million,6
100,$290 billion,6
167,10,5
237,$18 million,5
417,2 cents,5
371,$2 .7 trillion,5
137,$120 billion,5
354,$600 million,4
365,100,4
106,$283 million,4
207,$500 billion,4
123,a billion dollars,4
98,billions of dollars,4
53,$35 million,4
56,$90 billion,3
13,$180 million,3
75,nearly $3 billion,3
244,$501 million,3
367,600,3
34,$3 billion,3
141,$2 million,3
140,$5 million,3
164,$1 .5 billion,3
368,400,3
298,25,3
369,a dollar,3
62,$300 billion,3
304,$1-billion,3
418,over 14 cents,3
130,$156 million,3
150,$70 million,3
113,$7 million,3
108,$160 million,3
103,300,3
324,more than $1 trillion,3
217,nearly $2 billion,3
271,more than $120 billion,3
193,about $2 billion,3
28,$60 million,3
204,$20 billion,3
111,$139 million,2
145,$20 million,2
143,up to $30 million,2
110,$50 million,2
255,hundreds of millions of dollars,2
273,$1 trillion,2
252,850,2
296,130,2
384,hundreds of billions of dollars,2
267,several billion dollars,2
377,$579 billion,2
127,over $100 million,2
258,20,2
126,$110 million,2
124,250,2
211,nearly $200 billion,2
155,$185 million,2
363,about $500 billion,2
299,$60 billion,2
325,$24 billion,2
209,some $200 million,2
208,$13 billion,2
203,$200 billion,2
320,tens of billions of dollars,2
330,up to $25 million,2
191,about $100 million,2
186,$80 million,2
183,$40 billion,2
182,19,2
348,$1 .3 billion,2
319,more than a trillion dollars,2
221,$8 billion,2
174,another $1 billion,2
173,almost $2 billion,2
171,more than $1 .5 trillion,2
351,more than $85 billion,2
169,$30 billion,2
238,more than $100 million,2
303,about $1 .5 trillion,2
165,5 u .s .c,2
242,$157 million,2
358,$110 billion,2
153,over $1 .2 billion,2
151,16,2
387,several hundred million dollars,2
0,$18 billion,2
105,$6 billion,2
57,$1 .9 billion,2
88,$125 million,2
399,about $1,2
406,billion-dollar,2
70,17,2
69,$25 million,2
416,little over 13 cents,2
55,every penny,2
92,50,2
51,$22 billion,2
423,15,2
39,500,2
37,$4 billion,2
434,$79 billion,2
5,more than 100 million,2
