,Word,Count
0,american,860
9,americans,623
4,republicans,347
1,democrats,338
2,republican,189
56,palestinian,166
54,palestinians,165
53,israelis,126
10,japanese,117
55,israeli,98
3,democratic,97
110,iraqi,93
81,asian,64
39,african-american,56
67,korean,45
22,russian,43
111,iraqis,38
40,hispanic,34
66,mexican,34
50,african-americans,34
77,indian,31
74,colombian,30
14,russians,30
72,chinese,29
108,african,28
165,the north koreans,27
38,democrat,27
32,arab,26
168,north korean,26
109,british,24
13,european,22
20,spanish,21
157,cuban,20
62,irish,18
122,central american,18
83,brazilian,18
28,jewish,16
201,assistant,16
85,african american,16
86,african americans,15
128,muslims,15
134,kurdish,15
288,mexicans,14
103,native american,13
12,german,12
47,serb,12
44,serbian,12
167,pakistani,12
92,hispanics,11
87,colombians,10
16,serbs,10
181,south korean,10
27,christian,10
26,muslim,10
239,libyan,9
84,turkish,9
140,kurds,9
63,native americans,9
107,catholic,8
227,christians,8
158,iranian,8
155,greek,8
205,bosnian serb,8
136,french,7
180,north koreans,7
65,italian,7
101,american indians,7
60,kedo,7
102,indians,7
46,albanian,6
90,sudanese,6
243,jordanian,6
118,hispanic-americans,6
36,new yorkers,6
148,jews,6
29,buddhist,5
105,arabs,5
11,europeans,5
35,germans,5
250,argentine,5
174,central americans,5
164,the south koreans,5
138,soviet,5
120,latin american,5
135,swiss,4
153,arkansans,4
100,canadians,4
166,aegean,4
19,brazilians,4
162,malaysian,4
244,released,4
73,cali,4
30,hindu,4
70,koreans,4
236,islamic,4
206,the bosnian serbs,4
163,indonesians,4
57,syrian,4
228,puerto ricans,3
240,vietnamese,3
231,austrian,3
215,venezuelan,3
218,western,3
183,south koreans,3
176,cypriot,3
170,indonesian,3
171,africans,3
144,shia,3
89,burmese,3
51,asian-americans,3
24,nazi,3
58,lebanese,3
45,kdom,3
31,taoist,3
25,communist,3
251,nigeria,2
232,islam,2
149,italians,2
189,pilgrims,2
261,zambian,2
186,burma,2
145,kuwaitis,2
91,andean,2
190,australian,2
258,muslim americans,2
234,non-muslims,2
185,east asian,2
233,koran,2
194,hispanic americans,2
235,106th,2
68,canadian,2
161,malaysians,2
82,caspian,2
52,irish-americans,2
178,japanese-americans,2
238,scottish,2
42,harvey,2
192,mozambiquans,2
93,native-american,2
124,marine,2
125,hurricane mitch,2
17,peruvian,2
286,asian americans,2
210,afghan,2
114,founders,2
217,totalitarian,2
116,saudis,2
104,floridians,2
207,greek americans,2
219,romans,2
220,arab-american,2
203,pakistanis,2
241,dominicans,2
196,czech,2
15,south american,2
223,jewish-americans,2
95,corinthians,2
276,macedonian,2
269,holiness,2
222,palestinian-americans,1
216,greek-americans,1
37,herculean,1
230,hill democrats,1
237,muslim-americans,1
59,bosnian,1
226,south africans,1
225,protestants,1
224,arab-americans,1
41,balkan,1
221,jewish-american,1
242,nigerians,1
229,moslem,1
21,prussian,1
49,kudos,1
48,kosovar albanians,1
268,confucian,1
270,scandinavian,1
271,evelyne,1
272,alesia,1
273,mcgovern,1
274,thai,1
275,chinese-american,1
277,bosnians,1
278,croatians,1
279,abacha,1
280,middle eastern,1
281,jordanians,1
282,federalism,1
283,yugoslav,1
284,all south africans,1
285,mongolian,1
287,kevorkian,1
267,gregorian,1
266,saline,1
265,ethiopian,1
253,all-american,1
245,puig-lugo,1
246,bogosian,1
247,savitz,1
248,asians,1
249,south african,1
214,oklahoma democratic,1
252,south kingstown,1
254,assists,1
264,eritrean,1
255,virginians,1
256,conservatives,1
257,laughter]—american,1
259,caribbean,1
260,icelandic,1
262,westerners,1
263,marines,1
61,unionist,1
198,hispanic-american,1
213,southern,1
97,salvadorans,1
137,vx,1
94,white americans,1
139,assyrian,1
141,sunnis,1
142,assyrians,1
143,yezedis,1
146,himalayan,1
147,bulgarian,1
150,vartan gregorian,1
151,armenian,1
152,promethean,1
88,the african american,1
154,non-african-american,1
23,polish,1
156,latin,1
96,nicaraguans,1
133,iraqi kurdish,1
159,wildcats,1
132,sotocano,1
18,chilean,1
112,ovarian,1
113,communists,1
115,baptist,1
117,moslems,1
119,central european,1
99,american-russian,1
121,patients,1
98,haitians,1
123,non-african-americans,1
126,pan-asian,1
127,slovenian,1
129,taiwanese,1
130,search,1
131,nicaraguan,1
8,nordic-american,1
160,tibetans,1
212,bahamian,1
187,chamorro,1
191,norwegian,1
193,congolese,1
195,asian american,1
197,slovak,1
106,floridian,1
199,nationalists,1
200,south asian,1
5,non-democratic,1
202,new democrats,1
204,pakistani-american,1
64,va,1
34,greens,1
208,cypriot americans,1
209,kashmiri,1
211,southwest asian,1
188,micronesians,1
184,a south korean,1
80,slepian,1
33,german-american,1
7,scandinavia,1
79,christianity,1
78,annex,1
6,north american,1
169,saudi,1
76,arabic,1
75,dennis,1
172,ukrainian,1
173,eurasian,1
71,han,1
175,summers,1
69,non-korean,1
177,osakans,1
179,iranians,1
182,non-japanese,1
43,congressional democrats,1
