,Word,Count
4,congress,1145
7,social security,808
1,senate,760
3,the white house,658
2,house,520
25,u .s,324
49,state,283
15,the u .s,270
52,medicare,253
811,unscom,203
5,white house,187
45,nation,122
11,imf,111
56,nato,110
365,apec,83
13,treasury,81
290,americorps,66
535,cabinet,65
172,administration,61
102,press,61
136,federal,57
67,u .n,56
170,wto,55
175,the justice department,54
368,the united nations,53
55,security council,52
179,the federal government,51
75,the judiciary committee,50
70,eu,46
325,the federal register,45
193,the republican party,41
30,ofac,41
521,the security council,41
499,council,39
79,the state of the union,39
241,pentagon,38
247,u .s .c,37
108,the world bank,34
86,the democratic party,34
18,hmo,34
127,the office of the press,33
48,the independence of the united states of america,33
177,defense,33
256,fed,33
118,medicaid,31
352,the house judiciary committee,31
304,the palestinian authority,31
94,the house of representatives,31
360,the european union,30
228,the department of justice,30
418,pollard,30
194,the international monetary fund,30
1424,the independent counsel,29
601,dnc,29
422,pnc,28
324,armed forces,28
261,the state department,27
26,the department of state,27
2151,sfor,25
51,clinton,25
161,nsc,25
167,commerce,24
621,the trust fund,24
226,cia,24
716,sec,24
243,the u .s .,23
125,fbi,22
131,the u,22
599,wye,21
190,hud,20
197,united nations,20
191,governors,20
21,omb,19
1484,boeing,18
1117,wmd,18
707,agriculture,18
208,the world trade organization,18
218,tribunal,17
298,government,17
1027,the secret service,17
312,the department of defense,17
816,ctbt,17
196,the united nations security council,17
126,capitol hill,17
87,the supreme court,16
77,committee,16
97,education,16
463,usda,16
229,health and human services,16
329,the office of the federal register,16
80,union,16
272,interior,15
252,national security advisor,15
192,federal government,15
539,islam,15
207,counsel,15
158,the digest of other white house announcements,15
1718,bethlehem,15
517,executive,15
515,unita,15
187,the united states senate,14
98,labor,14
399,order,14
2006,bumpers,14
798,the washington post,14
159,national economic council,13
2011,the task force,13
0,edt mr,13
871,usaid,13
78,the white house counsel,13
684,cnn,12
1280,nafta,12
103,the national security council,12
321,the department of commerce,12
700,lawton chiles,11
585,the treasury department,11
401,the department of the treasury,11
371,the omnibus consolidated and emergency supplemental appropriations act,11
214,nac,11
292,the peace corps,11
428,commission,11
10,the white house's,11
867,the u .n .,11
366,the new york times,11
951,the united states government,11
200,fda,11
263,justice,10
84,daschle,10
584,secret service,10
914,iaea,10
47,witness whereof,10
238,cops,10
469,nih,10
1982,the working group,10
279,fema,10
220,army,10
777,the department of agriculture,10
322,my administration,10
363,the commerce department,10
1455,hill,10
880,the white house counsel's office,10
878,the office of personnel management,10
206,the oval office,10
299,the national government,10
222,pell,9
1126,united states government,9
85,ag,9
889,the joint chiefs,9
1217,atf,9
2406,the university of maryland,9
613,the department of health and human services,9
622,the department of labor,9
149,foreign service,9
148,the uniformed services,9
99,hhs,9
145,the environmental protection agency,9
1517,the medicare trust fund,9
744,the social security trust fund,8
2193,thaad,8
1179,partners,8
1545,fry s&m,8
933,bw,8
602,sba,8
338,annex,8
928,vx,8
1684,the international labor organization,8
1530,dlc,8
538,the palestinian national council,8
760,national security,8
276,plo,8
50,oaa,8
600,rnc,8
2184,abm,8
373,the international emergency economic powers,8
233,the department of education,8
188,the united states congress,7
1089,dmz,7
1536,usitc,7
2486,the advisory board,7
303,the national labor relations board,7
115,the family and medical,7
765,oslo,7
156,the general assembly of the united nations,7
522,eastern,7
813,dod,7
143,the labor department,7
2009,task force,7
319,the office of management and budget,7
408,customs service,7
1574,transportation,7
346,yellowstone,7
22,cda,7
71,cr,7
784,opm,7
1946,the national science board,6
34,at&t,6
209,the national security advisor,6
689,nasa,6
317,department,6
265,supreme court,6
715,srf,6
43,clinton the white house,6
1400,the social security conference,6
1377,"the foreign operations , export financing",6
1947,national science foundation,6
215,kdom,6
253,state department,6
843,okinawa,6
370,un,6
88,buddy,6
572,white house conference on social security,6
129,the board of directors of the u .s,6
130,institute of peace,6
653,the overseas private investment corporation,6
923,navy,6
91,unity,6
374,united states code,6
2228,universal savings accounts,6
1063,the judiciary committee's,6
1068,oecd,6
1573,the department of transportation,6
1538,hts,6
1034,general assembly,6
1103,q&a,6
382,the national science foundation,6
931,air force,6
540,judaism,6
1564,state of the union,6
1139,nsg,6
666,the congressional black caucus,6
2137,usa,6
420,the executive committee,6
