,Word,Count
0,lockhart,3402
1,joe,1182
24,clinton,448
278,berger,204
327,saddam hussein,185
207,hillary,156
247,arafat,123
889,saddam,121
269,netanyahu,120
307,albright,120
30,william j,114
592,gore,81
97,rubin,70
31,lott,69
324,ruff,62
5,sam,62
46,milosevic,62
1217,kim,60
280,sandy,59
4,starr,59
8,hill,57
891,butler,57
791,cohen,55
262,god,53
9,daschle,53
65,gene,52
194,transcript,52
128,brady,50
323,hyde,48
40,kennedy,46
300,riley,44
3,monica lewinsky,44
1107,obuchi,44
309,hussein,43
63,yeltsin,42
75,gephardt,41
235,chuck schumer,41
59,bell,38
94,reed,38
433,ross,36
633,john,36
57,cardoso,34
308,sandy berger,33
245,schumer,33
12,ken starr,32
544,pastrana,31
632,john glenn,31
198,joe lockhart,30
103,dobbins,30
436,kofi annan,29
531,helen,29
195,joe lockhart transcript,28
225,bumpers,28
196,gene sperling,27
542,lewinsky,27
1585,chavez,25
272,john podesta,25
58,bush,25
16,scott,24
1069,davis,24
586,herman,24
263,steve,24
44,shalala,24
325,gingrich,23
725,hillary clinton,23
279,david,23
1073,kendall,23
857,mike,23
64,holbrooke,22
66,bruce,22
501,barbara boxer,22
21,paula jones,22
1062,chelsea,21
855,primakov,21
495,jim,21
246,al gore,20
597,crowley,20
1723,ramadan,19
17,barry,19
253,bill,19
602,daley,19
348,tipper gore,19
1030,livingston,19
302,carol moseley-braun,19
1184,roosevelt,18
1110,lieberthal,18
301,reno,18
212,johnson,18
129,patients,17
1024,mozambique,17
534,wolf,17
762,ryan,17
205,blair,17
1506,jackson,17
685,summers,16
867,amy,16
109,witness whereof,16
875,glickman,16
1112,smith,16
533,martin luther king,16
502,barbara,16
408,pinochet,16
276,delay,15
798,joyner,15
871,brian atwood,15
223,dale bumpers,15
627,larry,15
569,steve grossman,15
816,sec,15
453,slater,14
221,peter,14
1108,kim dae-jung,14
854,craig,14
224,cuomo,14
93,head start,14
431,rabin,14
23,bennett,14
322,henry hyde,14
342,greenspan,14
683,lady,13
330,yasser arafat,13
1404,thurman,13
51,schroeder,13
1033,sharif,13
60,reagan,13
1460,breaux,12
1079,tipper,12
830,saddam hussein's,12
356,bob,12
197,larry summers,12
470,nelson mandela,12
883,zedillo,12
1221,chikushi,12
681,newt gingrich,12
1422,mitchell,12
120,tom,12
277,samuel berger,12
1332,williams,12
853,greg craig,12
84,byrd,12
1839,larry flynt,11
92,bruce reed,11
518,mark,11
471,jesse jackson,11
403,wye,11
214,jeffords,11
1074,jiang zemin,11
230,chuck,11
415,barshefsky,11
935,eisenhower,11
792,shelton,11
310,sharon,11
304,clark,11
780,king,10
33,mikulski,10
793,tariq aziz,10
625,mccaffrey,10
41,lieberman,10
821,jennings,10
88,betty,10
111,pulaski,10
1423,archer,10
96,jack lew,10
1644,eleanor roosevelt,10
435,charter,10
2,bob bennett,10
43,cardin,9
1253,theodore roosevelt,9
1631,weld,9
678,bill clinton,9
810,lincoln,9
49,dodd,9
1790,central kitchen,9
1850,donna,9
389,franklin roosevelt,9
1464,riedel,9
47,richard holbrooke,9
115,truman,9
806,smiley,9
400,baucus,9
104,menem,9
32,mccain,9
407,miller,9
746,yitzhak rabin,9
703,moynihan,9
1768,helms,8
432,jonathan pollard,8
384,binyamin netanyahu,8
1473,mike espy,8
1035,bob livingston,8
62,gerhard schroeder,8
1027,gutierrez,8
130,boris yeltsin,8
87,betty currie,8
50,chirac,8
52,the briefing room 2,8
1773,hilton head,8
1679,richard butler,8
1720,weizman,8
378,glenn,8
2557,jordan,8
117,specter,8
852,chuck ruff,8
206,matthew shepard,8
211,carter,8
481,counsel,8
188,jr,8
81,rangel,8
1127,annan,8
173,extraordinary,8
1397,chissano,8
