,Word,Count
4,act,87
6,patients,45
5,000,21
53,convention,14
15,memorandum,11
63,charter,10
10,202d,8
58,air force one,8
7,constitution,7
19,204c,7
18,401c,6
56,treaty,5
49,scud,5
98,task force,4
93,protocol ii,4
57,cbw,4
12,y2,4
17,protocol,3
87,402a,3
1,discovery,3
89,409a,3
92,start ii,2
74,204b,2
96,article one,2
76,647a,2
52,regulations,2
77,hereto,2
80,declaration,2
23,287c,2
43,latino,2
104,pontiff,2
9,rodino,2
73,201b,1
72,assistant,1
75,cessna,1
71,brownback,1
70,tda,1
69,opic,1
68,phonograms treaty,1
78,301a,1
79,517b,1
0,the rio protocol,1
90,505c,1
81,article ii,1
99,mojave,1
109,715th,1
108,cspan,1
107,adolf hitler,1
106,articles ii,1
105,55—take,1
103,the start ii,1
102,401k,1
101,title iii,1
100,connolly,1
97,105th,1
82,frd,1
95,protocol ii additional,1
94,protocol ii's,1
91,772,1
66,sub-fora,1
88,"paragraph 1 , 2",1
86,cathedral,1
85,resolutions 678,1
84,accord,1
83,accords,1
67,performances,1
55,cyberview lodge,1
65,540d,1
64,105-379,1
32,bernice myer,1
31,405d,1
30,403b,1
29,570d,1
28,guinness,1
27,anti-hmo,1
26,act s,1
25,travel,1
24,the space shuttle discovery,1
22,a2,1
21,a1,1
20,article ii7f,1
16,117d,1
14,"the ""intelligence authorization act",1
13,technical amendments act,1
11,eshoo,1
8,oslo ii,1
3,the top cops,1
2,nation 1that,1
33,401b,1
34,mars,1
35,mars pathfinder,1
47,title ii,1
62,379 / private law 105-6,1
61,the automobile national heritage area,1
60,105-355,1
59,fed-ex,1
54,stars,1
51,"the ""automobile national heritage area act",1
50,grammy,1
48,the p-5 foreign ministers,1
46,747,1
36,buddy,1
45,307a,1
44,seven,1
42,scriptures,1
41,"the ""william f",1
40,iii,1
39,curt flood act,1
38,border smog reduction act,1
37,remodel 5,1
110,workshop,1
