,Word,Count
73,people,3523
74,time,1757
60,today,1681
319,years,1528
253,way,1317
207,year,1300
386,country,1078
196,things,970
6,process,962
225,world,926
15,issues,824
754,children,820
238,lot,785
139,day,774
43,issue,754
31,work,741
121,question,737
25,budget,735
395,peace,712
133,laughter,683
143,thing,682
285,economy,668
85,part,653
67,case,651
71,members,640
764,school,622
47,point,561
258,money,532
24,morning,525
205,system,519
248,efforts,511
66,fact,507
421,program,506
36,care,503
879,agreement,498
544,meeting,492
278,schools,487
152,days,486
216,government,484
374,countries,468
23,education,463
281,support,462
70,number,460
622,security,457
172,law,441
525,future,438
540,century,436
90,percent,434
297,week,434
104,impeachment,430
8,term,428
35,health,427
69,questions,420
94,policy,419
411,information,418
292,community,403
366,life,400
316,interest,397
235,leaders,387
204,surplus,387
114,yesterday,386
501,decision,384
7,bill,381
200,chance,379
14,tax,378
141,place,376
538,progress,373
812,opportunity,370
183,kind,366
493,administration,364
567,tomorrow,364
55,report,360
257,programs,359
40,job,352
86,view,345
730,family,338
59,vote,334
1087,weapons,331
163,leadership,330
435,families,330
118,end,326
63,committee,325
1220,trade,324
17,state,320
11,growth,319
194,situation,317
193,effort,317
185,election,317
107,order,314
715,others,310
32,position,310
494,action,301
274,months,300
132,one,299
202,plan,296
926,terms,293
565,problem,293
137,business,287
790,teachers,287
5,statement,285
646,parties,278
197,rights,275
521,areas,269
456,press,266
105,sense,265
516,lives,265
270,legislation,262
751,investment,262
432,communities,261
371,nation,259
268,problems,259
402,history,259
287,idea,258
394,times,258
1908,witnesses,256
122,person,256
416,role,254
391,commitment,252
428,home,252
450,challenges,251
462,crisis,250
22,crime,250
500,defense,247
0,afternoon,243
1112,rate,242
210,side,242
295,weeks,242
226,reform,240
1200,force,240
1902,trial,237
2,couple,235
313,discussion,234
26,team,232
526,steps,231
1159,record,230
373,women,229
479,region,227
563,answer,227
1113,respect,225
326,section,222
57,party,222
130,cooperation,222
298,message,220
1024,child,220
600,ability,219
140,development,214
108,lawyers,213
147,reason,213
64,public,213
483,decisions,212
553,example,210
99,need,210
771,jobs,208
666,agenda,208
588,conference,207
702,trip,207
168,speech,207
76,office,207
732,market,206
110,level,204
959,course,203
607,threat,202
518,area,201
811,initiative,201
620,emergency,197
103,standards,197
799,funds,196
87,proposal,196
712,ways,196
306,sides,195
198,environment,193
244,markets,193
48,night,193
452,service,192
440,resources,192
184,strategy,189
277,schedule,189
120,member,188
517,majority,188
164,tonight,187
758,kids,187
382,freedom,186
542,credit,182
408,hand,182
594,group,181
476,access,180
58,line,180
1,briefing,179
506,drug,179
222,funding,178
349,period,177
862,responsibility,176
511,deal,175
810,income,174
460,violence,174
1819,response,173
458,actions,172
1104,debt,172
41,letter,171
480,authority,170
689,welfare,170
537,citizens,170
113,subject,169
1106,police,169
1247,assistance,168
1018,friends,168
938,step,167
144,bit,165
224,importance,164
208,words,164
760,technology,164
473,forces,163
457,moment,163
327,basis,161
763,challenge,161
892,date,160
1019,prosperity,160
166,evidence,160
682,matter,160
415,senators,159
776,increase,157
396,war,157
644,discussions,156
283,concerns,156
177,news,155
486,interests,154
550,relationship,154
519,rates,154
455,right,153
61,politics,153
304,talks,152
2078,sanctions,152
431,training,151
267,concern,151
786,states,150
1327,use,150
1600,past,149
100,facts,149
4081,censure,149
453,groups,148
492,parents,148
750,sperling,148
676,testimony,148
157,sort,147
1021,laws,146
524,options,146
424,thousands,146
206,ideas,146
541,mind,146
272,hope,145
619,difference,145
390,nations,145
470,compliance,145
1236,quality,143
791,class,143
623,list,142
532,campaign,142
96,beginning,139
312,hours,138
51,month,138
740,research,138
4,statements,137
1096,gun,137
1426,agencies,137
203,plans,136
414,millions,136
651,staff,136
247,measures,136
801,students,135
718,word,135
37,event,134
2360,missile,134
33,debate,134
331,services,134
243,resolution,133
830,amount,133
495,benefits,132
1037,generation,132
1260,power,132
1011,democracy,131
717,remarks,131
559,sector,130
602,change,130
624,rules,130
639,drugs,129
1577,effect,129
556,steel,129
571,impact,129
855,faith,129
882,room,128
1628,implementation,128
617,understanding,128
131,details,128
407,activities,127
720,rest,126
586,meetings,126
2501,retirement,126
1071,enforcement,125
722,intention,125
536,policies,124
891,thanks,124
1219,obligations,123
417,needs,123
577,status,123
338,companies,123
657,extent,123
2358,destruction,122
800,opportunities,122
191,argument,122
568,man,122
477,negotiations,122
442,choice,122
469,goal,121
949,success,121
545,hands,120
759,college,120
249,attention,119
1361,friend,119
866,judgment,118
2207,neighbors,118
1598,numbers,117
1393,stability,116
1042,officials,116
176,views,116
376,land,115
704,visit,115
579,unemployment,115
1603,organizations,114
1151,space,114
1528,elections,114
503,reasons,114
444,help,114
474,relief,113
1150,confidence,113
1605,conditions,112
1064,addition,112
21,governments,112
606,weekend,112
12,internet,112
523,regard,111
1053,food,111
89,calls,111
1025,wage,111
220,kinds,110
2387,savings,109
62,partisanship,109
737,evening,108
1213,air,108
149,session,107
1022,society,107
1171,aid,105
1130,systems,105
372,men,105
686,commitments,104
508,industry,104
329,result,104
1431,mission,104
260,places,104
887,purpose,103
2924,articles,103
618,provisions,103
546,lines,103
165,reaction,103
816,results,102
259,tobacco,102
877,leader,102
34,floor,102
111,standard,101
1333,risk,101
698,points,101
1029,baby,100
2030,changes,100
1187,vice,100
240,table,100
158,series,99
279,businesses,99
729,story,99
803,safety,98
393,allies,98
792,size,98
160,hour,97
6352,managers,97
1246,justice,97
569,control,96
595,differences,96
1255,race,95
774,poverty,95
437,responsibilities,95
56,documents,95
572,minutes,95
1845,conversations,94
261,provision,94
1212,ground,94
351,persons,94
1351,city,94
339,agreements,93
1599,inspectors,92
129,events,92
290,strength,92
1265,protection,92
2424,terrorism,92
680,trouble,92
276,context,92
1229,track,91
1402,road,91
2346,readiness,90
213,nature,90
574,half,90
2161,opposition,89
170,spirit,89
293,solution,88
1043,decades,88
441,homes,88
289,comments,88
1739,cost,88
1356,cities,88
1320,property,88
380,determination,87
1211,troops,87
560,exports,87
348,none,87
1350,capital,87
674,heart,86
412,age,86
2519,framework,86
528,review,86
1163,treatment,85
871,deficit,85
288,cut,85
834,initiatives,85
1072,officers,85
475,workers,84
669,finance,84
2287,inflation,83
903,package,83
1216,range,82
688,farmers,82
731,test,82
706,phone,82
687,discipline,82
783,reports,82
1031,insurance,82
842,water,81
1343,presence,81
570,trust,81
362,courage,81
418,seniors,81
1559,expansion,80
849,balance,80
1178,delegation,80
1358,official,80
153,priorities,80
925,conversation,80
1308,votes,80
190,jury,79
923,oil,79
389,values,79
1721,parts,79
201,focus,79
2068,consensus,79
95,matters,78
1055,partnership,78
700,conflict,77
1111,guns,77
303,settlement,76
735,.m,76
608,request,76
1396,path,75
1582,institutions,75
1230,obligation,75
664,address,75
3850,missiles,75
1172,recovery,74
633,experts,74
239,language,74
1297,costs,74
305,dollars,74
2672,accounts,74
314,proposals,74
527,priority,74
794,grades,73
690,items,73
1144,direction,73
499,choices,73
1098,cases,73
642,assessment,73
1488,vision,72
779,ones,72
2052,polls,72
653,town,72
1170,disaster,72
1206,face,72
2059,employees,72
1204,relations,72
1277,experience,72
507,benefit,71
611,announcement,71
807,goals,71
236,spending,71
1304,investments,70
1716,site,70
1708,military,70
1738,opening,70
2042,circumstances,70
1065,approach,70
1449,applause,70
1107,tools,69
81,television,69
4143,perjury,69
46,front,69
1097,stories,69
831,presentation,68
409,third,68
2088,voters,68
896,operation,68
1238,classrooms,68
952,promise,68
1108,streets,67
770,summer,67
778,hundreds,67
1117,authorities,67
296,investigation,67
781,construction,67
1070,behalf,67
610,presidents,67
1092,head,67
2037,means,67
171,counsel,67
1811,recommendations,67
1928,consequences,66
2692,grandchildren,66
3653,secretary,66
1002,cause,66
1258,requirements,66
1289,form,66
1059,individuals,65
1709,population,65
929,economies,65
1380,minority,64
613,cuts,64
1349,percentage,64
846,possibility,64
2019,attack,64
1468,computer,63
179,advantage,63
1667,court,63
383,dignity,63
484,will,63
307,option,63
934,elements,63
336,account,63
983,principles,62
109,arguments,62
1432,light,62
1570,talk,62
346,charges,62
82,conclusion,62
1518,set,62
2969,gentlemen,61
1060,levels,61
1955,exchange,61
566,developments,61
192,truth,61
648,consultation,61
404,honor,61
1275,advice,61
1269,movement,61
1122,background,60
378,self,60
315,passage,60
766,teacher,60
705,wife,60
27,coverage,60
1639,fund,60
1314,neighborhoods,60
510,patients,60
746,purposes,60
1803,document,60
1495,contribution,60
951,millennium,59
1208,answers,59
787,districts,59
300,call,59
1439,partners,59
741,dinner,59
739,cancer,59
727,media,59
2361,equipment,59
232,reforms,59
1252,crimes,59
1526,capacity,58
2383,agency,58
1722,summit,58
1126,quarter,58
2580,trading,58
136,comment,58
573,lunch,58
251,dollar,58
1511,boomers,57
471,resolutions,57
1653,loans,57
2968,ladies,57
1239,housing,57
2789,treaty,57
2551,burden,56
399,contributions,56
3877,chemical,56
2069,labor,56
2332,goods,56
397,anniversary,56
16,commerce,56
1561,portion,56
135,opinion,56
1751,phase,55
555,imports,55
443,facilities,55
1353,building,55
2242,pressure,55
1081,house,55
1121,street,55
1935,operations,54
797,classes,54
2246,management,54
2889,firearms,54
155,game,54
900,border,54
1039,task,54
677,detail,54
2786,threats,54
895,personnel,53
2117,sectors,53
2382,aircraft,53
1035,skills,53
178,consideration,53
1829,dialogue,53
467,death,53
1416,energy,53
3652,deputy,52
2340,banking,52
1326,products,52
1023,potential,52
878,generations,52
643,dispute,52
649,representatives,51
815,promotion,51
652,material,51
1406,boom,51
973,discovery,51
1631,condition,51
1271,measure,51
80,motion,51
3713,species,50
447,participation,50
681,duty,50
2582,allegations,50
343,transactions,50
229,fire,50
755,grade,50
711,hearings,50
1589,regime,50
2832,inspections,50
3013,season,50
145,middle,50
942,name,49
2097,return,49
726,thoughts,49
2316,audience,49
1953,accordance,49
