,Word,Count
3,mr,6026
11,president,5964
4,lockhart,4582
10,house,1686
55,united,1449
56,states,1390
12,joe,1256
145,america,1197
21,congress,1186
176,secretary,1128
42,security,1087
19,white,1066
41,social,865
5,senate,789
159,americans,720
70,clinton,613
9,act,584
100,state,567
950,iraq,523
26,senator,485
409,minister,434
397,national,416
521,prime,403
99,department,362
22,republicans,345
109,government,342
214,japan,341
18,democrats,337
186,council,326
584,korea,323
992,saddam,319
420,general,311
78,new,311
274,union,300
24,washington,298
82,federal,275
170,medicare,274
98,october,262
146,north,256
872,berger,254
819,chairman,248
350,wye,247
930,hussein,246
788,vice,244
818,israel,240
103,office,239
585,november,219
341,east,216
168,congressman,212
267,committee,211
137,william,210
172,john,208
255,york,205
75,administration,204
2247,unscom,202
340,middle,195
272,ambassador,195
391,december,195
110,january,186
47,laughter,185
726,hillary,182
974,ms,180
607,governor,178
357,bill,177
215,asia,177
210,god,176
94,law,173
48,first,173
182,kosovo,169
93,public,166
928,palestinians,165
1694,est,164
49,lady,161
129,international,158
394,press,157
1048,pakistan,154
490,rights,152
25,hill,151
114,american,149
228,russia,147
46,imf,145
1116,aids,140
820,arafat,139
887,king,137
60,world,137
252,constitution,134
281,director,134
383,rubin,133
285,south,133
856,netanyahu,132
245,brazil,131
1,room,130
151,nation,129
577,central,129
269,tuesday,127
927,israelis,126
817,gore,126
926,albright,126
273,february,124
63,justice,123
193,nato,122
69,mrs,121
50,treasury,120
384,mexico,119
185,nations,118
506,service,115
1044,africa,112
73,end,110
375,board,109
1199,colombia,108
653,transcript,107
320,republic,107
33,counsel,105
102,commission,104
617,california,103
876,sandy,102
431,war,102
20,starr,101
17,judiciary,101
197,fund,101
61,bank,100
104,foreign,100
538,deputy,99
591,district,97
736,defense,96
535,assistant,96
489,patients,95
1047,india,94
587,economic,94
0,briefing,92
722,republican,91
39,schumer,90
669,apec,90
845,dr,90
405,development,90
313,party,89
28,representative,89
520,may,87
36,kennedy,86
240,monday,86
343,friday,85
163,speaker,84
949,china,84
929,gaza,83
2208,gulf,82
152,september,80
2957,kim,80
13,bob,79
141,day,78
16,lewinsky,78
249,bosnia,77
470,attorney,76
866,ruff,76
158,lott,76
270,cabinet,76
918,florida,75
275,gene,75
184,europe,75
1546,jordan,74
944,ii,73
1015,agreement,73
1922,christmas,73
704,commerce,72
62,chief,72
349,saturday,72
620,arkansas,71
97,cuba,71
2505,butler,71
353,david,71
718,trade,70
504,peace,70
596,maryland,70
283,affairs,69
198,health,68
1011,management,68
23,sam,68
369,force,67
177,shalala,67
999,palestinian,67
582,guam,66
792,chuck,66
317,sunday,66
2497,iran,65
360,education,65
126,services,65
911,african,65
1198,register,64
987,hyde,64
27,daschle,64
891,riley,63
337,conference,63
90,democratic,63
111,june,62
316,april,62
183,milosevic,62
859,podesta,61
1177,cohen,61
377,labor,61
961,human,60
1024,center,60
1171,roosevelt,60
1155,august,59
34,ken,59
166,members,59
76,policy,58
1117,americorps,58
354,reed,58
385,city,58
677,river,58
336,thursday,57
335,wednesday,57
487,brady,57
187,special,57
1189,executive,57
1257,hiv,56
279,dobbins,56
344,chicago,56
763,dc,56
720,wto,55
1420,convention,55
35,jim,54
854,ireland,54
1283,koreans,54
156,lord,54
2251,honduras,54
15,monica,53
106,control,53
779,mayor,52
603,northern,52
783,bumpers,51
265,group,51
276,bruce,51
262,yeltsin,51
189,richard,51
292,barbara,50
1144,glenn,50
964,west,50
574,agency,50
655,larry,49
95,march,49
74,statement,48
850,steve,48
372,start,48
2954,obuchi,48
1112,agriculture,48
236,eu,47
719,organization,47
2391,mike,47
1279,european,47
196,trust,47
633,robert,46
453,advisory,46
29,gephardt,46
32,independent,46
296,representatives,46
575,james,46
551,jr,45
1667,latin,45
223,chancellor,45
1190,order,45
1192,armed,45
480,capitol,45
263,yugoslavia,45
1557,reverend,45
194,serbia,45
1997,sec,44
750,budget,44
1193,forces,44
1176,year,44
777,staff,44
1077,emergency,44
257,bell,44
338,school,44
2252,nicaragua,43
592,columbia,43
1000,authority,43
113,corporation,42
1380,ross,42
1740,baltimore,41
1582,jackson,41
2417,thanksgiving,41
226,oval,41
311,thomas,41
503,institute,40
479,july,40
539,administrator,40
1376,pollard,40
778,address,39
528,park,39
998,pope,39
322,court,39
1659,davis,39
107,ofac,39
