,Word,Count
33,think,5080
2,going,2502
143,know,2348
81,said,1951
124,say,1742
1,make,1643
79,want,1496
167,thank,1302
50,go,1263
111,made,1234
17,believe,1131
0,let,1058
74,come,916
64,take,915
41,see,903
46,work,800
115,done,775
373,give,772
40,look,760
12,need,754
437,help,729
51,put,720
54,doing,718
93,working,716
352,like,644
24,got,636
224,continue,621
52,mean,546
226,ask,535
77,saying,519
60,talk,516
220,keep,507
169,try,496
26,tell,496
47,hope,466
133,trying,464
36,move,437
61,talking,415
183,had,412
138,making,391
88,talked,381
127,asked,363
522,expect,363
193,came,362
31,given,348
296,provide,344
210,bring,340
80,support,339
371,meet,337
239,find,337
181,understand,331
256,looking,326
116,based,324
237,including,322
58,heard,316
404,worked,312
30,deal,309
486,feel,303
154,seen,302
307,set,297
164,coming,293
175,announced,291
21,getting,283
213,having,279
120,thought,273
59,get,271
454,went,262
635,agreed,259
814,build,254
78,taken,254
186,save,252
73,live,251
90,told,249
496,remember,246
497,use,243
392,wanted,242
451,met,235
28,call,223
829,address,218
114,vote,213
84,called,209
276,pay,206
192,used,206
801,involved,201
18,happen,200
3,read,198
71,speak,190
331,pass,189
387,took,188
262,happened,188
267,leave,187
438,ensure,185
100,makes,183
505,says,181
6,create,178
62,taking,175
173,become,173
92,saw,171
478,reach,171
56,needs,169
357,begin,168
113,moving,167
248,change,166
481,stand,165
318,protect,163
510,follow,163
359,discuss,162
455,believes,162
426,strengthen,162
10,allow,160
693,gave,159
150,giving,157
189,spend,157
152,agree,156
494,wants,156
313,brought,155
583,gone,154
137,spent,153
55,answer,153
108,means,153
105,sent,153
203,following,152
423,goes,152
862,released,151
429,start,150
15,mentioned,149
394,tried,149
395,raise,148
381,act,148
134,stay,148
57,decide,146
503,signed,146
250,remain,146
268,passed,146
467,helping,142
233,asking,142
1140,hear,141
369,comes,141
345,needed,140
205,committed,140
219,continuing,140
53,helped,137
780,promote,137
447,spoke,137
364,face,131
20,started,131
461,putting,130
631,stop,129
374,provided,129
463,discussed,126
1037,growing,126
388,improve,125
475,sign,123
396,reduce,122
328,lead,122
247,expressed,120
208,dealing,120
67,seems,120
630,include,120
686,felt,119
190,serve,119
350,turn,118
674,knew,118
711,respond,117
264,left,116
532,run,116
222,consider,115
421,providing,114
524,listen,114
549,wait,114
16,meeting,112
9,raised,111
708,spoken,111
721,known,109
272,end,109
348,maintain,109
245,show,109
14,invest,108
622,learn,106
411,develop,106
214,hold,105
145,led,104
400,join,104
290,report,104
377,continues,103
76,laid,101
590,takes,101
349,living,101
85,received,100
769,grow,100
570,knows,100
382,prevent,100
964,implement,100
168,related,100
317,share,99
163,works,98
131,send,98
319,expand,98
375,decided,97
35,cooperate,97
309,honor,97
726,using,96
228,encourage,95
335,proposed,95
389,extend,95
1005,voted,95
1719,increase,95
952,changed,94
112,reached,94
121,moved,94
1163,presented,93
553,saving,93
109,seek,93
472,play,93
621,includes,92
398,held,92
637,cut,91
1001,continued,90
293,provides,89
483,speaking,89
148,add,89
221,running,89
393,required,89
781,welcome,89
89,happens,88
316,building,88
299,require,88
207,telling,87
34,indicated,87
91,remains,87
179,focus,87
1395,began,87
1092,thinking,87
403,recognize,87
468,participate,85
556,fought,84
785,achieve,84
1611,lost,84
1346,suggest,84
232,paid,84
209,supported,83
551,killed,83
201,pursue,82
171,found,82
758,increased,82
688,keeping,82
659,accept,82
442,buy,81
243,wish,81
305,reported,80
1111,bringing,80
103,resolve,80
581,established,80
344,gives,80
521,gets,80
528,plan,79
13,fight,79
258,elected,79
956,prepare,79
1030,seem,78
128,answered,78
450,intend,78
140,gotten,78
298,issued,78
1119,became,77
983,avoid,77
828,bless,76
159,developing,76
691,looked,76
29,comment,75
671,declared,75
425,created,75
1056,comply,74
745,offer,74
848,concerning,73
96,establish,73
1068,determined,73
413,included,73
527,sit,73
992,forget,72
970,teach,72
603,deserve,72
1079,won,72
1572,announce,72
1415,thinks,71
1014,leading,70
595,open,70
321,celebrate,69
489,explain,69
44,listening,69
83,return,68
608,affect,68
1221,served,68
19,watching,67
136,fighting,67
958,described,66
1414,looks,66
607,designed,66
991,supposed,66
1126,watch,66
614,opposed,65
1251,win,65
728,learned,65
25,focused,65
1602,advance,65
511,written,64
200,express,64
651,resolved,64
354,lose,64
678,kept,64
821,stood,64
492,receive,63
632,turned,63
800,dealt,63
330,urge,63
376,carry,63
97,deliver,62
1259,allowed,62
1264,remove,62
1106,supporting,62
953,choose,62
539,speculate,61
385,protecting,61
182,assume,61
495,preserve,61
235,care,60
441,believed,60
386,strengthening,60
82,calling,60
562,attend,60
302,developed,60
87,happening,60
223,considering,59
543,finish,59
69,argue,59
251,changing,58
749,appoint,58
1065,determine,58
586,considered,58
2465,present,58
861,covered,58
1676,returned,58
459,sending,58
449,restore,58
1675,traveled,58
1187,regarding,57
716,addressed,57
1583,imagine,57
362,standing,57
172,check,57
850,ordered,57
1054,stated,57
178,travel,57
412,seeing,56
288,amended,56
547,investing,56
569,draw,56
889,implementing,56
142,engaged,55
552,built,55
1507,review,55
338,played,55
720,fulfill,55
546,discussing,55
22,watched,55
1205,leaving,55
609,mention,55
480,guess,55
242,walk,55
269,offered,54
928,reaching,54
170,figure,54
1275,overcome,54
974,shared,54
699,appreciate,54
2305,suggested,54
188,fix,53
287,submitted,53
292,authorized,53
733,followed,53
1509,exercise,53
1173,enable,52
825,sitting,51
408,beginning,51
399,affected,51
1623,benefit,50
322,approved,50
786,directed,50
1094,remind,50
39,sought,50
1071,love,50
529,seemed,50
4,passing,50
341,supports,50
572,raising,50
477,depends,50
627,learning,50
99,proceed,50
929,creating,49
391,managed,49
682,represent,49
225,paying,49
1120,retire,49
1227,ran,49
289,requires,49
27,filed,49
655,hit,49
1448,reducing,49
732,enjoy,48
725,reading,48
1747,threaten,48
2202,loved,48
476,anticipate,48
754,vested,48
548,improving,48
561,invited,48
326,joined,47
788,defend,47
789,prepared,47
805,succeed,47
683,starting,47
879,worry,47
217,spending,46
540,remaining,46
1053,implemented,46
160,repeat,46
927,serving,46
890,pursuing,46
1424,planning,46
756,increasing,46
462,expected,46
849,nominate,45
988,lift,45
1124,conduct,45
70,rising,45
803,noted,45
1007,failed,45
1241,identify,45
855,expiring,45
123,meant,45
1514,engage,45
677,shows,45
1548,emerging,45
544,setting,44
453,scheduled,44
500,saved,44
1684,expanding,44
1225,acknowledge,44
271,wondering,44
978,maintaining,44
390,expanded,44
619,rule,43
662,kill,43
971,knowing,43
935,contained,43
1436,argued,43
300,blocked,42
638,existing,42
916,demonstrate,42
675,seeking,42
1258,visit,42
1521,achieved,42
807,afford,42
117,apply,42
966,produce,42
1462,suggesting,42
460,briefed,42
666,cover,42
406,enter,42
778,designated,42
639,finding,42
380,secure,41
839,failing,41
859,contains,41
132,concerned,41
676,break,41
1164,promoting,41
578,predict,41
1055,delay,40
827,close,40
314,adopted,40
1338,facing,40
852,struck,40
2214,feels,40
211,fund,40
530,indicate,40
2360,articulated,40
1525,lay,39
714,respect,39
119,voting,39
176,impeached,39
1122,prove,39
831,solve,39
571,understands,38
23,walking,38
918,reaffirm,38
2419,retired,38
885,preparing,38
184,reform,38
1057,accepted,38
130,wrote,38
197,commit,38
405,dropped,38
1011,denied,38
1597,according,38
1533,stabilize,38
815,modernize,38
158,playing,37
1641,enhance,37
2422,propose,37
1196,describe,37
738,born,37
1298,intended,37
1784,point,37
823,represents,37
502,count,37
3443,resign,37
1888,acting,37
833,trained,37
863,announcing,37
836,targeted,37
647,waiting,37
541,disagree,37
2109,reaffirmed,36
587,contribute,36
1103,honored,36
5,joining,36
1143,clarify,36
356,introduced,36
876,bear,36
1699,assist,36
1315,carried,36
2118,test,36
1301,launched,36
1433,testified,36
629,holding,36
616,hire,36
704,concluded,36
1048,faced,36
1276,recognizing,35
1506,enforce,35
244,controlled,35
1797,encouraged,35
564,push,35
1178,identified,35
1133,visited,34
1169,deployed,34
1138,represented,34
1874,prohibited,34
1628,manage,34
1443,rebuild,34
1208,refer,34
875,understood,34
706,recognized,34
1858,driving,34
1515,opening,34
751,reflect,34
2066,facilitate,33
440,hurt,33
516,characterize,33
1236,enjoyed,33
1555,destroy,33
1100,divide,33
897,closed,33
347,ensuring,33
324,proclaim,33
1848,sell,33
734,direct,32
1792,informed,32
370,completed,32
1459,sat,32
141,calls,32
206,negotiate,32
509,consult,32
323,requested,32
1362,demonstrated,32
2397,drive,32
898,opened,32
802,owe,32
1816,depending,32
854,expired,32
177,view,31
32,testify,31
512,excuse,31
1114,sounds,31
1605,conducted,31
1199,allowing,31
2307,caused,31
2965,judge,31
1379,pushing,31
1638,earned,31
905,tells,31
286,brings,31
865,relating,31
611,showing,31
458,welcomed,31
1447,involves,30
1412,lifted,30
818,undermine,30
1290,begun,30
626,cutting,30
1609,lasting,30
1953,consulting,30
761,extended,30
1088,convince,30
234,funded,30
1307,conclude,30
1741,addressing,30
943,associated,30
2089,submit,30
2771,articulate,30
266,leaves,30
1732,release,30
1210,shown,30
2779,recommend,30
600,allows,30
1496,accomplish,30
42,promised,30
101,launch,29
1044,pointed,29
696,invested,29
1033,becoming,29
1066,approach,29
948,teaching,29
1200,cooperating,29
577,begins,29
903,walked,29
427,treat,29
1925,drawing,29
774,fall,29
75,lived,29
545,write,29
1183,removed,29
1417,speaks,29
48,becomes,29
1610,threatened,29
610,complete,29
559,reviewed,29
1191,doubt,29
684,appointed,28
255,appear,28
2773,reconstitute,28
1345,note,28
713,acted,28
533,delivered,28
430,deserves,28
896,renew,28
1404,assess,28
811,stopped,28
654,showed,28
1354,moves,28
644,limit,28
507,tested,28
1127,died,28
1135,accomplished,28
204,rise,28
520,reserve,28
506,be,28
1979,turning,27
1787,entered,27
1047,realize,27
279,cost,27
3310,decides,27
1353,occur,27
743,forced,27
942,strike,27
1748,published,27
580,assure,27
680,balance,27
2494,suffered,27
1952,hearing,27
537,shut,27
881,authorize,27
339,responding,27
856,resigned,27
853,brief,27
851,supplement,27
1821,outlined,27
819,deny,27
1432,proposing,27
1029,plans,27
37,acknowledged,27
1461,planned,27
763,focusing,26
149,added,26
1118,pray,26
361,representing,26
2028,combat,26
2196,projected,26
741,struggling,26
110,trust,26
301,negotiated,26
1188,depend,26
294,permitted,26
2090,resume,26
1352,participating,26
1490,ended,26
2222,buying,26
719,stands,26
1564,lower,26
531,intends,26
1224,introduce,26
1203,hoping,26
343,affecting,26
342,helps,26
464,faces,26
107,object,26
599,meets,26
1043,answering,26
327,signing,26
498,preserving,26
884,matters,25
947,matter,25
1317,reflects,25
902,guarantee,25
1155,indicates,25
976,pull,25
776,balanced,25
2705,presenting,25
1504,referring,25
945,contain,25
2384,imposed,25
1341,releasing,25
1527,traveling,25
1898,operating,25
1028,changes,25
1125,monitor,25
155,reporting,24
938,chose,24
925,removing,24
1218,exists,24
165,lied,24
1234,emphasize,24
1562,eliminate,24
866,convicted,24
891,involving,24
499,double,24
417,protected,24
744,carrying,24
4552,convict,24
236,centered,24
1180,coordinate,24
431,cross,24
436,challenge,24
1688,spur,24
1621,blessed,24
1145,reforming,24
601,adopt,24
1371,affects,24
358,thanking,23
1838,sold,23
1771,control,23
955,falling,23
2798,attack,23
2166,destroyed,23
1254,finished,23
410,aging,23
1366,occurred,23
1737,sharing,23
379,prefer,23
1968,responded,23
1519,wonder,23
252,reserved,23
1006,reduced,23
473,negotiating,23
2421,earn,23
162,appears,23
2684,stress,23
156,raises,23
748,recommended,23
1581,grew,23
1909,forgive,23
1063,reverse,23
1069,backed,23
2447,congratulated,23
1840,recover,23
2962,rebuilding,23
1422,examine,22
2371,defined,22
1735,host,22
198,exist,22
471,ending,22
2972,dismiss,22
185,oppose,22
1652,produced,22
43,fallen,22
977,compared,22
146,referred,22
1782,chosen,22
306,follows,22
740,proved,22
360,offers,22
1080,closing,22
1881,placed,22
703,accepting,22
757,extending,22
920,involve,22
180,funding,22
1339,refused,22
1620,persuade,22
1067,isolated,22
832,confirm,21
2398,deploy,21
1937,performing,21
1375,evaluate,21
1174,monitoring,21
1350,puts,21
3384,back,21
1131,winning,21
1698,commend,21
125,stipulate,21
275,permit,21
2201,touched,21
1081,returning,21
1101,violate,21
933,rely,21
1663,reiterate,21
1912,testing,21
1091,bound,21
1312,stayed,21
325,observe,21
949,handle,21
2312,miss,21
474,staying,21
663,reflected,21
700,result,21
1465,wanting,21
1429,interpret,21
1491,arise,21
584,define,21
1503,attached,21
416,losing,20
1469,quoted,20
2169,file,20
2483,committing,20
1587,highlight,20
2224,guaranteed,20
2533,generate,20
986,adding,20
1170,displaced,20
523,consulted,20
975,letting,20
868,located,20
846,defer,20
1299,wrap,20
1256,prevail,20
2007,realized,20
576,preclude,20
667,pick,20
1309,pursued,20
1550,sustain,20
218,approve,20
2257,spread,20
1841,driven,20
808,congratulate,20
1064,filled,20
229,listened,20
687,urged,20
912,seize,19
1385,creates,19
2323,fly,19
932,shape,19
753,enduring,19
900,defeat,19
433,keeps,19
1219,proven,19
1612,lie,19
295,authorizes,19
1176,organized,19
2911,gain,19
1171,suffering,19
1361,reviewing,19
1167,pledged,19
1351,starts,19
277,maintained,19
1149,hoped,19
2191,liked,19
698,explained,19
469,participated,19
482,insist,19
2081,establishing,19
1460,cause,19
1158,impeach,19
1186,undertaken,19
355,fail,19
1844,press,19
1389,train,19
554,beat,19
1226,reminded,19
284,owned,18
1419,lying,18
1849,rolled,18
1616,squander,18
366,threatening,18
1585,renewed,18
1529,obtain,18
2658,ruled,18
969,repair,18
1571,relate,18
1532,disappointed,18
1671,tend,18
2088,accelerate,18
1485,suppose,18
937,waive,18
2513,rewarded,18
1900,estimated,18
996,fill,18
