,Word,Count
108,think,5069
2,lockhart,4583
175,people,3414
11,going,2497
400,know,2340
216,said,1937
236,well,1841
23,house,1721
179,time,1710
6,make,1640
142,today,1604
503,security,1535
685,states,1527
70,work,1524
793,years,1503
213,want,1497
684,united,1477
164,like,1402
117,last,1350
263,first,1309
307,also,1305
481,thank,1294
524,year,1246
291,made,1225
1155,secretary,1172
276,congress,1169
3,good,1144
589,important,1135
61,believe,1124
253,white,1095
988,country,1031
398,much,1017
577,world,977
16,process,972
150,american,969
502,social,963
50,need,963
499,things,963
69,back,955
180,take,914
200,come,912
2069,national,909
258,many,905
42,state,878
17,right,847
113,forward,845
1124,help,840
151,public,832
35,issues,831
1360,every,805
214,support,805
576,economic,786
124,look,785
15,senate,780
1005,peace,778
300,done,775
553,government,772
59,budget,770
1975,children,770
1205,give,768
100,issue,766
239,working,766
313,question,742
383,next,708
170,members,699
322,something,698
366,thing,676
166,together,671
695,economy,662
343,whether,654
71,still,652
1061,americans,651
208,part,645
158,case,633
148,hope,628
618,continue,621
58,meeting,603
115,point,601
558,even,600
739,must,597
385,president's,596
575,international,581
171,talk,578
765,clinton,577
80,care,574
1939,school,573
2277,agreement,565
650,federal,565
758,million,549
159,mean,548
139,vote,544
24,bill,543
519,system,534
64,around,533
1086,program,529
317,really,525
147,committee,524
207,saying,522
639,money,521
57,morning,520
54,education,519
1312,future,517
933,great,514
615,efforts,511
775,administration,510
607,keep,505
257,since,502
155,fact,501
41,",000",498
772,long,497
98,can't,495
90,tell,493
79,health,491
1382,[laughter],488
403,senator,487
678,schools,486
101,deal,483
384,days,482
136,report,480
1294,able,478
1512,best,475
209,certainly,474
242,policy,471
226,sure,468
352,trying,463
302,clear,463
972,countries,463
169,number,459
112,move,455
460,kind,453
4704,iraq,441
280,anything,441
183,office,440
1166,press,439
1371,century,437
729,week,437
265,impeachment,432
709,strong,431
225,percent,429
220,might,428
1053,information,426
356,little,425
504,rights,423
2076,better,423
2392,minister,420
163,questions,418
980,hard,418
114,general,415
176,talking,414
887,1998,412
1220,military,410
710,community,408
2963,prime,405
511,plan,397
785,interest,392
262,different,390
3232,trade,388
1032,appropriate,388
961,life,387
389,making,386
518,surplus,385
231,talked,381
1364,progress,380
340,laughter,380
1120,without,378
510,chance,378
212,view,377
360,place,377
2108,opportunity,377
592,leaders,376
162,answer,374
636,programs,371
954,another,371
1097,home,370
1264,decision,365
297,yesterday,364
338,asked,362
1682,expect,362
531,came,361
584,department,359
271,order,359
2759,weapons,353
1905,family,349
311,political,348
683,never,347
1444,tomorrow,345
844,provide,344
306,republicans,343
1263,defense,342
251,actually,342
579,bring,340
616,financial,339
133,three,339
3035,vice,339
102,given,338
665,find,337
1201,meet,337
173,democrats,336
1338,private,336
413,leadership,333
1723,address,332
14,statement,331
1105,families,330
507,understand,329
1194,council,327
31,growth,325
492,situation,320
662,including,320
485,effort,316
724,looking,315
2020,force,315
168,heard,314
466,election,313
1305,worked,312
1553,feel,311
375,always,310
72,position,310
429,already,310
1253,action,310
1420,japan,308
1883,others,305
1722,union,304
5071,saddam,303
365,past,303
471,coming,302
512,reform,301
347,aware,301
359,development,301
1158,service,300
1325,second,299
445,seen,299
241,foreign,299
669,months,298
354,business,297
697,change,297
646,ever,297
1433,open,296
1069,bipartisan,296
939,north,296
1963,investment,294
372,washington,294
569,billion,294
2376,terms,293
165,needs,292
128,serious,292
496,announced,290
1434,problem,289
1989,young,289
310,thought,288
1661,parties,288
1128,party,287
2066,teachers,286
392,sort,286
369,middle,285
3021,korea,285
407,within,284
617,global,284
97,call,283
77,getting,283
1004,times,282
982,human,281
294,real,280
1289,lives,279
0,briefing,277
1302,areas,272
198,live,271
1511,conference,270
2041,enough,270
1145,medicare,270
2252,21st,267
2989,chairman,266
688,several,266
1331,possible,266
267,sense,265
244,obviously,265
666,legislation,263
1290,across,263
1465,went,262
2408,respect,262
969,nation,261
701,idea,260
854,october,260
995,nations,259
303,based,259
1,room,257
2138,agreed,257
324,whole,257
1020,history,257
659,problems,257
1401,clearly,257
52,crime,256
1101,communities,256
484,particular,256
5014,witnesses,255
211,taken,254
1078,role,254
2827,build,254
516,save,253
2030,increase,253
295,subject,253
1150,challenges,251
997,commitment,251
218,democratic,249
4172,berger,249
237,told,248
835,person,245
1182,crisis,243
1578,remember,242
1591,emergency,241
1269,wanted,241
194,republican,240
4,afternoon,240
719,weeks,239
7,couple,238
5004,trial,238
2797,rate,237
1470,early,236
33,long-term,235
1773,matter,235
1981,high,235
2107,initiative,235
537,side,234
334,cooperation,234
1313,steps,233
2886,record,233
773,discussion,233
4569,hussein,232
60,team,232
129,fair,232
1522,group,230
1408,course,229
817,section,228
682,though,228
1728,quite,223
970,women,223
1196,special,222
2398,among,222
285,means,222
443,particularly,221
1941,east,220
1383,start,220
4621,palestinian,220
871,specific,220
730,message,220
1546,ability,219
1214,region,219
734,justice,216
1967,child,216
1142,congressman,215
3022,november,214
2784,involved,214
1218,authority,213
1297,area,213
374,reason,213
277,lawyers,212
1730,agenda,211
1227,decisions,211
1292,majority,211
20,freedom,211
1523,significant,210
930,william,209
264,standards,209
240,later,209
745,leave,208
368,ahead,208
2011,funds,208
1410,example,207
1704,ambassador,207
1845,trip,207
