,Adjective,Count
10,great,6
9,other,5
7,much,3
18,difficult,3
36,american,3
17,many,3
0,partisan,2
31,congressional,2
6,first,2
11,strong,2
34,additional,1
28,new,1
29,old,1
30,prominent,1
32,good,1
33,13th,1
37,complete,1
35,presidential,1
26,global,1
38,encouraging,1
39,hard,1
40,necessary,1
41,largest,1
42,single,1
43,military,1
27,aware,1
22,third,1
25,international,1
24,broad,1
2,top,1
3,pro,1
4,ranking,1
5,substantial,1
8,same,1
12,national,1
13,gauged,1
14,young,1
15,youngest,1
16,small,1
19,better,1
20,common,1
21,greater,1
1,most,1
23,last,1
44,bigger,1
