,Word,Count
50,other,1051
62,great,780
0,new,729
8,american,571
33,many,555
16,more,542
25,federal,454
85,such,403
118,first,398
27,economic,388
45,important,328
95,good,304
66,last,286
163,public,266
13,major,261
202,local,255
10,national,241
19,strong,235
102,own,224
2,international,214
170,private,213
287,possible,203
46,long,202
254,past,201
213,necessary,199
235,better,196
32,full,189
150,executive,183
103,best,173
55,additional,171
139,high,171
86,foreign,171
138,available,170
186,much,169
133,difficult,167
70,essential,166
49,next,164
228,young,162
40,able,158
17,same,157
144,appropriate,154
157,special,150
30,free,143
181,most,142
59,political,142
252,present,142
122,medical,142
255,personal,139
39,effective,138
34,greater,135
351,few,134
253,proud,128
458,whole,122
536,military,121
54,fiscal,120
192,sure,120
204,nuclear,118
386,higher,117
1,significant,113
5,recent,113
6,second,111
305,little,111
127,several,110
129,different,108
189,less,107
232,natural,107
109,certain,106
321,particular,105
112,domestic,104
146,further,102
367,distinguished,100
154,legislative,100
145,current,90
11,real,89
14,basic,89
309,small,88
51,future,87
42,financial,87
376,permanent,86
179,serious,86
335,educational,81
314,right,80
214,environmental,79
87,joint,79
494,true,78
638,comprehensive,78
642,human,77
160,large,75
82,responsible,75
116,presidential,74
36,various,73
169,general,72
43,vital,72
364,individual,72
247,clear,71
331,greatest,70
135,congressional,70
35,total,69
220,fair,68
313,mutual,67
47,low,67
38,short,66
60,entire,65
406,peaceful,63
296,independent,61
573,social,61
382,concerned,59
318,wrong,59
196,enough,59
96,substantial,57
223,common,57
147,third,57
371,old,57
211,hard,55
261,aware,54
450,proper,53
447,pleased,53
28,reasonable,52
244,historic,52
108,pursuant,52
107,critical,52
3,early,52
15,annual,51
24,monetary,49
1122,soviet,49
212,confident,48
394,sufficient,48
417,single,48
430,equal,48
93,direct,48
120,rich,47
158,broad,47
193,least,47
119,eighth,47
273,adequate,47
123,poor,47
526,thankful,46
267,potential,46
225,highest,46
281,specific,46
459,big,46
26,inflationary,45
332,rural,45
301,enormous,45
358,final,43
197,lower,43
104,industrial,43
350,only,43
503,voluntary,42
343,primary,42
74,efficient,41
162,overall,41
167,immediate,41
90,technical,41
572,strongest,40
110,temporary,40
302,clean,39
260,easy,39
174,open,39
100,bilateral,39
368,grateful,39
20,agricultural,39
678,complex,39
508,positive,38
126,interested,38
278,constructive,38
380,worth,38
440,constitutional,38
452,fine,37
155,mandatory,36
1041,minimum,36
782,indian,36
611,similar,36
528,weak,35
400,maximum,35
