,Word,Count
8,now,960
0,also,918
58,when,778
62,very,747
61,so,695
21,only,614
22,as,545
5,here,512
19,just,468
31,more,450
23,well,371
132,where,363
24,then,312
1,most,281
85,even,271
114,far,243
101,how,242
115,why,236
25,together,232
20,ago,224
148,never,219
45,therefore,203
17,however,202
99,too,198
57,first,193
60,again,190
6,particularly,185
39,already,179
47,back,176
127,forward,175
160,there,173
143,rather,172
105,always,171
158,much,161
83,simply,161
64,perhaps,143
84,all,142
10,still,137
9,ever,120
197,often,116
41,ahead,114
48,long,105
81,finally,103
214,sometimes,89
110,once,88
29,abroad,81
56,before,75
155,certainly,74
153,further,73
90,second,72
188,probably,70
157,else,70
69,especially,69
112,almost,68
118,later,66
30,effectively,66
14,nearly,60
88,longer,58
33,fully,58
87,no,58
130,away,58
169,better,54
51,hereby,51
217,primarily,50
111,yet,50
54,soon,50
73,at,48
92,approximately,47
103,alone,47
243,over,47
172,personally,46
95,really,46
121,directly,46
53,otherwise,45
16,least,45
35,about,44
104,right,42
287,greatly,42
185,enough,42
63,generally,41
117,rapidly,41
174,recently,41
179,totally,40
44,substantially,40
70,thus,40
128,down,40
119,whenever,39
36,increasingly,39
177,in,39
129,quite,38
120,earlier,38
82,strongly,38
28,home,37
59,possibly,37
168,prior,37
94,incidentally,37
40,quickly,37
91,third,35
140,instead,35
156,best,32
357,insofar,32
226,highly,32
2,significantly,31
173,previously,31
11,truly,31
355,clearly,30
202,less,29
192,eventually,29
272,deeply,29
221,properly,29
249,somewhat,29
26,promptly,29
195,nevertheless,28
102,wherever,28
34,seriously,28
42,forth,28
108,consequently,28
204,presently,28
210,thereby,27
166,completely,27
106,closely,27
98,immediately,27
186,maybe,27
79,out,27
191,up,27
86,sharply,26
180,that,26
284,virtually,25
67,economically,25
134,thereof,25
267,carefully,25
141,early,24
250,inevitably,24
181,apart,23
183,is,23
290,regardless,23
93,around,23
327,sincerely,23
72,actually,22
296,mutually,22
4,unfortunately,22
234,hard,22
68,indeed,21
345,federally,21
266,efficiently,20
299,militarily,20
154,briefly,20
161,usually,19
292,currently,19
149,apparently,19
318,importantly,19
162,of,18
18,specifically,18
175,voluntarily,18
43,materially,17
372,dramatically,17
7,accordingly,17
285,vitally,17
301,equally,17
176,pretty,16
229,obviously,16
109,enormously,16
138,largely,16
113,frequently,16
65,shortly,16
218,heavily,15
309,firmly,15
454,continually,15
278,vigorously,15
286,forever,14
37,equitably,14
46,temporarily,14
220,exactly,14
300,actively,14
297,annually,13
268,adequately,13
295,freely,13
461,constantly,13
248,eloquently,13
150,absolutely,13
145,above,12
323,officially,12
353,successfully,12
254,potentially,12
360,moreover,11
315,closer,11
135,extremely,11
198,matter,11
147,solely,10
225,critically,10
15,steadily,10
211,separately,10
171,thereafter,10
314,safely,10
270,fairly,9
89,short,9
366,environmentally,9
116,repeatedly,9
242,relatively,9
399,worldwide,9
144,normally,9
193,expeditiously,9
38,furthermore,9
416,twice,9
380,newly,9
307,entirely,9
184,frankly,9
49,alike,9
341,originally,8
276,ultimately,8
246,anywhere,8
219,along,8
215,sort,8
245,basically,8
391,severely,8
302,on,8
209,traditionally,8
256,fast,8
264,little,8
133,respectively,8
356,urgently,8
269,swiftly,7
310,consistently,7
392,proudly,7
273,course,7
492,responsibly,7
363,literally,7
474,inward,7
76,gradually,7
280,widely,7
223,terribly,7
281,aside,7
305,correctly,7
317,cooperatively,7
212,by,7
350,confidently,7
365,suddenly,7
335,financially,7
164,elsewhere,7
77,precisely,7
258,jointly,7
313,hereafter,6
322,naturally,6
263,wisely,6
408,necessarily,6
359,roughly,6
275,bluntly,6
354,respectfully,6
450,reasonably,6
288,easily,6
339,thoroughly,6
32,behind,6
27,concurrently,6
196,desperately,6
237,next,6
228,publicly,6
205,last,6
291,essentially,5
407,overwhelmingly,5
418,fundamentally,5
213,though,5
326,richly,5
320,historically,5
481,automatically,5
436,abundantly,5
203,bravely,5
472,unilaterally,5
163,overseas,5
165,late,5
311,tremendously,5
194,formerly,5
170,subsequently,5
308,altogether,5
333,secondly,5
501,generously,5
381,favorably,5
535,politically,5
553,everywhere,5
239,high,5
274,outside,5
383,drastically,5
131,physically,5
124,appropriately,5
122,decisively,5
358,readily,5
80,permanently,5
262,fortunately,5
123,independently,4
440,afterwards,4
374,undoubtedly,4
376,harder,4
377,unduly,4
447,honestly,4
75,simultaneously,4
398,profitably,4
382,unnecessarily,4
321,unreasonably,4
344,hardest,4
420,under,4
385,nowhere,4
386,merely,4
403,speedily,4
402,overall,4
96,fourth,4
401,locally,4
182,seldom,4
251,broad,4
224,after,4
207,ill,4
241,anyway,4
563,honorably,4
261,live,4
551,brezhnev,4
547,whereby,4
538,upward,4
279,uniquely,4
303,positively,4
494,courageously,4
283,infinitely,4
3,slightly,4
364,keenly,4
477,lightly,4
12,vastly,4
13,profoundly,4
487,collectively,3
375,unusually,3
464,vividly,3
545,duly,3
443,orally,3
444,commonly,3
378,understandably,3
462,faithfully,3
568,similarly,3
532,sometime,3
459,either,3
583,midway,3
588,solidly,3
373,upwards,3
597,peacefully,3
599,mentally,3
650,visually,3
537,mighty,3
388,systematically,3
516,partly,3
439,flexibly,3
428,notably,3
427,additionally,3
424,markedly,3
433,administratively,3
423,westward,3
493,mainly,3
50,heretofore,3
406,strictly,3
429,rightfully,3
498,somewhere,3
468,privately,3
514,objectively,3
55,eminently,3
515,perfectly,3
396,prudently,3
389,formally,3
453,individually,3
465,adversely,3
362,internationally,3
271,regularly,3
216,indirectly,3
282,close,3
316,exclusively,3
337,surely,3
289,geographically,3
329,wholly,3
328,considerably,3
342,underway,3
142,faster,3
346,overnight,3
190,anew,3
343,competitively,3
208,dangerously,3
259,wonderfully,3
319,commercially,3
100,sixth,3
152,remotely,3
151,irrespective,3
351,uniformly,3
608,diligently,2
489,daily,2
293,slowly,2
167,satisfactorily,2
609,valiantly,2
312,harshly,2
206,initially,2
482,diplomatically,2
445,exceedingly,2
478,someday,2
187,counter,2
201,dearly,2
631,therein,2
466,rarely,2
178,clear,2
199,justly,2
463,meanwhile,2
607,allegedly,2
635,energetically,2
632,beautifully,2
562,higher,2
189,artificially,2
200,gladly,2
222,sooner,2
606,fatally,2
529,immeasurably,2
556,amply,2
240,incorrectly,2
569,spiritually,2
265,nationwide,2
570,any,2
549,way,2
572,feelingly,2
236,deliberately,2
541,foremost,2
578,improperly,2
233,broadly,2
533,half,2
232,left,2
526,flatly,2
497,occasionally,2
523,intentionally,2
244,connally,2
361,highest,2
231,below,2
593,graciously,2
513,paw,2
512,downward,2
598,longest,2
600,needlessly,2
503,nonetheless,2
227,irreparably,2
500,irresponsibly,2
604,warmly,2
441,somehow,2
625,instantly,2
159,badly,2
397,domestically,2
253,loyally,2
387,overly,2
348,principally,2
74,indefinitely,2
330,intermittently,2
52,pecuniarily,2
352,unquestionably,2
659,technologically,2
421,near,2
390,accurately,2
139,ordinarily,2
125,nobly,2
660,anytime,2
438,important,2
425,waver,2
412,partially,2
369,--finally,2
146,hopefully,2
368,barely,2
137,full,2
78,inside,2
97,deeper,2
395,rightly,2
435,abreast,2
640,crucially,2
434,hopelessly,2
668,creatively,1
669,lead,1
586,inescapably,1
587,truthfully,1
595,free,1
594,cleaner,1
667,comprehensively,1
664,lately,1
666,squarely,1
590,sure,1
591,monthly,1
592,patiently,1
665,sudden,1
585,loud,1
589,wrong,1
581,morally,1
584,wrongly,1
574,admirably,1
564,doubt,1
565,unacceptably,1
566,narrowly,1
567,operationally,1
677,kind,1
676,upstairs,1
675,eternally,1
571,dimly,1
674,unanimously,1
573,selfishly,1
575,continuously,1
670,straighter,1
576,awfully,1
