,Word,Count
0,the white house,84
5,the cabinet room,5
27,the commonwealth of puerto rico,5
1,the oval office,4
3,camp david,3
35,independence hall,3
31,the lincoln memorial,3
22,the eisenhower civic center,2
68,the geneva peace conference,2
40,the grand ole opry,2
34,key biscayne,2
24,national park,2
36,the special prosecutor,2
13,lady bird johnson park,1
14,the geneva conference,1
45,civil war,1
46,the bay city high school,1
47,the saginaw-bay city,1
48,the taos pueblo indians,1
49,constitution hall,1
50,the archives building,1
51,capitol,1
52,the suez canal,1
53,fairchild base,1
54,the seattle-tacoma,1
55,vance air force base,1
56,the vance air force base,1
57,blair house,1
58,stewart alsop,1
59,lake national park,1
60,olympic national park,1
61,the mississippi flyway,1
62,rocky mountain national park,1
63,the geneva middle east peace conference,1
64,canal,1
65,opera house,1
66,"the ""treasures of tutankhamen",1
67,the khatyn memorial,1
2,the executive office building,1
69,the white cane,1
70,h .r,1
71,the kennedy center,1
44,fort mcnair,1
43,the johnson space center,1
42,the yo-yo,1
10,bend national park,1
15,kilometer 101,1
16,the cairo-suez road,1
17,title vi,1
18,arlington national cemetery,1
19,the taos pueblo at blue lake,1
20,the national park,1
21,the everglades national park,1
12,the romanian-u .s,1
23,the fort circle parks,1
11,the lower colorado river,1
25,the rose bowl,1
26,the warsaw ghetto,1
28,the airport and airway development act,1
41,the white,1
29,the penn central railroad,1
30,the interstate highway system,1
9,the carl m,1
32,interstate highway system,1
33,the hill-burton,1
8,kremlin,1
7,the duke law school,1
6,the robins air force base,1
37,constitution,1
38,the united nations,1
39,the opry house,1
4,the lincoln bedroom,1
72,bel air,1
