,Word,Count
0,the united states,835
9,america,812
3,washington,162
29,the soviet union,159
1,the united states of america,139
31,vietnam,106
82,israel,102
23,states,90
30,the people's republic of china,62
127,egypt,59
6,united states,47
14,california,43
28,us,34
44,moscow,34
141,ussr,31
86,romania,29
225,france,28
15,alaska,25
62,korea,25
33,china,23
264,mexico,23
270,jordan,21
163,saudi arabia,20
104,the district of columbia,20
125,cairo,19
341,usa,18
187,syria,17
32,japan,16
76,arizona,16
27,san clemente,15
10,new york,15
25,florida,14
93,paris,14
95,va,14
250,xenia,12
81,h .r,12
7,ohio,12
43,tennessee,12
184,michigan,12
22,geneva,11
109,rome,11
226,brussels,11
13,elk hills,11
159,mississippi,11
52,brazil,11
90,indochina,10
325,portugal,10
210,chicago,10
239,greece,9
21,london,9
112,d .c .,8
120,jr .,8
16,nevada,8
155,miami,7
300,alexandria,7
100,new york city,7
80,oklahoma,7
34,canada,7
126,jerusalem,7
205,austria,7
151,germany,7
292,damascus,7
55,venezuela,7
173,south vietnam,7
158,alabama,6
240,turkey,6
247,anchorage,6
279,the state of washington,5
38,ellsberg,5
26,los angeles,5
150,the federal republic of germany,5
139,bicentennial,5
134,san francisco,5
131,gi,5
89,the socialist republic of romania,5
105,the commonwealth of puerto rico,5
280,spokane,5
189,great britain,5
106,the virgin islands,5
197,texas,5
107,guam,5
64,georgia,5
110,d .c,5
119,nashville,5
57,macon,5
56,russia,5
123,welfare,5
20,caracas,5
128,england,4
333,minsk,4
354,cyprus,4
229,houston,4
53,colorado,4
49,memphis,4
161,peru,4
59,atlanta,4
48,pennsylvania,4
268,athens,4
174,cambodia,4
146,the state of the union,4
144,illinois,3
201,brasilia,3
121,the united states code,3
209,the state of israel,3
331,byelorussia,3
233,committee,3
320,amman,3
191,philadelphia,3
181,tsus,3
261,italy,3
129,wyoming,3
130,the united states tariff commission,3
162,mexico city,3
269,laos,3
147,the state of the union message,3
220,phoenix,3
180,a united states,3
51,india,3
45,haiphong,3
78,oregon,3
54,louisiana,3
17,omaha,3
72,seattle,3
4,tokyo,3
8,the state of ohio,3
116,the pacific islands,3
310,montana,2
186,libya,2
171,berlin,2
293,denmark,2
168,czechoslovakia,2
67,peking,2
192,boston,2
298,salzburg,2
297,rabbi korff,2
195,denver,2
296,the arab states,2
66,republic,2
70,manila,2
286,the federal republic,2
290,gettysburg,2
204,ireland,2
212,unicef,2
213,the u .n,2
282,today,2
218,hanoi,2
222,fort worth,2
275,manhattan,2
228,iowa,2
230,seq .,2
231,armchairs,2
241,indianapolis,2
263,puerto rico,2
257,huron county,2
255,the state of michigan,2
317,the arab republic of egypt,2
254,bay city,2
351,spain,2
102,dayton,2
149,sacramento,2
87,romanian,2
339,the united states-soviet,2
329,sr .,2
94,bucharest,2
335,crimea,2
145,calif .,2
277,cooperstown,1
350,the mountain states,1
274,gulfport,1
349,the state of virginia,1
348,hassle,1
276,prescott,1
326,jidda,1
278,the state of the union address,1
273,the chancellor of germany,1
24,missouri,1
19,argentina,1
281,washington state,1
346,the united states of america l,1
345,kiev,1
344,a united states consulate general,1
283,northern brazil,1
284,bolivia,1
347,icarus,1
272,the state of mississippi,1
343,the german democratic republic,1
355,switzerland,1
358,san marino,1
256,bridgeport,1
357,united states of america,1
258,saginaw,1
259,the girl scouts,1
260,cass city,1
40,petersburg,1
262,sandusky,1
356,the united kingdom,1
2,the kingdom of denmark,1
352,madrid,1
39,st .,1
265,bogota,1
266,madam,1
267,virginia,1
37,rochester,1
36,chronicle,1
35,kleindienst,1
271,mississippi state,1
353,tricia,1
285,oklahoma city,1
342,korniyenko,1
287,the republic of france,1
316,wisconsin,1
309,minnesota--1,1
332,the hero city,1
311,montana--32,1
312,minnesota--2,1
313,pinnacles,1
314,roadless islands,1
330,byelorussian,1
315,bowdoin,1
328,belgium,1
307,utah--120,1
318,saudi arabia's,1
319,leningrad,1
12,fannin,1
321,the city of the seven hills,1
322,soviet union,1
327,atlantic alliance,1
323,the hashemite kingdom,1
324,kingdom,1
308,alaska--2,1
306,illinois--4,1
288,the district of columbia self,1
337,kaminsky,1
289,south dakota,1
11,the state of oregon,1
340,the soviet union l,1
291,valley forge,1
18,ely,1
294,ottawa,1
295,the united states naval academy,1
338,maine,1
336,oreanda,1
305,laysan island,1
334,the argentine republic,1
299,aswan,1
5,nairobi,1
301,california--2,1
302,sonoran,1
303,hawaii--1,1
253,tri-city,1
304,laysan,1
117,zinc,1
238,cholera,1
252,bay city all-saints high school],1
148,santa maria,1
152,memorial,1
153,north and,1
154,"north , south",1
84,polaris,1
156,lebanon,1
157,jones,1
83,poland,1
79,new mexico--21,1
160,lima,1
77,california--14,1
75,brennan,1
164,federal republic of germany,1
165,telex,1
166,the czechoslovak socialist republic,1
167,prague,1
169,fla .,1
170,iran,1
172,agnew,1
74,marrakech,1
73,brooklyn,1
175,malaysia,1
176,singapore,1
177,indonesia,1
85,poseidon,1
88,the united sates,1
179,young,1
91,the united states overseas private investment corporation,1
115,pa .,1
114,wayne county,1
122,the republic of the philippines,1
113,salt lake city,1
124,nebraska,1
111,the district of columbia manpower administration,1
108,the united states district court,1
103,north carolina,1
101,orville,1
99,hartford,1
98,cleveland,1
132,yakima,1
133,pneumonia,1
97,n .c .,1
135,big thicket,1
136,east texas,1
137,a district of columbia development bank,1
138,humanities,1
96,wilmington,1
140,the soviet union's,1
142,lyndon,1
143,acapulco,1
92,private united states,1
178,thailand,1
71,nixon,1
251,camille,1
217,west virginia,1
58,minnesota,1
221,minneapolis,1
223,harris,1
224,shreveport,1
227,waterloo,1
50,long beach,1
232,britain,1
47,allentown,1
234,plymouth rock,1
235,the republic of vietnam,1
236,auvergne,1
237,diphtheria,1
118,molybdenum,1
46,wesley heights,1
242,great lakes,1
243,pacific northwest,1
