,Word,Count
26,constitution,32
15,the economic stabilization act,23
0,section 22,21
42,section 1,20
11,section 301,19
1,the agricultural adjustment act,13
55,the clean air act,10
141,section 812,9
51,section 2,8
41,the disaster relief act,8
175,the trade expansion act,8
13,the defense production act,7
81,the rehabilitation act,6
115,the rural development act,6
127,the uniform act,6
67,the internal revenue code of,6
106,the trade reform act,6
39,the universal declaration of human rights,5
30,the united nations charter,5
2,tariff classification act,5
236,the tariff act,5
102,the national cancer act,5
38,the bill of rights,4
103,the equal rights amendment,4
83,section 503,4
58,section 4,4
62,watergate,4
113,the better communities act,4
66,section 4911,4
162,section 5,4
4,section 10 of the railway labor act,4
131,the transportation improvement act,4
18,the customs convention,3
61,section 7,3
68,and training act,3
79,united states code,3
82,law 93-112,3
168,section 8,3
235,section 350,3
143,section 5317 of title 5,3
90,clean air act,3
136,the agricultural act,3
25,the wilderness act,3
132,the merchant marine act,3
19,the international convention for safe containers,3
174,chapter 3,2
198,the food aid convention,2
128,the strategic arms limitation talks,2
221,the intergovernmental personnel act,2
112,the federal criminal code,2
157,the communications act,2
77,the federal procurement regulations,2
78,section 8335 of title 5,2
155,the federal election campaign act,2
105,trade reform act,2
151,energy emergency act,2
172,chapter 2,2
85,the international organizations immunities,2
87,the international organizations immunities act,2
89,the civil rights act,2
117,the law enforcement assistance,2
101,emergency energy act,2
173,chapter 7,2
184,section 9,2
80,the urban mass transportation act,2
56,noise control act,2
16,the export administration act,2
54,section 3,2
57,sanctuaries act,2
8,public law 91-242,2
245,section 5 b of the act,2
35,the social security act,2
28,the emergency petroleum allocation act,2
29,section 203,2
3,the railway labor act,2
183,revolution,1
246,the code of federal regulations,1
247,"section 5 b of the act of october 6 , 1917",1
181,chapter 53,1
244,public law 92-423,1
243,the medal of freedom :,1
182,"title 5 of the united states code , section 6 of executive order no . 11691 of december 15 , 1972 ,",1
222,the nato treaty,1
185,the united nations participation act,1
179,pioneer 10,1
186,section 15 of public law,1
187,section 107,1
188,section 605,1
189,"section 2 of executive order no . 11768 , of february 20 , 1974",1
190,foreign assistance act,1
191,the congress 75 stat,1
180,the fair labor standards amendments,1
176,the general agreement on tariffs and trade 61 stat,1
248,the export control act,1
169,section 350 of the tariff act,1
256,section 709,1
163,protective act,1
255,the telegraph regulations and the telephone regulations,1
164,the foreign assistance act,1
165,the basic grant program,1
166,the guaranteed student loan,1
254,a final protocol,1
167,"section 1 of executive order no . 11768 , of february 20 , 1974",1
170,section 201 of the trade expansion act,1
178,section 204 2 of the water resources planning act,1
171,section 351a 4 of the tea 19 u .s,1
253,the telephone regulations,1
252,the telegraph regulations,1
251,resolution 67 of the 90th,1
250,law 92-419,1
249,section m,1
242,control act,1
177,the general agreement on tariffs and trade 19,1
192,"section 6 of executive order 11695 , of january 11 , 1973 ,",1
240,the responsive governments act,1
193,declaration of rights and obligations of older persons,1
232,section 412,1
210,the constitution and statutes of the united states,1
230,section 313,1
211,section 6,1
229,the international coffee agreement act,1
212,law 93-275,1
228,"the general agreement on contacts , exchanges and cooperation",1
227,the treaty banning nuclear weapon tests,1
226,the interim agreement,1
160,apollo 13,1
213,law 93-159,1
214,section 30,1
215,section 4 c 2 of the emergency petroleum allocation act,1
216,section 218,1
217,section 708,1
218,section 10 of proclamation,1
219,section 2 of executive order,1
220,section 212g of the economic stabilization act,1
225,the limitation of strategic offensive arms,1
224,the interim agreement on certain measures with respect,1
231,section 401,1
209,principles of international law concerning friendly relations and co,1
241,the intergovernmental personnel act ipa,1
208,investment guarantee agreement,1
223,the basic principles of relations between,1
194,declaration of rights and obligations for older persons,1
195,law 93-224,1
196,the tandem plan,1
197,the financial institutions act,1
239,the unified transportation act,1
238,proclamation 3564,1
199,construction safety act,1
237,section 255 b of the trade expansion act,1
234,apollo 11,1
233,section 409,1
200,section 812d,1
201,reorganization plan no,1
202,governmental reorganization act,1
203,coastal zone act,1
204,the coastal zone act,1
205,section 12,1
206,resolution 803,1
207,chapter 77,1
161,title 3,1
129,strategic arms limitation talks,1
159,law 93-22,1
88,section 3109,1
46,section 253 of the act,1
47,section 210,1
48,the small business act,1
49,the higher education act,1
50,law 92-318,1
52,section 3 b of the emergency daylight saving time energy conservation act,1
53,section 3 b of the act,1
59,the atomic energy act,1
60,section 18,1
63,act public law 92-463,1
64,house concurrent resolution 108 of 1953,1
65,section 4911 b 2 of the internal revenue code,1
69,manpower training act,1
70,house joint resolution 858,1
71,endangered species act,1
72,the convention on international trade in endangered species of wild fauna,1
73,the life safety code,1
74,the national housing act,1
75,section 4082,1
76,section 1a 2,1
84,section 703,1
45,section 251 of the act,1
44,section 1021 of the act,1
43,"the ""act""",1
21,section 6103 of title 5 of the united states code,1
5,the amtrak improvement act,1
6,amtrak improvement act,1
7,section 3 of public law 89-605,1
9,public law 91242,1
10,law 89-605,1
12,the national security act,1
14,chapter 40,1
17,"the international regulations for preventing collisions at sea , 1960",1
20,the customs convention on containers of 1956,1
22,the constitutional convention,1
40,the internal revenue code,1
23,the walter george law school,1
24,law 93-159 87 stat,1
27,section 4 c 2,1
31,the general agreement on tariffs and trade,1
32,the general agreement on tariff and trade,1
33,the agreement regarding fisheries,1
34,the 1958 convention,1
36,the constitution of the united states,1
37,bill of rights,1
86,public law 89,1
91,economic stabilization act,1
158,the nuclear age,1
92,mineral leasing act,1
126,the new economic policy,1
130,merchant marine act,1
133,law 93-249,1
134,highway act,1
135,the interstate commerce act,1
137,an economic adjustment act,1
138,better communities act,1
139,the economic adjustment act,1
140,public law,1
142,lung and blood act,1
144,section 1 or section 2,1
145,the consular convention,1
146,this consular convention,1
147,section 104,1
148,section 301 of title 3 of the united states code,1
149,'s bill of rights,1
150,the energy emergency act,1
152,this energy emergency act,1
153,internal revenue code,1
154,the federal corrupt practices act,1
156,first amendment,1
125,the national heart act,1
124,economic adjustment assistance,1
123,the general revenue sharing,1
107,the tax reform act,1
93,the mineral leasing act,1
94,the mining act,1
95,the glean air act,1
96,the basic opportunity grant program which permits students to apply funds toward an education at the school of their choice,1
97,the basic educational opportunity grant,1
98,the basic grant and guaranteed student loan programs,1
99,the library partnership act,1
100,the national cemeteries act,1
104,resolution 3010,1
108,the revenue act,1
122,the emergency employment act,1
109,the family assistance plan,1
110,better schools act,1
111,organized crime control act,1
114,the responsive government act,1
116,the housing act,1
118,--the better communities act,1
119,the warsaw pact nations,1
120,the warsaw pact,1
121,this national prayer breakfast : it,1
257,the general agreement on tariffs and trade gatt,1
