,Word,Count
16,$10 billion,9
31,100,8
18,$2 billion,7
6,$1 .5 billion,7
209,$15 billion,7
134,$500 billion,7
35,50,6
142,billions of dollars,6
12,$100 million,6
9,$3 billion,5
100,$125 million,4
128,$8 billion,4
15,$300 million,4
114,$2 .3 billion,4
11,$50 million,4
65,$1 billion,4
280,$305 billion,4
50,20,3
46,$250 million,3
191,10,3
198,approximately $2 .1 billion,3
92,14,3
17,#1,3
136,$100 billion,3
264,41,2
202,$309 million,2
132,the billions of dollars,2
88,$25 billion,2
87,$295 billion,2
73,$13 .6 billion,2
72,up to $1,2
222,over $50,2
135,$80 billion,2
66,$1 .8 billion,2
85,$304 .4 billion,2
144,$4 billion,2
82,$500 million,2
81,an additional $100 million,2
215,15,2
78,2 .7 million,2
201,$600 million,2
220,more than $15,2
40,68,2
118,$1 .4 billion,2
107,$3 .9 billion,2
5,over $6,2
185,$2 .4 billion,2
302,$300 billion,2
190,$35 million,2
166,110,2
232,20 cents,2
25,800,2
26,a million dollars,2
93,26,2
28,250,2
27,45,2
30,300,2
97,$26 billion,2
231,$14 billion,2
95,$350 million,2
37,$10 million,2
224,up to $ 100 million,1
221,more than $50,1
229,about $3,1
237,240,1
236,some $800 million,1
228,at least $500 billion,1
235,almost $800 million,1
227,at least $200 billion,1
234,19 u .s,1
233,10-a,1
225,above $3,1
230,almost $3 billion,1
223,hundreds of millions of tax dollars,1
226,an estimated 45 million,1
0,29,1
210,$200 billion,1
219,more than $3,1
218,more than $1 billion,1
181,about $12 billion,1
182,over $32 billion,1
183,multimillion dollar,1
184,$16 billion,1
186,$148 million,1
187,$15 .9 billion,1
188,$3 .4 billion,1
189,some $2 billion,1
192,$205 million,1
193,an additional $ 100 million,1
194,$305 million,1
195,nearly $50 million,1
196,$728 million,1
197,66,1
199,$200 million,1
200,approximately $233 million,1
203,$23 million,1
204,3 u .s .c,1
205,over $20 billion,1
206,$1 1/2 billion,1
207,$80 billion or $100 billion,1
208,$ 15 billion,1
239,85 .7 million,1
211,$5 .3 billion,1
212,$432 million,1
213,reserve #1,1
214,at least $150,1
216,nearly $90 billion,1
217,75,1
238,$33 billion,1
253,$618 million,1
240,approximately $200 million,1
286,$397 million,1
292,about $5 billion,1
291,no more than $300 billion,1
290,approximately $3 billion,1
289,two billion dollars,1
288,more than 6 million acres,1
287,200 $397,1
285,$91 million,1
276,approximately $2,1
284,the hundreds of thousands and millions,1
283,5 u .s .c,1
282,the hundreds of thousands,1
281,$700 million,1
279,an additional $10 billion,1
278,close to $1,1
293,approximately $11 billion to $6 billion,1
294,a record $1 .4 billion,1
295,approximately $600 million,1
296,some $4 billion,1
297,over $9,1
298,$15 million,1
299,tens of millions of acres,1
300,$312 billion,1
301,over $7 billion,1
303,$12 billion,1
304,15 cents,1
305,$195 million,1
306,$286 million,1
307,some $540 million,1
308,$150 million,1
309,about $345 million,1
310,$400 million,1
277,$843 million,1
275,half a trillion dollars,1
241,$93 million,1
249,38,1
255,$985 million,1
254,$362 million,1
179,about $30 billion,1
252,$939 .8 million,1
251,$30 million,1
250,77,1
248,half dollar,1
274,approximately $15 billion,1
247,40 u .s .c,1
246,up to $50,1
245,48,1
244,more than $476 billion,1
243,432,1
242,as much as $150 million,1
256,$555 million,1
257,872,1
258,385,1
259,121,1
260,$20 billion,1
261,fifteen billion dollars,1
262,half trillion dollars,1
263,36,1
265,more than $42,1
266,more than $10 billion,1
267,up to $6 .6 billion,1
268,$6 .6 billion,1
269,up to $3 .3 billion,1
270,up to $3 billion,1
271,35,1
272,up to $4 billion,1
273,over $16 billion,1
180,over $5 billion,1
156,$747 million,1
178,more than $47 billion,1
71,$1 .3,1
55,more than $500 million,1
56,some $4 billion $4,1
57,as much as $12,1
58,42 u .s .c,1
59,$1304 billion,1
60,$32 billion,1
61,12 to 15 cents,1
62,$1,1
63,$382 million,1
64,$672 million,1
67,$216 million,1
68,$5 .1 billion,1
69,an estimated $7 .6 billion,1
70,only $260,1
74,$5 .9 billion,1
177,more than $1,1
75,$2 .2 billion to $2 .9 billion,1
76,2 .4 million,1
77,$2 .7 billion to $3 .9 billion,1
79,$276 million,1
80,an additional $200 million,1
83,over $415 million,1
84,more than $50 billion,1
86,$29 .7 billion,1
89,$9 .4 billion,1
90,about $25 billion,1
91,more than $270,1
94,an additional $250 million,1
96,more than $2 billion,1
98,$63 billion,1
54,up to $1 .5 billion,1
53,approximately $900 million,1
52,up to $200,1
51,only $50,1
