,Word,Count
0,american,642
1,americans,336
30,indian,40
38,soviet,35
9,arab,30
6,european,27
2,republican,22
51,syrian,21
41,israeli,20
23,communist,20
8,republicans,17
40,egyptian,17
13,democrat,17
45,french,16
20,russian,15
7,democrats,14
44,british,13
100,sides,11
4,soviets,10
3,alaskan,9
36,spanish,8
12,skylab,7
39,new federalism,7
5,chinese,7
34,indians,6
62,jewish,6
54,german,5
33,va,5
10,latin american,5
52,syrians,4
65,europeans,4
53,israelis,4
14,democratic,4
15,arabs,4
96,jordanian,3
28,romanian,3
48,japanese,3
67,nazi,3
89,hawaiian,3
11,canadian,3
61,russians,3
32,spanish-american,2
60,irish,2
93,palestinians,2
92,palestinian,2
58,egyptians,2
64,european-american,2
16,canadians,2
87,saudi,2
72,partisans,2
83,mexican,2
77,south vietnamese,2
79,cambodian,2
55,jingoistic,2
17,southern,2
47,germans,2
35,american indians,2
26,vietnamese,2
25,socialist,2
49,inter-american,2
91,egyptian-american,1
86,egyyptian,1
105,greek,1
81,establish,1
82,evans,1
95,jordanian-american,1
84,us-german,1
104,turkish,1
85,marines,1
103,bohemian,1
97,korbut,1
88,saudi arabian,1
94,pollyannaish,1
102,yankee,1
101,french-american,1
90,aleutian,1
99,soviet-american,1
98,argentine,1
80,mississippians,1
69,african,1
78,laotian,1
18,anti-communist,1
29,balkan,1
37,hispanic,1
27,non-socialist,1
24,pueblo indians,1
42,protestant,1
43,catholic,1
22,seafarers,1
21,californians,1
46,italians,1
50,caribbean,1
19,communists,1
56,non-communist,1
76,athenian,1
57,southeast asian,1
59,latin,1
63,soviet jews,1
66,agriculture,1
68,western european,1
31,improving,1
70,asian,1
71,cougar,1
73,central american,1
74,south american,1
75,all-american,1
106,californian,1
