,Word,Count
5,congress,804
50,state,244
10,nation,199
0,senate,159
38,the federal government,156
61,sec,123
4,the white house,121
42,administration,112
102,federal,109
64,house,85
36,congressional,60
60,u .s,56
27,the independence of the united states of america,49
16,treasury,46
323,committee,46
272,education,39
85,council,39
104,lincoln,38
224,executive,36
122,the u .s,35
175,the house of representatives,35
43,interior,35
58,the office of management and budget,33
56,project independence,33
385,bicentennial,31
48,government,30
22,agriculture,29
213,the federal energy office,29
99,cabinet,29
351,medicare,29
69,commission,27
226,the united nations,26
115,white house,24
265,defense,22
100,nato,22
542,fha,21
163,commerce,20
21,the tariff schedules,20
35,the special prosecutor,20
23,the department of agriculture,20
217,order,20
180,navy,19
273,welfare,18
597,the house judiciary committee,18
271,health,17
264,housing and urban development,17
39,amtrak,16
356,hmo,15
170,armed forces,15
288,the federal energy administration,15
87,witness whereof,14
286,the department of health,14
149,the judiciary committee,14
47,governors,14
194,labor,13
6,the economic stabilization program,13
352,medicaid,13
327,the export council,12
467,the veterans administration,12
769,the civil service commission,12
114,the environmental protection agency,12
24,the united states tariff commission,12
181,the congress of the united states,12
2,the department of state,12
377,the office of the presidency,11
33,u .s .c,11
593,union,11
219,the general services administration,11
49,the atomic energy commission,11
856,vfw,10
51,the manhattan project,10
90,the supreme court,10
253,the internal revenue service,10
14,ida,10
252,the united states government,10
277,"federal , state",10
650,court,9
1105,gnma,9
26,the tariff commission,9
25,tsus,9
403,the council of economic advisers,9
628,the governors of the states,9
41,transportation,9
464,gi,9
106,the energy policy office,8
112,the department of the interior,8
211,the executive office,7
101,federal government,7
34,the department of justice,7
583,living council,7
731,the executive schedule,7
641,assisted health insurance,7
173,the armed forces,7
413,vi,7
348,the comprehensive employment,7
390,the administrator of general services,7
12,the international development association,7
52,apollo,7
215,the cost of living council,7
190,office,7
505,the federal government's,6
242,veterans administration,6
1279,sides,6
367,the regional rail reorganization act,6
146,itt,6
1097,the federal energy administration act,6
378,the executive branch,6
639,chip,6
636,the comprehensive health insurance plan,6
1052,fbi,6
88,the senate select committee,6
279,the department of defense,6
1266,the western alliance,6
75,energy research and development administration,6
305,the treasury department,6
935,the oil policy committee,6
927,army,6
1091,judicial,6
70,naval petroleum reserve,6
925,the armed forces of the united states,6
376,white house counsel,6
435,erda,6
400,the national institute of education,5
876,the atlantic alliance,5
297,administrator,5
448,national institute of education,5
220,the administrator of the federal energy office,5
663,agency,5
274,the small business administration,5
1366,cia,5
313,the department of labor,5
680,cedars of lebanon,5
321,the council on international economic policy,5
560,the national endowment for the arts,5
263,house of representatives,5
698,allied,5
700,allies,5
518,the justice department,5
716,fda,5
721,the american cancer society,5
493,federal and state,5
476,international women's year,5
733,department of health,5
801,the administrator of veterans affairs,5
17,the international monetary fund,5
123,eob,5
72,the federal-aid highway act,5
67,epa,5
91,executive office building,5
121,the secret service,5
1073,the federal reserve,5
212,federal energy office,4
214,the emergency petroleum allocation act,4
209,warner,4
489,ceta,4
792,the american red cross,4
786,cormier,4
336,menominees,4
346,church,4
15,the asian development bank,4
13,the world bank,4
741,department of labor,4
325,the department of commerce,4
243,the united nations general assembly,4
719,the national cancer institute,4
185,the armed services committee,4
585,executive order,4
1210,united nations security council,4
255,gsa,4
1270,the central committee,4
690,eda,4
612,budget,4
687,the sertoma club,4
74,department of energy and natural resources,4
278,the department of housing and urban development,4
302,presidential campaign activities,4
666,usery,4
84,protocol,4
1258,alliance,4
646,psro,4
457,basic grants,4
144,the washington post,4
31,whereas,4
1107,the federal home loan bank system,4
401,the national science foundation,4
926,armed forces day,4
171,air force,4
1026,the federal property council,4
985,wilkes-barre,4
910,the european community,4
370,the department of transportation,4
1286,conference,3
116,the washington star,3
743,department of defense,3
552,bicentennial communities,3
303,the united nations environment fund,3
231,the council of ministers,3
679,the cedars of lebanon,3
1327,eec,3
1067,the labor-management advisory committee,3
227,the conference on security and cooperation,3
86,national farm-city week,3
662,the arms control and disarmament agency,3
1275,european affairs,3
66,the defense department,3
92,the executive office building,3
952,mariner 10,3
98,the national association of realtors,3
606,the new economic policy,3
1,copenhagen,3
697,the department of defense appropriation authorization act,3
1267,abm,3
37,the rail passenger service act,3
702,the north atlantic council,3
95,containers,3
409,the united nations emergency force,3
956,tea,3
93,national security affairs,3
578,the national oceanic and atmospheric administration,3
40,the interstate commerce commission,3
564,the humanities endowment,3
223,a federal energy administration,3
266,the office of emergency preparedness,3
607,united nations,3
497,improving,3
472,the national alliance of businessmen,3
383,united states senate,3
1309,united nations day,3
1124,the european economic community,3
54,an energy research and development administration,3
853,the founding fathers,3
353,the trust territory,3
465,vietnamera,3
1095,feo,3
820,wilson,3
200,the national wilderness preservation system,3
1260,general,3
806,--the,3
802,dic,3
359,the flood disaster protection act,3
289,the federal water pollution control act,3
57,office of president of,3
790,red cross month,3
