,Word,Count
0,richard nixon,223
52,nixon,149
51,richard m,41
170,simon,32
45,kissinger,30
211,sadat,30
35,dean,27
34,john dean,22
36,haldeman,22
180,witness whereof,18
696,sides,16
33,john mitchell,15
104,jefferson,15
73,johnson,14
85,ehrlichman,13
154,wildlife refuge,13
255,roy,12
4,eisenhower,12
492,jim sparling,12
300,thomas,11
128,carl vinson,11
599,asad,11
118,pat,11
77,ervin,11
81,jaworski,10
167,ceausescu,10
14,moon,10
12,jackson,10
50,kennedy,9
561,expo,9
43,george washington,9
41,mitchell,9
392,acuff,9
39,sirica,8
123,lee,8
235,brezhnev,8
236,thomas jefferson,8
244,abraham lincoln,8
283,wallace,7
354,rodino,7
11,love,7
496,jim harvey,7
656,rabin,7
662,spinola,7
17,weinberger,7
333,julie,6
345,clark,6
145,paul hall,6
146,paul,6
135,john stennis,6
213,william simon,6
303,doar,6
27,helen bentley,6
306,butz,6
477,lynn,6
645,his majesty,6
618,rabbi korff,5
38,kleindienst,5
429,pompidou,5
74,hunt,5
76,cox,5
681,khatyn,5
8,bill,5
83,john,5
16,smith,5
184,warren,5
59,pecora,5
212,meir,5
572,kamm,5
389,roy acuff,5
173,henry kissinger,5
566,bill simon,5
174,george shultz,5
677,minsk,4
248,quaker,4
222,iii,4
172,nicolae ceausescu,4
197,welfare,4
189,shultz,4
94,mr,4
315,truman,4
138,dunn,4
581,enid,4
359,mcclellan,4
371,george mahon,4
37,stennis,4
46,chou en-lai,4
47,mao tse-tung,4
338,ziegler,4
330,bush,4
328,lisagor,4
361,mahon,4
9,bork,4
64,quinn,4
79,baker,4
6,saxbe,4
302,james d,4
317,healy,4
147,madagascar,3
367,woodrow wilson,3
490,griffin,3
168,app,3
372,patrick,3
163,rickover,3
388,brock,3
533,hutchinson,3
674,podgorny,3
507,sec,3
675,kosygin,3
550,havasupais,3
519,de gaulle,3
393,yo-yo,3
261,skylab,3
552,jack williams,3
357,wilson,3
256,kauffman,3
594,kenneth rush,3
295,ford,3
307,jarriel,3
234,shuttle,3
214,winston churchill,3
334,williams,3
573,henry bellmon,3
207,tex ritter,3
562,spokane,3
650,katzir,3
652,golda meir,3
190,menominee,3
257,gandhi,3
558,jocko conlan,3
560,evans,3
628,alexandria,3
97,harry truman,3
22,long,3
2,phase iv,3
88,krogh,3
28,pat nixon,3
122,robert e,3
699,earl warren,3
688,ronald l,3
125,harris,3
127,vinson,3
55,hatfield,3
49,john f,3
131,walter george,3
534,john ehrlichman,2
258,gesell,2
531,gulfport,2
538,henry petersen,2
382,daley,2
391,a yo-yo,2
272,scheel,2
600,powell,2
609,mack,2
383,percy,2
267,gentlemen,2
525,millsaps,2
607,gaylord,2
253,roy ash,2
619,curtis,2
524,waller,2
229,caspar weinberger,2
509,barnes,2
510,estan,2
223,morton,2
416,john m,2
632,mille lacs,2
227,veterans day,2
230,murray chotiner,2
249,quakers,2
92,lyndon johnson,2
708,dizzy dean,2
517,yorktown,2
89,ellsberg,2
245,elton trueblood,2
280,allen,2
279,sparkman,2
299,ladies,2
540,liddy,2
42,sawyer,2
556,johnny rhodes,2
578,bennett,2
32,richard,2
324,humphrey,2
40,petersen,2
326,wiesner,2
329,peter lisagor,2
30,peron,2
44,dwight eisenhower,2
331,george bush,2
574,john jarman,2
336,cormier,2
54,mark,2
339,theis,2
318,paul f,2
316,alexander solzhenitsyn,2
284,huntsville,2
70,benjamin franklin,2
72,counsel,2
287,saqqaf,2
219,lewis strauss,2
294,james madison's,2
735,lowman,2
298,bill knowland,2
301,helen thomas,2
555,paul fannin,2
68,john c,2
586,peter w,2
305,frank cormier,2
309,dan rather,2
311,shah,2
312,sarah mcclendon,2
289,schlesinger,2
626,constitutional,2
568,abe,2
117,mcgovern,2
181,tyna,2
150,frederick b,2
657,hussein,2
121,bill perdue,2
450,earl butz,2
199,whitney gillilland,2
198,theodore roosevelt,2
120,duke,2
433,andrew johnson,2
669,kenneth h,2
658,majesty,2
664,echeverria,2
654,the king of jordan,2
453,eberle,2
667,counsellor rush,2
187,wright,2
700,valery giscard,2
162,david ben-gurion,2
119,mercer,2
665,herbert brownell,2
479,guard,2
488,brown,2
201,lawrence quincy mumford,2
206,tex,2
694,zamyatin,2
137,dan kuykendall,2
98,donald nixon,2
463,subchapter iii,2
642,e1-sadat,2
208,fred seaton,2
129,phil landrum,2
144,dent,2
171,william e,2
205,bohlen,2
461,robinson risner,2
142,hall,2
143,brennan,2
430,mansfield,2
106,marshall,2
481,dunne,1
480,tom dunne 2,1
734,charles lowman,1
549,fannin,1
547,develop,1
548,goldwater,1
736,charles leroy lowman,1
546,camille,1
545,arch booth,1
476,james t,1
733,burns,1
472,schmidt,1
729,klein,1
469,mcclendon,1
565,john sawhill,1
470,donald johnson,1
564,marvin miller,1
563,foley,1
730,charles s,1
471,georges pompidou,1
559,dean burch,1
473,de tocqueville,1
551,steiger,1
474,madam pompidou,1
557,sam steiger,1
731,fred j,1
475,xenia greene county courthouse,1
482,ken cole,1
478,robert johnson,1
732,russell,1
554,barry goldwater's,1
553,barry,1
544,rust,1
503,thumb,1
543,law day,1
515,rafil sapend pastor,1
497,mayor,1
523,franz jonas,1
498,edward s,1
522,--for jordan,1
521,--for egypt,1
520,anwar,1
741,callaghan,1
518,spicer,1
567,swan song,1
516,donald spicer,1
743,gray,1
514,la,1
495,bob griffin,1
513,galo,1
499,alvin degrow,1
512,ruiz cortines,1
500,quincy hoffman,1
511,nancy kissinger,1
501,jim,1
508,elihu root,1
502,jim harvey's,1
742,".""6-",1
506,abbott,1
505,robert,1
744,helms,1
526,archie manning,1
483,xenia young men's,1
746,honorable william p,1
484,wright-pat,1
542,jeb,1
541,magruder,1
485,tom dunne,1
539,gordon liddy's,1
486,gilligan,1
504,sandusky,1
