,Word,Count
8,act,14
7,000,13
0,treaty,11
1,convention,6
11,rodenticide act,3
13,saints,2
51,sides,2
38,ii,2
35,301b,2
34,351a 1,2
32,soyuz,2
17,training act,2
31,constitution,2
4,skylab,2
2,protocol,2
3,stennis,2
12,menominees,1
48,sections 2,1
40,article xix,1
41,schedule xx,1
42,space shuttle,1
43,declaration,1
44,sooners,1
45,trident,1
46,the stars and stripes,1
47,338--a,1
50,soyuz-apollo,1
49,section 212d,1
52,article vi,1
53,agreement,1
54,charter,1
55,law of the sea conference,1
56,252c,1
57,255b,1
58,proclamation 3564,1
59,article vii,1
60,regulations,1
39,"302a 1 , 2",1
37,302a 3,1
14,the life safety code,1
24,the transportation improvement act,1
15,hmo,1
16,countries-----------------------------33,1
10,waste disposal act,1
18,library partnership act,1
19,a disaster preparedness and assistance act,1
20,the space shuttle,1
21,responsive governments act,1
22,the responsive governments act,1
23,eagle,1
25,812a,1
36,302a 2,1
26,endowment,1
27,countries-----------------------------80,1
28,reserve #4,1
29,post card registration,1
30,rodino,1
9,762a,1
6,falcon,1
33,302a 1,1
5,air force one,1
61,402a,1
