,Word,Count
42,world,1143
303,people,1101
120,years,909
363,energy,849
155,peace,841
144,year,832
23,time,769
68,country,494
139,today,489
253,program,440
297,health,435
158,problems,404
72,nation,395
130,nations,392
464,war,385
70,system,369
419,way,362
79,programs,360
251,oil,355
437,problem,344
124,order,341
706,area,325
149,legislation,319
119,countries,309
100,course,307
65,goal,305
240,section,291
88,progress,278
284,day,274
184,areas,269
1033,care,266
235,part,265
77,percent,265
132,development,265
25,economy,254
837,government,254
101,fact,251
89,future,249
46,prices,245
113,efforts,243
157,action,243
61,cooperation,238
37,inflation,232
255,authority,229
55,policy,209
384,bill,208
411,budget,207
466,production,203
118,assistance,203
349,one,201
109,cost,199
117,role,196
17,effort,194
1609,education,194
336,terms,193
627,strength,190
207,support,189
788,state,188
295,history,188
327,regard,187
21,period,187
339,opportunity,186
216,resources,184
287,man,184
491,crisis,184
7,respect,182
338,law,176
135,funds,174
316,members,173
239,others,172
532,example,171
128,interest,170
116,field,169
74,number,168
183,relations,168
439,needs,165
301,life,165
789,men,165
148,work,165
666,office,164
500,power,163
687,tax,161
214,matter,161
66,price,161
346,leaders,160
847,question,157
104,use,155
631,money,152
1030,point,152
416,agencies,150
345,activities,150
213,proposals,149
1707,governments,149
170,end,148
1217,security,147
293,services,146
41,home,146
153,need,143
313,transportation,143
168,trade,141
5,information,141
54,supplies,140
1010,friends,140
314,service,138
238,basis,138
231,addition,136
722,process,134
1856,veterans,133
599,food,132
600,leadership,132
174,agreement,130
36,rate,130
136,result,129
979,insurance,128
556,purpose,128
97,level,128
539,case,127
34,measures,127
652,campaign,127
458,months,127
457,tonight,124
1469,benefits,124
355,quality,124
626,things,124
1063,children,124
29,income,124
152,meeting,124
294,place,124
53,actions,123
1039,kind,122
6,report,119
205,responsibility,119
764,costs,118
552,spirit,117
126,term,115
579,gas,114
202,self,113
644,sense,112
52,effect,112
558,act,112
969,thing,111
1084,generation,111
39,increase,110
711,industry,110
506,times,110
269,hereby,109
27,jobs,109
785,family,108
590,attention,108
607,research,107
773,women,107
484,school,106
1483,policies,106
283,hand,105
291,ways,104
188,systems,104
447,goals,103
175,steps,103
351,week,103
526,step,102
138,negotiations,101
682,no,100
654,unemployment,100
370,fuel,99
574,increases,99
992,relationship,98
498,coal,97
224,proposal,97
840,conversations,96
321,days,96
154,structure,95
171,reform,94
410,control,94
766,guests,94
344,ability,92
881,committee,92
87,reason,92
716,forces,92
638,situation,92
105,cause,92
10,provisions,90
1141,differences,90
1035,independence,90
1017,housing,89
366,environment,89
1464,freedom,89
112,challenge,89
26,employment,89
551,community,88
628,century,88
1441,defense,88
772,occasion,87
582,prosperity,87
649,citizens,87
199,group,87
62,business,87
24,growth,87
832,organizations,87
1260,visit,86
230,responsibilities,86
1339,plan,86
190,interests,85
57,spending,85
620,space,83
1601,levels,83
527,officials,83
774,states,82
593,matters,82
47,plans,81
479,shortage,81
665,job,81
1267,decisions,79
341,questions,79
476,gasoline,79
756,facilities,78
1727,friendship,77
596,record,76
1125,importance,75
399,management,75
534,communities,75
192,position,75
1715,peoples,75
663,answer,74
469,supply,74
521,agency,74
122,institutions,73
565,regulations,73
201,standards,73
669,past,72
69,market,72
1027,embargo,72
1420,arms,72
667,land,71
482,homes,71
446,message,70
31,front,70
32,balance,70
33,payments,69
256,investigation,69
1008,beginning,69
1019,controls,69
592,initiatives,69
933,taxes,68
686,laws,68
197,aid,68
288,heart,68
215,concern,67
428,right,67
639,weeks,67
290,millions,67
340,statement,67
44,products,67
2268,workers,66
0,view,66
140,organization,66
274,individual,65
186,principles,65
145,amount,65
1317,chance,65
844,tapes,65
106,lives,65
1055,force,65
1050,extent,64
1107,era,64
1680,families,64
645,measure,63
851,evidence,63
260,emergency,63
229,contributions,63
227,requirements,63
963,presidents,63
741,purposes,62
529,construction,62
813,audience,62
129,rates,62
90,success,62
220,month,62
364,conservation,61
110,hope,61
878,conclusion,61
1533,opportunities,61
609,technology,60
630,funding,60
1787,agreements,60
16,contribution,60
40,demand,60
267,virtue,60
730,powers,60
1294,rights,60
1803,projects,60
461,shortages,59
325,gentlemen,59
804,side,59
867,tape,59
177,reduction,59
1094,knowledge,59
1870,welfare,59
1077,anniversary,59
261,treatment,59
19,consideration,59
323,conditions,59
172,date,58
211,materials,58
477,sources,58
1752,results,58
1986,credit,58
1342,disaster,57
801,city,57
777,lot,57
1112,enterprise,57
81,safety,57
432,reasons,57
78,range,57
672,functions,57
324,ladies,56
901,meetings,56
743,improvements,56
365,protection,56
1173,words,55
679,planning,55
3644,candidates,55
1382,changes,55
2590,students,55
601,thousands,55
1831,compensation,55
1015,sides,55
1758,means,54
834,schools,54
1045,consumer,54
445,burden,54
729,water,54
478,capacity,54
22,quarter,53
807,conversation,53
374,air,53
862,decision,53
459,demands,53
1032,confrontation,53
1,advice,53
792,privilege,53
1159,companies,52
994,trip,52
1182,conference,52
671,title,52
641,commitment,52
1471,cancer,51
1212,word,51
354,railroads,51
408,branch,51
406,establishment,51
1975,election,51
1048,rest,51
330,press,51
181,investment,51
460,consumption,51
1157,help,51
