,Word,Count
72,president,1330
2,states,1284
1,united,1268
4,america,1050
16,congress,825
114,mr,537
122,federal,466
123,government,429
14,house,417
62,act,402
12,nixon,386
43,secretary,371
86,americans,340
33,administration,331
11,richard,270
13,white,255
111,nation,239
10,state,232
278,committee,223
27,national,221
319,union,200
180,council,190
47,washington,189
0,senate,177
318,soviet,172
170,office,163
145,energy,156
9,department,156
59,american,143
333,vietnam,133
104,general,133
8,june,133
22,april,131
37,world,130
178,sec,127
70,commission,127
332,mideast,124
279,march,118
379,europe,117
223,mrs,114
82,independence,112
71,december,110
422,may,107
723,israel,107
287,executive,107
831,health,105
107,senator,105
323,republic,104
143,east,104
169,watergate,103
19,economic,101
50,war,98
179,chairman,95
142,middle,92
206,administrator,90
324,china,86
317,january,84
35,development,79
52,july,78
139,new,77
827,education,77
351,day,76
34,international,76
229,john,75
172,director,74
51,ii,70
67,agriculture,66
753,nations,65
544,minister,65
1027,egypt,64
322,people,63
121,service,63
883,february,62
44,treasury,62
40,special,61
185,defense,60
15,october,59
110,vice,59
160,project,57
65,tariff,57
81,lord,56
785,veterans,55
79,whereof,55
78,witness,55
275,dean,54
80,hereunto,54
2377,majesty,54
284,lincoln,52
171,code,51
174,budget,51
188,order,50
604,asia,50
147,governor,50
480,presidency,50
359,policy,49
167,bicentennial,49
579,armed,48
155,california,48
102,commerce,48
21,program,47
103,attorney,46
20,stabilization,46
744,living,46
133,interior,46
75,november,46
1219,ussr,45
173,management,45
442,judiciary,45
132,law,44
644,prime,44
358,trade,44
748,simon,44
109,representatives,44
739,constitution,44
117,prosecutor,43
261,convention,43
871,district,42
236,congressman,42
208,emergency,42
1034,sadat,41
98,labor,40
775,agreement,39
46,september,39
152,us,39
272,week,39
128,transportation,39
310,cabinet,39
737,romania,38
350,god,38
325,kissinger,38
183,stat,38
580,forces,38
292,affairs,37
83,dr,37
832,welfare,37
811,insurance,37
786,va,36
600,services,36
755,conference,36
291,assistant,35
476,moscow,34
337,nato,34
131,public,34
767,foreign,33
782,atlantic,33
307,george,32
469,revenue,32
158,alaska,32
269,august,31
957,medicare,31
271,city,31
210,protection,31
63,presidential,31
256,air,31
716,ambassador,31
184,security,31
138,governors,30
821,urban,30
743,deputy,30
346,latin,30
209,environmental,30
1850,france,29
54,assistance,29
199,joint,28
384,agency,28
355,earth,28
112,bill,28
113,justice,28
38,bank,27
141,york,27
820,housing,27
197,control,27
416,johnson,26
274,mitchell,26
36,association,26
674,wildlife,26
282,court,26
623,thomas,26
446,st,26
570,south,26
1459,mexico,26
468,internal,25
601,navy,25
560,school,25
220,export,25
675,refuge,25
280,haldeman,25
585,korea,25
872,columbia,25
1150,alliance,25
938,comprehensive,24
789,rights,24
2075,jordan,24
276,sunday,24
418,western,24
315,san,23
182,plan,23
597,jim,23
84,paul,23
504,jefferson,23
213,petroleum,23
1015,institute,23
336,africa,22
356,north,22
1012,european,22
756,cooperation,22
214,reserve,22
1160,cancer,22
187,civil,22
603,southeast,21
1240,fha,21
2486,sides,21
1461,saudi,21
1462,arabia,21
166,research,21
839,year,21
611,brezhnev,21
61,adjustment,21
257,force,21
629,spirit,21
1000,federalism,21
87,eisenhower,20
687,mississippi,20
534,christmas,20
1768,usa,20
136,river,20
939,employment,20
1025,cairo,20
1349,roy,20
66,schedules,20
818,disaster,19
49,fund,19
536,colorado,19
26,safety,19
1182,food,19
299,counsel,19
440,republican,19
1252,revolution,19
3,treaty,19
218,aid,18
982,regional,18
788,declaration,18
176,resources,18
302,geneva,18
444,ehrlichman,18
424,democrat,17
60,agricultural,17
370,carl,17
45,system,17
105,william,17
1645,syria,17
205,members,17
311,et,17
262,regulations,17
770,counsellor,17
339,japan,17
342,republicans,17
124,amtrak,17
626,action,17
630,hall,17
901,expansion,17
68,tsus,17
918,organization,17
1579,chicago,17
259,west,17
64,appendix,17
908,advisory,17
760,central,16
735,ceausescu,16
