,Word,Count
72,made,545
228,know,523
539,say,499
230,going,469
235,think,452
7,make,436
298,want,403
120,provide,398
407,let,372
153,continue,352
497,believe,310
79,come,303
163,said,298
374,see,281
350,go,268
52,take,263
305,work,238
56,meet,231
545,look,218
110,need,203
221,had,202
126,help,189
357,working,183
672,concerned,177
180,find,174
382,done,171
681,tell,162
116,taken,157
456,like,156
94,set,155
194,including,154
77,build,151
10,give,150
31,achieve,150
98,needed,146
61,become,144
140,proposed,144
64,provided,142
664,assure,141
158,urge,141
159,amended,137
330,means,131
250,thank,131
223,having,130
13,increased,130
332,develop,128
338,mean,126
251,making,126
351,live,126
364,bring,125
923,pay,124
419,keep,122
148,move,122
401,remember,116
620,served,112
686,continuing,112
361,asked,111
139,put,111
285,established,109
227,serve,108
556,came,108
331,use,107
87,deal,107
240,understand,105
17,improve,105
123,play,103
626,used,102
380,recognize,102
410,called,101
245,hope,101
186,vested,100
246,call,99
724,thought,98
59,developing,97
275,consider,96
30,reduce,95
341,require,92
266,increasing,92
16,continued,92
28,increase,91
2,signed,91
234,given,90
273,seek,88
106,act,87
224,met,87
511,involved,86
134,agreed,86
575,saw,85
682,seen,84
666,existing,83
105,providing,83
97,lead,83
219,found,82
428,brought,81
104,support,81
115,ensure,80
63,provides,79
192,required,78
253,maintain,77
222,known,77
372,encourage,76
157,building,75
508,based,75
581,got,75
352,ask,75
308,produce,72
705,moving,72
67,join,72
453,doing,71
413,realize,71
318,talk,69
1067,receive,68
229,indicated,67
25,directed,67
258,carry,66
652,permit,66
642,referred,66
699,trust,65
873,leave,65
96,taking,64
530,contribute,64
501,achieved,64
408,turn,63
297,looking,63
518,held,63
553,trying,62
38,designed,62
782,remain,62
845,getting,61
1223,lasting,61
1074,include,61
345,following,61
75,submitted,61
547,happened,60
26,developed,59
794,avoid,59
978,worked,59
532,read,59
448,speaking,59
24,beginning,58
247,speak,58
447,needs,58
495,coming,58
1436,improving,58
688,went,58
567,began,57
41,expect,57
439,ordered,57
99,meeting,56
213,create,56
15,reached,56
189,follows,56
73,paid,56
145,point,55
1458,propose,55
783,expressed,55
852,told,55
84,created,55
748,producing,54
900,took,54
373,gone,54
50,hold,54
319,face,54
324,cut,53
304,ended,53
702,afford,53
619,protect,53
276,establish,53
33,passed,53
306,strengthen,52
650,authorized,52
156,helping,52
966,comes,51
464,noted,51
132,cooperate,51
551,share,50
645,hear,50
733,begin,50
119,assist,50
154,enjoy,49
459,achieving,49
561,received,49
334,affect,49
231,run,49
536,express,48
714,suggest,48
578,lost,48
177,requires,47
92,begun,47
431,helped,47
755,talking,47
225,knew,47
751,goes,47
541,try,46
48,rising,45
692,fought,45
769,get,45
711,fight,45
174,requested,45
201,prevent,45
303,solve,44
739,feel,44
906,agree,44
243,discussed,44
600,determine,44
125,raise,44
102,allow,44
677,saying,43
207,stand,43
400,considered,43
792,built,43
43,reducing,43
19,reduced,43
577,played,43
205,left,43
290,sign,42
719,spend,42
430,gave,42
389,expand,41
164,reported,41
869,recall,41
1217,issued,41
160,imposed,41
477,relating,41
66,proposing,41
412,enacted,41
1251,concerning,40
365,learned,40
135,submit,40
103,participate,40
282,extend,40
208,represented,40
289,turned,39
583,happen,39
855,welcome,39
576,talked,39
784,giving,39
1395,expanded,39
474,designated,39
40,felt,39
610,covered,39
1048,related,39
830,tried,38
1023,win,38
585,concluded,38
862,intend,38
683,makes,38
1313,spent,38
370,follow,37
1724,reach,37
137,represents,37
1881,represent,37
362,asking,37
592,designate,37
471,exist,36
1131,visited,36
886,heard,36
463,raised,35
442,accomplish,35
272,exercise,35
646,occurred,35
151,keeping,35
468,elected,35
261,expected,35
1122,living,35
685,plan,35
1090,bringing,35
232,wanted,34
700,learn,34
896,wish,34
1248,promote,34
113,respond,34
143,approved,34
546,became,33
47,estimated,33
204,won,33
184,undertaken,33
187,proclaim,33
921,engaged,33
490,seeking,33
175,determined,33
152,show,33
629,pointed,33
37,contributed,32
217,send,32
29,enable,32
237,answer,32
393,rationing,32
395,wonder,32
1053,defend,32
777,reflect,32
1004,add,32
962,cover,32
112,negotiate,32
605,presented,32
804,added,32
1215,remains,32
409,sent,32
404,growing,31
970,destroy,31
78,stated,31
335,using,31
647,mentioned,31
190,described,31
1200,continues,31
32,return,31
850,stay,31
9,recommend,30
473,placed,30
582,carried,30
662,insure,30
843,supported,30
565,moved,30
150,pending,30
147,completed,30
1363,apply,30
172,conducted,30
71,authorize,30
178,ending,30
887,conclude,30
1397,issue,29
509,included,29
1305,strengthening,29
265,shown,29
834,seems,29
149,enact,29
271,review,29
426,faced,28
454,accomplished,28
607,believed,28
376,save,28
0,receiving,28
1734,improved,28
1494,obtain,28
22,decided,28
1012,spoke,28
1441,benefit,28
44,extended,28
1010,last,28
198,remembered,28
899,spoken,27
2168,refer,27
264,address,27
599,offer,27
595,recorded,27
249,appreciate,27
377,result,27
114,assume,27
295,change,27
1245,expanding,27
88,report,27
1279,demonstrated,27
226,wants,27
529,direct,27
1037,seem,27
1020,happens,26
1086,permitted,26
1044,stood,26
1054,dedicated,26
1105,maintaining,26
1107,meant,26
124,encouraging,26
432,end,26
1445,committed,26
423,announced,26
494,changed,26
736,seeing,26
881,written,26
735,lose,26
1281,recognized,25
1117,carrying,25
691,followed,25
1028,says,25
1565,deserve,25
617,discuss,25
625,caused,25
218,prepared,25
503,led,25
1360,reaching,25
396,turning,24
422,recommended,24
101,considering,24
176,exists,24
455,brings,24
1373,celebrate,24
45,died,24
955,knows,24
1409,affecting,24
475,empowered,24
821,pass,24
668,mention,24
1162,serving,24
796,dealing,23
593,request,23
1210,stands,23
293,aimed,23
790,place,23
107,fail,23
616,suggesting,23
8,control,23
1690,fighting,23
167,entered,23
706,note,23
375,adopted,23
649,shows,23
644,offered,23
259,becoming,23
394,becomes,23
1052,break,23
558,shared,22
634,maintained,22
1756,rise,22
709,indicate,22
746,finding,22
780,kept,22
1274,employed,22
1031,disagree,22
866,listening,22
669,addressed,22
1372,prepare,22
57,enhance,22
1383,accept,22
1,transmit,22
519,recognizing,22
954,conduct,22
1151,sought,22
278,gives,22
505,standing,22
809,eliminate,22
1083,spending,22
1072,limit,22
604,removed,22
1199,visit,22
499,cause,22
214,appointed,22
1398,am,21
538,honor,21
1057,establishing,21
1080,remaining,21
1381,overcome,21
708,thinking,21
701,love,21
257,choose,21
122,includes,21
684,returning,21
12,covering,21
938,occur,21
1271,resulting,21
86,urged,21
1256,facilitate,21
703,depend,21
847,outlined,21
1212,delegated,21
1477,attempting,20
525,authorizing,20
715,affected,20
1593,replace,20
944,earned,20
461,drafted,20
327,anticipated,20
1061,respected,20
1924,preserve,20
460,returned,20
694,putting,20
1071,suffered,20
1087,observe,20
813,affects,20
1116,appear,20
979,entitled,20
1227,setting,20
252,supporting,20
1919,resulted,20
446,pledge,20
571,looked,19
1237,facing,19
860,survive,19
1032,grow,19
622,accepted,19
831,forget,19
1366,allowed,19
917,charged,19
718,takes,19
1370,measured,19
1681,paying,19
1635,invite,19
667,regarding,19
817,congratulate,19
193,entering,19
191,specified,19
320,grown,19
170,render,19
299,emphasize,19
296,granted,19
3,negotiated,19
241,complete,19
425,demonstrate,18
1592,extending,18
849,referring,18
517,drawn,18
797,signing,18
655,examine,18
27,combined,18
1216,superseded,18
429,assigned,18
931,buy,18
1656,focus,18
1220,revoked,18
185,acting,18
738,suffer,18
100,launched,18
1099,succeed,18
244,announce,18
861,restore,18
693,laid,18
165,believes,18
286,creating,18
142,participating,18
492,seemed,18
1295,acted,18
