,Word,Count
2,states,1345
1,united,1274
278,world,1181
743,people,1073
908,energy,980
18,also,918
139,federal,898
266,years,885
343,peace,832
54,congress,820
316,year,803
361,great,787
65,time,741
68,american,685
426,must,683
886,government,645
822,first,587
193,many,557
314,made,533
730,health,532
833,know,518
735,nation,489
57,economic,488
59,program,483
836,going,470
156,country,469
301,today,464
391,1974,459
75,national,456
843,think,451
287,nations,445
346,well,444
36,make,435
51,house,429
22,state,415
352,problems,402
1066,want,398
467,provide,398
326,work,398
273,order,394
160,system,380
49,nixon,379
674,shall,372
330,secretary,368
183,programs,359
567,continue,352
339,need,348
53,1973,345
275,development,343
1063,problem,339
235,administration,338
200,future,335
718,americans,333
149,public,329
1155,much,328
274,important,328
1710,area,324
327,legislation,319
385,last,318
1603,office,318
224,course,314
500,good,309
1175,every,309
1717,believe,308
263,countries,303
984,executive,303
151,goal,300
348,come,300
2126,committee,296
584,section,294
599,said,293
199,progress,291
39,international,287
2529,care,283
615,without,281
48,richard,275
1381,like,275
1562,past,272
564,part,270
1135,even,270
4140,education,268
414,support,267
428,areas,265
180,percent,263
239,take,262
92,major,262
50,white,259
146,cooperation,259
349,action,258
1460,better,257
996,budget,256
69,economy,256
1264,local,255
225,fact,251
137,policy,250
375,toward,249
72,million,246
252,efforts,243
747,long,240
120,prices,240
479,help,239
498,upon,236
107,strong,233
2354,concerned,233
627,authority,232
253,meet,231
261,assistance,230
834,bill,230
1911,look,226
369,together,226
78,billion,224
102,inflation,222
1065,needs,220
1797,never,217
1076,private,213
1146,production,211
321,special,211
803,general,209
729,back,206
549,point,205
556,best,204
653,therefore,203
474,foreign,203
1246,working,203
295,however,202
1792,possible,202
206,",000",202
105,increase,201
507,resources,200
2399,union,199
2398,soviet,197
245,cost,195
63,second,195
259,role,195
40,effort,194
1341,necessary,194
779,service,193
706,independence,193
1031,right,193
840,opportunity,193
827,terms,192
162,since,192
801,regard,191
380,trade,191
23,respect,190
335,washington,189
109,home,188
782,members,188
1516,strength,185
1645,council,185
61,period,185
1163,means,185
725,history,182
722,services,182
334,meeting,182
1191,crisis,181
778,transportation,181
2006,particularly,179
21,department,178
543,already,177
855,might,177
1559,forward,177
1653,security,177
425,relations,176
979,another,174
660,hereby,174
644,find,174
4734,veterans,173
1753,rather,172
258,field,172
293,funds,172
294,next,172
84,high,172
505,matter,171
320,additional,171
0,senate,171
1315,always,170
791,within,169
175,number,168
892,available,168
283,interest,168
578,others,167
395,agreement,167
1333,done,167
409,essential,166
1533,present,165
191,full,165
2375,insurance,164
1922,something,164
862,difficult,163
1212,power,163
1279,example,162
1440,young,162
20,report,162
1377,whether,161
247,hope,161
1084,simply,161
867,leaders,160
2381,tell,160
153,price,159
929,appropriate,159
230,able,158
2103,question,157
738,life,157
864,activities,155
298,result,155
453,taken,155
340,build,150
44,give,150
150,achieve,149
503,proposals,149
4401,governments,148
370,deal,148
1546,america's,148
740,medical,148
1655,defense,147
683,including,146
629,commission,146
1526,money,146
1434,food,146
724,place,146
1004,agencies,146
158,free,145
270,become,144
402,needed,144
396,among,144
581,urge,143
41,control,143
440,cannot,142
1649,plan,142
289,provided,142
530,proposed,142
2304,assure,142
344,political,142
19,information,141
874,perhaps,139
1576,campaign,139
229,effective,138
882,week,138
1571,personal,138
134,supplies,138
1313,spirit,138
171,nation's,138
2449,friends,137
586,amended,137
548,addition,136
194,still,136
677,individual,136
1164,less,135
198,greater,135
1755,process,134
17,1972,134
576,basis,134
1509,whole,133
16,june,132
1436,leadership,132
71,increased,132
1644,chairman,131
1741,forces,131
1226,live,131
62,april,130
1182,school,129
1169,develop,128
1560,proud,128
1457,research,128
3751,military,126
557,move,126
121,beginning,126
492,benefits,126
1321,purpose,126
879,thank,125
98,rate,125
1188,mean,125
2549,kind,125
781,three,125
1273,bring,125
133,actions,125
704,hundred,125
1298,case,124
218,level,124
1272,nuclear,124
1514,things,123
1196,sure,123
93,measures,123
1768,quality,123
1126,tonight,123
1129,months,123
2413,mideast,123
1437,keep,122
2497,higher,122
1856,costs,121
383,reform,120
1864,little,120
82,income,120
2428,vietnam,119
161,ever,119
2137,march,119
2619,children,119
315,fiscal,118
885,making,118
626,domestic,117
1447,natural,117
2623,often,116
488,responsibility,116
966,management,116
238,cause,115
2494,thought,115
2851,europe,115
445,call,115
130,effect,114
2467,housing,114
55,recent,113
1394,remember,113
2317,distinguished,113
574,ahead,112
2172,served,112
2392,continuing,112
37,significant,112
477,living,112
88,continued,111
1263,asked,111
1564,sense,110
6485,1975,110
579,building,110
1725,industry,110
636,emergency,110
641,december,110
73,jobs,110
817,several,110
1219,times,110
604,agriculture,109
2352,thing,109
700,hand,109
446,systems,109
1142,middle,108
1343,environmental,108
3202,visit,108
592,certain,108
831,serve,108
826,different,108
2404,republic,108
1635,established,108
475,joint,107
1413,attention,107
473,play,107
140,spending,107
3837,policies,107
1932,family,106
1365,increases,106
1900,women,106
1946,came,106
1973,particular,105
850,answer,105
300,negotiations,105
992,legislative,105
89,improve,105
857,understand,105
2671,generation,105
399,steps,104
95,basic,104
1262,step,104
1060,finally,103
694,presidential,103
1583,unemployment,103
1083,goals,103
719,ways,102
1320,recognize,102
70,employment,102
811,senator,102
1143,east,102
4531,comprehensive,102
2199,used,101
656,vested,100
911,environment,100
1225,enough,100
1616,trust,99
916,fuel,99
2070,organizations,98
1595,watergate,98
2397,relationship,97
262,developing,97
1220,third,97
2064,group,97
3788,freedom,97
1252,agency,97
1311,community,96
1001,consider,96
793,days,95
4767,welfare,95
523,proposal,95
147,business,95
142,reduce,95
1494,space,94
1862,guests,94
1606,whatever,94
1550,situation,94
342,structure,94
1210,coal,94
1194,require,93
1897,small,93
937,current,93
1769,administrator,92
968,increasing,92
2082,conversations,92
196,reason,92
14,signed,91
250,challenge,91
28,provisions,90
244,financial,90
861,ability,90
1344,regulations,90
839,given,90
2076,educational,90
291,least,89
401,lead,89
2817,differences,89
79,real,89
2844,sometimes,89
67,growth,88
1773,involved,88
1412,called,88
1358,throughout,88
148,labor,87
518,agreed,87
2420,permanent,87
1497,1969,87
128,representatives,87
993,seek,87
2969,conference,86
1570,citizens,86
910,protection,86
1127,serious,86
547,responsibilities,86
1422,matters,86
4540,human,85
4345,israel,85
1986,force,85
884,1970,85
851,questions,84
2386,january,84
1288,communities,84
110,around,84
1889,occasion,84
1390,prosperity,84
416,providing,83
1149,longer,83
1265,officials,83
2405,china,83
4123,levels,83
2383,seen,83
1517,century,83
123,plans,83
451,interests,83
2313,existing,83
205,total,83
3288,rights,82
1153,supply,82
1478,brought,81
1173,shortage,81
813,found,81
1168,gasoline,80
86,balance,80
987,review,80
449,share,80
1482,project,80
1835,facilities,80
1511,clear,79
280,provides,79
489,turn,79
2135,five,79
3228,decisions,79
450,ensure,79
350,across,79
306,organization,79
866,congressional,79
1981,city,79
3308,true,78
2513,embargo,78
400,abroad,78
478,standards,78
675,required,78
1125,talk,78
890,maintain,77
821,known,77
269,institutions,77
390,july,77
3666,arms,77
1582,armed,76
1622,director,76
164,safety,76
1291,encourage,76
2231,record,75
45,early,75
463,responsible,75
4422,peoples,75
2464,sides,75
3428,disaster,75
2778,importance,75
1082,message,75
714,heart,75
455,position,74
815,press,74
2554,land,74
491,direct,74
159,market,73
2838,1971,73
4442,friendship,73
210,various,73
296,unless,73
4485,lasting,73
2455,moving,73
1332,hard,72
257,vital,72
2074,request,72
381,affairs,72
630,investigation,72
1093,produce,72
303,join,72
1489,later,71
1178,homes,71
794,change,71
1921,certainly,71
1750,based,71
1158,subject,71
1371,fair,71
1013,large,71
1420,realize,71
2403,people's,71
1628,planning,71
1128,face,70
2052,greatest,70
829,everything,70
1663,laws,70
2562,probably,70
240,lives,70
1875,john,70
2475,controls,69
1417,initiatives,69
3,view,69
3846,receive,68
1919,mutual,68
436,along,68
3521,minister,68
1271,construction,68
3810,cancer,68
2288,taxes,68
1945,else,68
849,statement,68
114,products,68
517,month,68
2979,leave,68
1554,weeks,67
506,concern,67
438,principles,67
909,conservation,67
1890,honor,67
85,front,67
2269,permit,67
4546,benefit,67
122,directed,67
835,indicated,67
1565,measure,67
541,beyond,66
318,amount,66
2171,conclusion,66
912,carry,66
1398,almost,66
412,effectively,66
1627,water,66
602,tariff,65
284,rates,65
398,taking,65
2344,presidents,65
351,entire,65
717,millions,65
2241,referred,65
1524,funding,65
2917,welcome,65
4047,social,64
87,payments,64
925,especially,64
2095,tapes,64
1730,achieved,64
2089,court,64
1857,contribute,64
703,nineteen,64
533,requirements,64
1712,coming,64
5197,district,64
1538,bicentennial,64
2592,peaceful,63
1803,held,63
2061,urban,63
2584,extent,63
2110,evidence,63
1586,fight,63
3353,chance,63
3949,opportunities,63
4324,families,63
1465,technology,63
2563,demand,63
1202,following,62
540,contributions,62
331,treasury,62
536,four,62
1801,purposes,62
186,designed,62
2886,getting,62
2676,remain,62
1940,trying,62
2117,issue,62
201,success,62
5261,february,62
1620,title,62
4617,agreements,61
4647,projects,61
2833,nothing,61
1303,alone,61
5043,credit,61
2018,audience,61
583,pursuant,61
985,branch,61
825,vice,61
1842,independent,61
3865,include,60
38,contribution,60
2655,anniversary,60
329,submitted,60
799,gentlemen,60
655,virtue,60
124,developed,60
1061,looking,60
4690,compensation,59
847,justice,59
1136,shortages,59
1507,earlier,59
1999,side,59
5293,improving,59
285,world's,59
1542,potential,59
1863,read,59
697,witness,59
2696,knowledge,59
1927,happened,59
52,october,59
928,expansion,59
406,reduction,59
637,treatment,59
2721,avoid,59
4541,results,59
2145,tape,59
97,annual,58
1397,common,58
3408,worked,58
876,speak,58
1170,sources,58
47,consideration,58
1608,away,58
2412,went,58
796,conditions,58
1951,wrong,58
582,whereas,58
780,create,57
1849,clean,57
798,ladies,57
1772,powers,57
2072,schools,57
197,expect,57
246,nearly,57
1625,functions,57
444,fully,57
112,agricultural,56
2737,enterprise,56
698,whereof,56
1984,began,56
6134,egypt,56
702,lord,56
2570,consumer,56
504,substantial,56
2207,staff,56
1081,burden,56
775,commerce,56
1806,improvements,56
666,follows,56
83,reached,56
1243,either,55
5725,workers,55
1814,though,55
2353,although,55
2579,rest,55
3550,changes,55
5618,training,55
1523,ordered,55
934,despite,55
319,paid,55
1116,documents,55
1621,code,55
1027,close,55
5016,election,55
2839,pleased,55
422,investment,55
1593,aware,55
5363,propose,55
499,materials,55
2912,told,55
365,created,55
1132,demands,55
2678,expressed,55
6602,students,55
1547,speaking,55
1438,thousands,55
1048,reasons,55
699,hereunto,55
1406,resolution,55
3074,took,54
2934,words,54
577,helping,54
136,monetary,54
242,society,54
155,return,54
9478,candidates,54
231,hold,54
