,Adjective,Count
40,last,11
2,american,9
18,radical,7
16,single,5
21,many,5
0,endless,5
15,real,4
65,corrupt,3
59,more,3
49,other,3
1,partisan,3
31,strong,3
25,own,3
6,great,2
24,tough,2
74,sad,2
64,same,2
58,new,2
52,illegal,2
50,african,2
46,presidential,2
42,black,2
43,much,2
9,lousy,2
5,good,2
12,worse,2
11,free,2
23,top,1
54,major,1
55,massive,1
56,different,1
57,wonderful,1
60,socialist,1
61,private,1
62,stronger,1
63,socialized,1
10,crazy,1
66,total,1
13,better,1
67,ranking,1
68,fellow,1
69,baseless,1
70,bad,1
71,broken,1
72,outstanding,1
73,right,1
8,dirty,1
75,interesting,1
76,interested,1
77,whole,1
78,angry,1
53,tremendous,1
51,powerful,1
22,religious,1
36,late,1
3,honest,1
26,confident,1
27,false,1
28,highest,1
29,tiny,1
30,guilty,1
20,exempt,1
32,previous,1
33,crooked,1
34,big,1
35,able,1
37,pro,1
14,flexible,1
38,-,1
39,life,1
19,few,1
41,blatant,1
4,bipartisan,1
7,tougher,1
44,deep,1
45,fake,1
17,competent,1
47,willing,1
48,craven,1
79,concerned,1
