,Word,Count
0,very,1142
2,so,977
7,just,600
9,here,549
6,now,432
1,much,419
34,when,379
18,really,323
8,also,320
27,never,285
44,how,220
10,ever,212
33,back,210
3,where,208
56,even,200
41,there,192
5,right,179
31,well,167
29,then,160
14,all,149
35,why,137
90,again,128
21,only,123
82,more,123
24,actually,117
52,as,117
17,too,112
86,always,112
30,most,110
42,ago,104
32,maybe,102
102,together,93
60,far,82
91,before,79
26,pretty,69
50,already,67
16,first,65
166,probably,65
108,frankly,57
19,up,56
111,in,52
38,better,50
40,ahead,50
80,forward,50
64,else,49
87,long,48
20,out,48
75,still,47
77,over,47
125,almost,47
25,about,47
106,home,46
157,absolutely,45
61,down,45
15,especially,42
114,of,42
167,away,40
43,once,39
22,hard,34
45,totally,34
49,anywhere,32
72,soon,30
174,later,27
57,quickly,27
62,literally,26
165,at,25
141,finally,25
126,nearly,25
202,no,24
23,certainly,24
105,around,23
54,badly,23
68,hopefully,23
63,sometimes,23
214,anymore,22
100,yet,22
94,earlier,21
13,truly,21
142,sort,20
194,unfortunately,20
193,immediately,20
39,fast,19
116,particularly,19
48,closely,19
172,fully,18
148,anyway,18
256,importantly,17
231,less,17
258,longer,17
205,otherwise,16
73,way,16
155,enough,16
213,booo,16
195,perhaps,16
192,exactly,16
12,outside,15
67,easily,14
204,close,13
175,on,13
74,whatsoever,13
182,substantially,13
109,though,12
103,obviously,12
124,highly,12
226,rapidly,12
143,specifically,11
187,personally,11
161,recently,11
66,quite,11
178,fairly,11
46,along,10
28,extremely,10
198,carefully,10
92,wherever,10
200,early,10
47,nicely,10
183,tremendously,9
169,possibly,9
223,that,9
245,kind,9
236,instead,9
144,rather,9
185,completely,9
203,matter,9
85,deeply,9
113,virtually,9
107,incredibly,9
88,best,8
134,greatly,8
115,ultimately,8
211,basically,8
70,second,8
99,alone,8
197,strongly,8
81,by,8
96,often,8
188,mostly,8
327,further,8
229,forever,7
98,simply,7
207,someday,7
176,essentially,7
212,through,7
190,unfairly,7
51,late,7
254,aside,7
36,forth,7
117,largely,6
199,fantastically,6
101,regardless,6
128,entirely,6
71,prior,6
272,likewise,6
122,off,5
78,sooner,5
322,legally,5
79,closer,5
294,third,5
121,slightly,5
179,sudden,5
135,politically,5
162,currently,5
337,namely,5
206,sometime,5
137,south,5
224,somewhere,5
234,everywhere,5
221,usually,5
136,roughly,5
351,convincingly,4
284,tirelessly,4
275,honestly,4
261,good,4
216,behind,4
248,secondly,4
181,twice,4
233,unbelievably,4
289,significantly,4
65,financially,4
76,shortly,4
217,openly,4
225,harder,4
316,terminally,4
119,necessarily,4
170,strategically,4
171,differently,4
145,real,4
147,definitely,4
158,either,4
297,after,4
112,potentially,4
152,indeed,4
311,fastest,4
281,respectfully,3
344,alongside,3
149,profoundly,3
53,sadly,3
277,wrong,3
153,seriously,3
93,directly,3
315,least,3
58,separately,3
318,nowhere,3
37,next,3
241,supposedly,3
370,freely,3
243,approximately,3
247,apart,3
330,successfully,3
129,mutually,3
251,relatively,3
361,nationwide,3
366,abroad,3
382,locally,3
380,phenomenally,3
288,overall,3
160,therefore,3
191,fortunately,3
154,sure,3
104,somewhat,3
164,properly,3
201,last,3
110,effectively,3
208,bravely,3
