,Word,Count
9,the white house,20
3,ramstein air base,6
0,the space station,4
35,camp atterbury,3
14,madison square garden,2
7,louis vuitton,2
17,highway 40,2
30,shifty schiff,2
29,the united nations,2
24,capitol,1
25,the golden gate bridge,1
26,the hoover dam,1
27,the panama canal,1
28,mar-a-lago,1
31,nancy pelosi,1
22,the green new deal,1
32,west point,1
33,the chosin reservoir,1
34,joint base myer-henderson hall,1
36,the surgeon general of the united states,1
37,the hoosier state,1
23,minor street,1
19,the obama-sleepy joe biden,1
21,guantanamo,1
20,the oval office,1
1,the international space station,1
18,drakes bay,1
16,john deere,1
15,the attornery general,1
13,dover air force base,1
12,green new,1
11,incirlik air base,1
10,capitol building,1
8,the louis vuitton,1
6,the american airlines center,1
5,ramstein,1
4,the 435th air ground operations wing,1
2,ramstein air base ramstein-miesenbach,1
38,the berlin wall,1
