,Word,Count
0,the united states,250
8,china,228
18,america,197
7,turkey,132
3,ukraine,128
25,usmca,88
83,indiana,84
54,japan,77
73,venezuela,75
12,syria,74
135,arizona,71
65,louisiana,69
31,iraq,57
20,washington,54
77,iowa,50
23,mexico,49
48,iran,48
32,new york,39
111,tennessee,39
4,texas,38
47,russia,36
149,finland,35
66,minnesota,29
33,italy,28
24,canada,26
17,the united states of america,24
10,india,22
16,germany,20
14,france,20
113,tyson,17
15,uk,16
71,cuba,16
43,afghanistan,15
49,saudi arabia,15
147,pakistan,15
139,florida,15
129,poland,14
106,el salvador,13
91,california,12
28,usa,12
70,jerusalem,11
84,d .c .,11
81,hong kong,11
9,chile,10
122,north korea,10
22,south korea,10
85,d .c,10
164,colombia,8
41,united states,8
107,honduras,8
105,houston,8
102,north carolina,8
38,ohio,7
68,israel,7
58,jaden,6
6,obama,6
109,trump,6
199,guatemala,6
217,kansas,6
53,pelosi,6
59,boston,5
138,tucson,5
175,indianapolis,5
173,argentina,4
72,nicaragua,4
93,ursula,4
87,the united states-mexico-canada agreement,4
11,fort worth,4
21,johnson county,4
13,alaska,4
143,crimea,4
5,dallas,4
119,brexit,4
100,michigan,4
37,columbus,4
191,brazil,3
60,jordan,3
183,new york city,3
158,san francisco,3
64,hollywood,3
1,christina,3
137,phoenix,3
160,korea,3
78,nebraska,3
61,virginia,3
152,arlington,3
219,americas,2
184,the u .n .,2
189,singapore,2
118,havana,2
166,egypt,2
178,kuwait,2
120,these united states,2
124,baton rouge,2
126,south carolina,2
130,pinocchios,2
132,sweden,2
142,vietnam,2
145,latina,2
150,new jersey,2
153,helsinki,2
154,eu,2
156,adam schiff,2
50,taormina,2
103,zippy,2
89,wyoming,2
196,ecuador,2
163,panama,2
104,states,2
205,pennsylvania,2
223,bolivarian,2
211,miami,2
222,the u .n,2
198,the united kingdom,2
197,peru,2
80,princeton,2
63,dover,2
221,cúcuta,1
169,columbia,1
165,somalia,1
215,kentucky,1
208,listen,1
174,east indianapolis,1
224,bolívar,1
203,biden,1
204,wisconsin,1
172,latinas,1
171,east room,1
220,maduro,1
170,green beret,1
167,haiti,1
228,elvis,1
207,kristina,1
202,cornyn,1
168,bosnia,1
209,caracas,1
206,the islamic republic of iran,1
213,luhansk,1
176,sutherland springs,1
214,detroit,1
177,las vegas,1
216,sonny,1
212,donbass,1
190,united kingdom,1
188,new zealand,1
192,bahrain,1
187,maryland,1
193,qatar,1
186,prince george's county,1
194,oman,1
185,these united states of america,1
195,uae,1
218,somerset county,1
182,saigon,1
181,plainfield,1
200,new mexico,1
180,the wolverine state,1
179,bartholomew county,1
210,diosdado cabello,1
226,yemen,1
225,hong kong's,1
201,san diego,1
227,new yorker,1
115,kansas city,1
162,seattle,1
51,sicily,1
88,dallas city,1
86,the united states house of representatives,1
82,blanchard,1
79,the people's republic of china,1
76,yovanovitch,1
75,huawei,1
74,united states of america,1
69,the state of israel,1
67,omar,1
62,the mexico city policy,1
57,philadelphia,1
56,missouri,1
55,the state of the union,1
52,the soviet union,1
46,the united states',1
161,mariana,1
45,nick hague,1
44,rome,1
42,the united states of america's,1
40,the italian republic,1
39,the district of columbia,1
36,roman republic”,1
35,the roman republic,1
34,mississippi,1
30,ceasefire,1
29,residence ankara,1
27,alvarado,1
26,walmart,1
19,the united states air forces-europe,1
2,us,1
90,fairbanks,1
92,northern syria,1
94,oakland,1
95,alameda county,1
159,los angeles,1
157,nokia,1
155,colorado,1
151,dayton,1
148,puerto rico,1
146,ocala,1
144,maricopa county,1
141,the united kingdom's,1
140,summerfield,1
136,participant,1
134,green valley,1
133,australia,1
131,mitch,1
128,jared,1
127,utah,1
125,va,1
123,kenner,1
121,river ridge,1
117,baghdad,1
116,chicago,1
114,arkansas,1
112,georgia,1
110,goodlettsville,1
108,the hong kong,1
101,north dakota,1
99,west point,1
98,annapolis,1
97,santa barbara,1
96,native county,1
229,mikes,1
