,Word,Count
0,trillions of dollars,16
22,millions of dollars,15
15,$16 billion,14
56,billions of dollars,10
9,$50 billion,9
32,50,7
8,40,6
77,$12 billion,6
34,168,4
10,$500 billion,4
45,$8 billion,4
51,$1 .5 billion,4
55,900,4
6,hundreds of millions of dollars,4
33,half dollars,3
12,$8 trillion,3
14,about $50 billion,3
39,16,3
69,$1 .2 billion,3
62,up to $16 million,2
124,half trillion dollars,2
40,40 to 50 billion dollars,2
122,millions and millions of dollars,2
57,about $68 billion,2
90,the tens of thousands,2
65,$245 billion,2
111,$7 billion,2
72,over $100 billion,2
74,$2 .5 trillion,2
35,$3 million,2
78,$40 billion,2
96,17,2
80,$15 trillion,2
82,billions and billions of dollars,2
68,$2 billion,2
71,$100 billion,2
24,$50 million,2
20,15,2
27,$1 billion,2
2,more than $5,2
23,$4 trillion,2
36,hundreds of billions of dollars,1
106,more than $120 million,1
114,million-dollar,1
113,more than 1 million,1
112,these billions of dollars,1
4,nearly $1 trillion,1
110,$42 million,1
109,$160 billion,1
108,$360 million,1
107,more than $1 billion,1
105,over $10 billion,1
104,about $1 .7 million,1
103,about 20 billion dollars,1
102,$57 billion,1
101,4 .8 million,1
100,a billion dollars,1
99,$500 million dollars,1
98,400,1
97,$1 .6 trillion,1
5,a trillion dollars,1
95,$32 trillion,1
94,$32 trillion dollars,1
93,$800 billion dollars,1
115,two and half trillion dollars,1
117,more than 2 million,1
116,more than $68 billion,1
130,$36 million,1
140,$60 billion,1
139,$2 .5 billion,1
138,more than $500 billion,1
137,up to $8 .7 billion,1
136,4 .2 million,1
135,25 .7 billion,1
134,approximately $7 billion,1
133,1 .4 million,1
132,$570 million,1
131,4 .4 million,1
129,$118 million,1
91,more than $7 .8 billion,1
128,1 .4 trillion dollars,1
127,tens of billions of dollars,1
126,many billions of dollars,1
125,$12 million,1
123,hundreds of thousands of dollars,1
3,another $2,1
121,the millions of dollars,1
120,nearly $500 million,1
119,$10 billion,1
118,39 billion dollars,1
92,250,1
89,more than $180 million,1
7,just $125 dollars,1
49,about $2 or $3 billion,1
60,more than $10 .3 billion,1
59,more than $6 .6 billion,1
58,more than $2 billion,1
25,fifty million dollars,1
26,one billion dollars,1
54,$7 .2 billion,1
53,$20 billion,1
52,about $20,1
28,200,1
50,about 398 dollars,1
48,up to $50 billion,1
37,about $110 billion,1
47,up to $8 billion,1
46,lower than $8 billion,1
29,500,1
44,about $8 billion,1
43,$40 to $50 billion,1
42,up to $40 billion to $50 billion,1
41,$17 billion,1
30,less than $500,1
31,$2 billion and $3 billion,1
38,$50 billion dollars,1
61,37,1
63,over $300,1
64,about $3,1
66,over $3,1
88,$2 .2 billion,1
87,$68 billion,1
86,about billions and billions of dollars,1
85,about $500 billion,1
84,tens of billions,1
83,10 cents,1
11,$7 .5 billion,1
81,fifteen trillion,1
13,$5 .5 trillion,1
79,about 55 billion dollars,1
16,30 thousand dollars,1
17,forty,1
76,the billions and billions of dollars,1
75,$13 million,1
18,fifty thousand dollars,1
73,hundreds and hundreds of billions of dollars,1
19,65,1
1,more than $26 million,1
70,about $3 million,1
21,about billions of dollars,1
67,close to $8 trillion,1
141,"thirty , forty thousand",1
