,Word,Count
0,american,332
2,democrats,97
1,americans,70
3,kurds,59
52,hispanic,46
34,republican,37
9,republicans,34
33,chinese,34
12,hispanic american,28
17,italian,28
26,democrat,27
50,hispanic americans,25
11,african american,23
70,venezuelan,19
5,european,16
59,finnish,16
24,ukrainian,15
45,japanese,14
14,christian,11
42,african americans,10
8,turkish,10
75,venezuelans,10
55,russian,9
66,cuban,8
23,christians,8
13,asian american,8
25,mexican,6
4,turks,6
10,kurdish,6
6,french,6
84,indian,4
82,british,4
44,hispanics,4
19,marine,4
27,african,4
28,iraqis,3
86,pakistani,3
37,pro-american,3
30,islamic,3
54,polish,3
16,erdoğan,2
76,totalitarian,2
71,iranian,2
78,cubans,2
72,europeans,2
80,latin american,2
40,founders,2
31,first,2
62,afghan,2
18,italians,1
68,avila,1
67,cuban americans,1
69,ironman,1
32,israeli,1
73,iranians,1
74,russians,1
65,gomez,1
79,colombian,1
81,stay,1
15,syrian,1
83,saudi arabian,1
7,harrigian,1
85,democratic,1
77,interim,1
60,hopi indians,1
64,yankee,1
48,historian,1
35,iowans,1
36,waukee,1
38,the african american,1
39,palestinians,1
41,meese,1
43,asians,1
29,muslim,1
46,gerrish,1
47,obama,1
49,tennessean,1
63,marines,1
51,buy american,1
22,irish,1
53,polish americans,1
21,nazi,1
56,african-american,1
57,floridian,1
58,hispanic arizonans,1
20,sicilian,1
61,trump,1
87,all-american,1
