,Word,Count
5,congress,105
101,audience,33
29,isis,31
11,the u .s,30
76,house,26
266,medicare,24
28,the white house,21
86,senate,21
20,nato,19
35,u .s,18
67,the united nations,17
68,the european union,17
73,wto,15
289,caterpillar,14
31,cabinet,14
43,ypg,14
437,maduro,11
271,candace,11
57,epa,11
58,labor,11
64,the american dream,10
62,the joint chiefs of staff,10
401,the indiana national guard,10
24,navy,10
4,the republican party,10
7,the u .s .,9
79,schiff,9
304,medicare advantage,8
39,nafta,8
427,united nations,8
152,the house of representatives,7
310,cnn,7
106,supreme court,7
46,pkk,7
168,mueller,7
22,army,7
116,nba,6
107,the washington post,6
422,intercontinental new york barclay new york,6
412,macallister machinery,6
81,fbi,6
17,the armed forces of the united states,6
27,state,6
54,the justice department,5
153,the international trade commission,5
415,macallister,5
132,the federal reserve,5
70,oval office,5
147,the united states senate,5
115,taliban,5
13,the u,5
15,armed forces,5
166,white house,5
40,usmca,5
276,border patrol,4
74,the world trade organization,4
119,rudy,4
105,the oval office,4
8,obama,4
245,tyson,4
413,the hoosier state,4
275,ice,4
75,erdoğan,4
100,the supreme court,4
56,treasury,4
174,the presidential medal of freedom,3
290,the marine corps,3
12,mick,3
315,the coast guard,3
131,capitol hill,3
355,the department of labor,3
453,the lima group,3
99,irs,3
102,the fake news,3
460,al qaeda,3
3,the space force,3
120,huawei,3
322,jovita,3
202,agriculture,3
249,falah,3
323,the new york times,3
134,safety signs,3
90,laila,3
403,the national guard,3
187,heritage,3
177,the united states army,3
69,the atlantic alliance,3
283,okereke,3
19,nato allies,3
150,manning farms,2
204,ibm,2
122,justice department,2
160,the ninth circuit,2
351,scalia,2
180,legal affairs,2
236,peterson,2
195,the department of justice,2
233,nassif,2
382,nation waste,2
117,the democrat party,2
212,unga,2
347,washington post,2
247,the u .s .-mexico-canada agreement,2
328,nokia,2
246,the congress of the united states,2
128,yale,2
374,the joint chiefs,2
331,eu,2
186,the heritage foundation,2
238,wacker,2
294,cat,2
414,hoosier,2
162,the national park service,2
1,the international space station,2
391,community hospital,2
408,sheriff,2
295,the air force,2
201,digital trade agreement,2
87,nhl,2
10,arnault,2
474,isi,2
442,service,2
18,the united states armed forces,2
77,airbus,2
