,Word,Count
26,trump,118
3,donald trump,51
18,biden,44
85,steve,38
137,nancy pelosi,35
19,erdoğan,32
324,ed,30
13,mike,30
16,joe biden,26
87,mark,25
227,god,23
80,joe,23
408,zelensky,19
20,xi,19
211,adam schiff,18
299,johnson,15
41,obama,15
151,lighthizer,15
155,blues,15
139,rudy giuliani,14
546,niinistö,14
672,maduro,14
28,mike pompeo,13
78,john,13
55,alex,13
349,abe,13
1,jim,12
207,tony,12
101,ben,11
362,duvall,11
141,rudy,11
255,pelosi,11
244,bidens,11
38,ronald reagan,11
130,mario,10
499,martha,10
49,gene,10
452,ja'ron,10
226,ron,10
27,rick,10
5,mike pence,10
62,jared,9
136,bob lighthizer,9
7,ivanka,9
42,david,8
44,pence,8
215,donald,8
364,chris,8
599,milley,7
162,tom,7
159,roy,7
240,bob,7
305,kevin,7
236,hunter biden,7
262,boris johnson,7
208,pastor brunson,7
12,moon,7
196,binnington,7
214,sue,7
108,andrew,7
229,huawei,7
683,smith,7
170,billy,6
711,khan,6
309,lindsey graham,6
39,karen,6
156,pompeo,6
23,bernard,6
146,jon,6
145,paul ryan,6
495,martha mcsally,6
128,peter,6
533,corey,6
292,jeff,6
259,mitch mcconnell,6
332,reagan,6
596,patrick,6
187,laila,6
216,dana,6
237,hunter,6
209,kavanaugh,5
377,motegi,5
715,modi,5
150,boris,5
142,comey,5
541,ducey,5
51,roger,5
45,louis vuitton,5
111,elaine,5
472,van jones,5
93,doug,5
303,richard,5
597,dunford,5
160,josh,5
500,tucson,5
489,putin,5
508,mcsally,5
535,charles,5
83,kellyanne,5
243,ross,5
588,mark milley,4
369,larry kudlow,4
494,doug ducey,4
174,jason,4
220,isabella,4
497,hoosier,4
498,jovita carranza,4
231,shepard smith,4
463,hillary clinton,4
210,brett,4
147,quid pro quo,4
270,grassley,4
189,ryan,4
199,berube,4
468,alice,4
640,hoosiers,4
131,mattarella,4
323,ed meese,4
328,kay,4
25,rick perry,4
695,nicolás maduro,4
322,walter reed,4
98,alex azar,4
674,mcaleenan,4
54,alexander,4
298,andy,4
104,robert lighthizer,4
699,duque,4
107,andrew wheeler,4
32,anne sacoolas,4
326,bill,4
352,sonny,4
109,eugene scalia,4
449,charlie,4
690,julio,4
47,wilbur,4
46,wilbur ross,4
76,laura,3
242,mnuchin,3
252,karlee,3
480,kearyn,3
567,jerry nadler,3
334,edwin meese iii,3
271,ernst,3
415,castro,3
310,lindsey,3
316,robert mueller,3
182,gloria,3
65,louis,3
684,marshall,3
261,diplomat,3
528,obamacare,3
413,lee,3
412,noel,3
64,ken,3
504,amy,3
264,trey gowdy,3
314,nadler,3
693,juan guaidó,3
720,queen,3
157,gary,3
17,joe biden's,3
290,russ vought,3
368,sonny perdue,3
293,mark meadows,3
473,al sharpton,3
521,gus,3
436,eddie,3
611,maria,3
561,rob portman,3
458,terrence,3
232,bill barr,3
457,donald j,3
138,john bolton,3
351,stephen,3
10,christina koch,3
153,louis blues,3
562,rick scott,3
700,piñera,3
474,don king,3
148,pro quo,3
106,steve mnuchin,3
14,mick mulvaney,3
649,larry,3
247,jay blanchard,2
610,maria rios,2
348,mark esper,2
249,generra,2
230,maria yovanovitch,2
251,jay,2
466,kanye,2
289,roosevelt room 3 :,2
256,congresswoman angie craig,2
564,nancy pelosi's,2
370,daines,2
371,beef,2
585,gee,2
282,congresswoman cindy axne,2
281,rob,2
295,liz,2
338,julie,2
279,chuck grassley,2
278,joni ernst,2
277,kim,2
276,kim reynolds,2
555,sean hannity,2
275,rob manning,2
337,mark levin,2
361,zippy duvall,2
587,base myer-henderson,2
304,kevin lunny,2
306,meadows,2
307,russ,2
536,mclaughlin,2
269,reynolds,2
580,paul scalia,2
569,maureen,2
554,rush limbaugh,2
594,joe dunford,2
315,kim jong un,2
595,ellyn,2
358,dan,2
544,mcconnell,2
570,patricia,2
346,meese,2
224,david friedman,2
425,tim,2
126,antonin scalia,2
655,joseph maguire,2
654,chris murphy,2
135,scalia,2
143,strzok,2
650,kevin mccarthy,2
158,gary bettman,2
161,tom stillman,2
501,justin sanchez,2
645,andré carson,2
689,julio borges,2
171,blaine,2
68,emmanuel,2
639,macallister,2
410,bill lee,2
493,rouhani,2
223,pastor,2
692,carlos,2
428,bill cassidy,2
440,tracy,2
94,carol miller,2
679,asylum,2
96,brad wenstrup,2
97,brad,2
438,ralph,2
103,betsy,2
105,robert,2
84,steve scalise,2
110,elaine chao,2
82,kellyanne conway,2
485,dan bishop,2
75,sergio mattarella,2
487,barr,2
685,roger marshall,2
448,charlie kirk,2
345,bill mann,2
694,borges,2
710,macron,2
623,adams,2
404,guatemala,2
621,martha avila,2
712,merkel,2
22,louis vuitton workshop-rochambeau alvarado,2
517,jeanette,2
205,jim cooper,2
460,tim scott,2
15,kent,2
9,meir,2
469,brenda,2
391,kody carson,2
615,jose,2
464,alice johnson,2
222,tom cruise,2
198,coach,2
515,casey,2
91,greg,2
451,ja'ron smith,2
184,jaden,2
709,lotte new york,2
195,jordan,2
696,guaidó,2
190,ryan o'reilly,2
625,sullivan,2
57,michael,2
454,debra messing,2
512,ron desantis,2
549,john roberts,1
481,turning point,1
545,mitch mcconnell's,1
479,kearyn bolin,1
475,don kin,1
543,paul fannin,1
471,keith,1
478,van,1
548,qualcomm,1
470,matthew,1
477,candace,1
547,wilson,1
476,al,1
542,jim coston,1
491,bernie,1
482,ben okereke,1
511,the do-nothing dems,1
513,lady casey desantis,1
531,laughs,1
530,sleepy joe,1
514,soon,1
529,elizabeth pocahontas” warren,1
527,daniel,1
516,jeanette núñez,1
526,daniel webster,1
525,michael waltz,1
524,ross spano,1
523,neal,1
518,ashley moody,1
519,ashley,1
520,gus bilirakis,1
