,Word,Count
24,people,849
14,applause,751
3,lot,428
38,years,423
66,country,391
22,time,338
32,today,334
142,deal,252
50,way,247
17,job,241
30,world,224
94,things,206
70,thing,203
115,trade,165
292,countries,159
421,jobs,158
5,day,158
0,call,149
111,nation,144
174,year,138
170,economy,135
185,state,126
312,percent,117
139,administration,106
514,agreement,106
207,money,104
868,conversation,102
20,history,102
154,number,101
83,man,98
428,family,96
172,dollars,94
437,numbers,93
711,corruption,88
176,farmers,86
253,military,86
385,half,86
97,fact,84
59,honor,83
84,days,82
314,life,82
875,whistleblower,82
6,women,80
7,work,80
31,question,79
646,government,78
443,community,77
189,election,77
90,sir,75
55,one,70
642,words,70
206,story,69
283,leadership,68
15,place,67
58,friend,65
496,opportunity,63
220,leaders,63
780,soldiers,62
52,weeks,61
298,week,61
531,team,60
364,person,59
67,millions,59
373,business,59
25,part,59
243,men,58
266,respect,57
164,bit,57
163,couple,56
436,support,55
322,word,54
794,media,54
254,families,54
303,progress,54
924,pressure,52
75,phone,52
534,nations,52
295,security,52
513,border,52
228,guy,52
138,case,51
135,meeting,51
213,company,50
265,freedom,50
118,yesterday,50
199,tariffs,49
169,sanctions,49
752,businesses,47
848,impeachment,47
236,unemployment,47
140,son,47
374,companies,46
613,friends,46
125,thousands,46
379,future,46
245,service,45
889,transcript,45
828,market,45
425,governor,45
98,times,45
137,news,44
320,law,44
177,care,44
302,thanks,44
193,relationship,43
1910,regime,42
629,drug,41
255,behalf,41
226,decision,41
380,power,41
106,office,40
354,group,40
131,speech,40
444,workers,39
23,woman,38
1185,wall,38
269,truth,38
149,isis,37
282,leader,37
1387,system,37
85,record,37
934,vote,37
490,win,37
74,laughter,37
393,situation,37
411,area,36
624,room,36
943,right,36
388,period,36
420,members,36
258,problem,36
216,energy,36
82,months,36
448,healthcare,36
723,citizens,35
433,deals,35
51,lives,35
306,peace,34
308,war,34
109,defense,34
130,statement,34
157,region,33
439,faith,33
783,land,33
660,voice,33
1010,folks,33
503,help,33
107,level,33
855,report,32
384,kind,32
108,terms,32
127,witch,32
747,policies,32
416,manufacturing,32
1031,democracy,32
73,end,32
134,privilege,32
733,values,31
27,congratulations,31
401,month,31
168,position,31
418,name,31
917,phase,31
205,example,31
242,chance,31
627,guys,31
162,success,30
289,forces,30
128,hunt,30
36,credit,30
110,force,30
42,course,29
1164,billions,29
304,campaign,29
143,ceasefire,29
129,press,29
257,difference,28
1050,hoax,28
307,children,28
744,prosperity,28
1052,wife,28
799,issues,27
2,point,27
465,decades,27
431,tax,27
68,message,27
43,line,27
527,communities,27
576,hundreds,26
526,rights,26
740,choice,26
273,action,26
1079,borders,26
919,agriculture,26
581,fighters,26
540,questions,26
389,reason,25
572,others,25
56,moment,25
1038,liberty,25
454,wages,25
285,allies,25
507,order,25
632,farm,25
104,side,24
890,stock,23
831,farmer,23
885,taxes,23
432,cuts,23
217,tonight,23
1298,technology,23
1136,judges,23
301,negotiations,23
123,heart,23
486,prices,23
488,agenda,23
1124,regulations,23
1706,doctor,23
290,partners,23
179,services,23
362,process,23
191,commitment,23
788,ones,23
230,letter,23
709,politics,23
892,markets,22
926,idea,22
259,hand,22
407,night,22
1193,top,22
475,while,22
208,confidence,22
200,products,22
