,Word,Count
3,president,1785
15,mr,382
10,united,356
11,states,325
14,laughter,304
122,america,244
68,china,231
20,trump,182
22,vice,141
63,turkey,131
42,ukraine,128
147,secretary,117
35,americans,110
57,congress,109
43,democrats,100
687,indiana,99
194,usmca,93
155,house,84
61,biden,83
438,japan,78
83,syria,76
587,louisiana,75
617,venezuela,75
99,general,73
2,edt,73
143,god,72
245,new,71
1153,arizona,71
604,minister,69
150,washington,68
13,sir,67
85,governor,66
54,schiff,63
246,york,62
19,donald,62
23,mike,60
603,prime,60
60,joe,59
64,kurds,59
230,iraq,57
192,mexico,57
141,american,56
535,audience,56
396,pelosi,55
76,end,52
253,senator,51
636,iowa,50
380,iran,49
154,white,48
260,steve,47
129,europe,45
219,national,44
51,ambassador,43
1008,zelensky,43
566,hispanic,42
1013,tennessee,40
395,nancy,40
262,mark,39
44,texas,39
62,erdoğan,39
49,state,38
619,premier,38
193,canada,37
286,lighthizer,36
379,russia,36
1283,finland,35
148,republicans,34
828,ed,34
1086,medicare,32
158,johnson,32
67,east,31
106,john,30
546,democrat,30
1569,maduro,30
5,administrator,30
588,minnesota,29
402,adam,29
249,italy,29
59,obama,29
356,nations,28
84,pompeo,28
132,isis,28
1282,niinistö,27
400,rudy,27
439,senate,27
1065,guard,27
55,republican,26
16,ms,26
177,chairman,25
464,attorney,25
6,bridenstine,24
95,air,24
168,department,24
66,middle,24
1009,tyson,24
130,nato,23
368,union,23
183,north,23
377,trade,23
166,scalia,23
191,korea,23
24,pence,23
45,louis,23
71,india,22
229,world,21
112,forces,21
190,south,20
4,jim,20
200,usa,20
98,germany,20
90,france,20
70,xi,20
145,joint,20
638,liu,19
169,congressman,19
384,heritage,19
178,alex,19
367,european,19
247,justice,19
394,speaker,18
172,representative,18
127,reagan,18
81,rick,18
1490,macallister,18
1155,martha,18
378,bob,18
423,cup,18
426,blues,18
1046,member,18
137,army,18
164,labor,17
12,laughs,17
422,stanley,17
564,first,17
740,agreement,17
332,staff,16
440,tom,16
139,marine,16
93,uk,16
1151,caterpillar,16
120,commander,16
534,court,16
533,supreme,16
287,mnuchin,16
615,cuba,16
390,wto,15
160,cabinet,15
1277,pakistan,15
383,arabia,15
153,david,15
281,ben,15
401,giuliani,15
382,saudi,15
36,earth,15
357,afghanistan,15
136,war,15
1159,hoosier,15
96,base,15
123,constitution,15
1200,florida,15
39,force,15
829,meese,14
457,smith,14
661,hong,14
1135,poland,14
441,stillman,14
102,lieutenant,14
408,ryan,14
111,armed,14
889,abe,14
622,huawei,14
662,kong,14
628,bill,14
561,california,14
216,ypg,13
1364,milley,13
783,kevin,13
345,dream,13
376,office,13
56,party,13
521,tony,13
331,chiefs,13
886,african,13
997,salvador,13
633,hunter,13
909,duvall,13
46,vuitton,13
385,month,13
1098,candace,13
607,ron,13
996,el,13
1101,ja'ron,12
94,ramstein,12
522,pastor,12
163,ross,12
290,andrew,12
417,boris,12
128,applause,12
425,st,12
913,chris,12
547,news,12
342,mario,12
17,space,12
126,ronald,12
811,mueller,12
556,post,11
165,gene,11
270,doug,11
33,moon,11
650,september,11
27,international,11
264,jeff,11
648,bidens,11
80,cdt,11
478,pietrangelo,11
476,jaden,11
600,jerusalem,11
222,robert,11
1112,van,11
1156,mcsally,11
121,chief,11
195,jared,11
294,congratulations,11
940,association,11
292,epa,11
1113,jones,10
1593,harrington,10
1165,tucson,10
800,lindsey,10
431,second,10
1601,venezuelans,10
904,carolina,10
808,shifty,10
574,friday,10
541,amendment,10
159,county,10
445,representatives,10
32,dr,10
407,paul,10
203,nafta,10
565,november,10
321,day,10
69,chile,10
375,oval,10
625,chinese,10
520,october,10
26,ivanka,10
140,navy,10
484,laila,10
18,station,10
998,honduras,9
1025,al,9
964,houston,9
1285,arctic,9
317,columbus,9
711,mcconnell,9
34,mars,9
282,carson,9
613,western,9
1154,ducey,9
1162,treasurer,9
1,room,9
908,zippy,9
794,council,9
758,director,9
1201,villages,8
834,freedom,8
432,lady,8
1234,corey,8
436,roy,8
995,guatemala,8
8,christina,8
778,corps,8
560,university,8
739,election,8
710,mitch,8
542,green,8
179,huh,8
170,roger,8
1371,dunford,8
530,christians,8
138,karen,8
1662,modi,8
523,brunson,8
1164,carranza,8
951,eddie,8
731,kim,8
499,jordan,8
1395,colombia,8
319,ohio,8
500,binnington,8
1072,choice,8
162,wilbur,8
897,sonny,8
1383,patrick,8
599,israel,8
312,capitol,8
799,graham,8
311,peter,8
928,do,8
450,billy,8
623,maria,7
152,center,7
295,elaine,7
40,mick,7
146,reserve,7
1654,khan,7
570,border,7
1575,bukele,7
186,americas,7
1582,ukrainian,7
670,signs,7
719,manning,7
1116,alice,7
723,grassley,7
1163,jovita,7
349,fake,7
729,rob,7
511,kavanaugh,7
669,safety,7
746,commission,7
757,acting,7
999,patrol,7
831,medal,7
1020,kansas,7
74,bernard,7
924,larry,7
1246,cnn,7
256,kellyanne,7
82,perry,7
664,hill,7
785,point,7
784,lunny,7
775,richard,7
773,foundation,7
1491,machinery,7
894,agriculture,6
539,dana,6
1387,marshall,6
532,brett,6
621,ag,6
614,hemisphere,6
656,school,6
593,nba,6
667,federal,6
576,reed,6
575,walter,6
697,congresswoman,6
558,isabella,6
553,city,6
1519,intercontinental,6
404,comey,6
1520,barclay,6
1453,indianapolis,6
513,scott,6
761,deputy,6
790,service,6
456,jason,6
807,nadler,6
437,josh,6
411,fbi,6
409,jon,6
1574,guaidó,6
1597,julio,6
629,barr,6
65,turks,6
220,security,6
1096,charlie,6
213,operation,6
1105,va,6
251,mattarella,6
181,michael,6
180,ceo,6
266,virginia,6
1018,lee,6
274,italian,6
298,republic,6
124,good,6
958,assembly,6
1239,charles,6
1070,coast,6
354,alliance,6
1233,advantage,6
1230,hell,6
905,dan,6
175,alexander,5
552,hillary,5
268,greg,5
554,policy,5
442,may,5
557,times,5
1655,chancellor,5
381,gdp,5
434,gary,5
836,kay,5
288,treasury,5
133,syrian,5
430,berube,5
429,craig,5
759,russ,5
839,ursula,5
567,man,5
277,azar,5
724,ernst,5
21,koch,5
1037,tim,5
1296,eu,5
768,andy,5
1447,miami,5
772,legal,5
483,boston,5
505,hall,5
1636,headquarters,5
737,depression,5
736,great,5
735,chuck,5
477,schwartz,5
1435,jose,5
470,january,5
468,commissioner,5
9,jessica,5
618,lawn,5
1144,putin,5
842,law,5
672,sue,5
1598,borges,5
971,herring,5
73,worth,5
665,et,5
393,speaks,5
605,king,5
91,anne,5
391,organization,5
938,motegi,5
72,fort,5
1262,aids,5
586,taliban,5
890,michigan,5
1235,spangler,5
583,guantanamo,5
579,hearts,5
685,vietnam,5
50,dallas,5
856,cold,5
679,community,5
578,purple,5
850,san,5
673,jay,5
334,central,5
1187,amy,5
226,monday,4
1227,obamacare,4
1083,healthcare,4
1487,sheriff,4
1093,adams,4
1238,kingdom,4
1108,ice,4
41,mulvaney,4
1639,micron,4
616,nicaragua,4
1099,owens,4
1240,mclaughlin,4
1445,avila,4
1104,terrence,4
627,shepard,4
1129,kearyn,4
87,alaska,4
202,ken,4
568,rolls,4
1656,merkel,4
1265,scottsdale,4
1266,crimea,4
