,Word,Count
0,thank,883
31,know,865
55,going,828
3,want,638
1,think,635
54,said,611
70,say,430
9,doing,314
26,see,299
14,trump,297
59,go,282
46,done,270
11,got,269
43,make,238
45,made,224
44,come,222
132,look,210
7,tell,209
285,let,201
27,like,172
121,mean,169
4,take,162
116,believe,143
96,put,129
128,talking,127
51,working,125
67,had,123
38,came,121
71,talk,119
62,heard,114
37,give,105
34,coming,96
137,fighting,96
19,thought,92
115,happened,90
77,need,88
2,getting,87
166,happen,87
42,work,84
104,went,83
186,bring,80
207,keep,80
123,call,80
83,took,79
140,told,77
113,get,77
97,love,76
189,wanted,74
131,started,73
5,stand,73
28,ask,73
105,seen,72
21,making,71
249,continue,70
160,looking,70
164,saw,70
362,win,70
283,appreciate,69
210,including,69
17,hear,68
473,won,67
120,saying,67
552,fight,63
142,having,63
564,read,62
143,signed,61
475,used,61
127,taken,60
296,help,58
109,understand,56
498,remember,55
271,taking,54
236,speak,53
190,stop,53
439,gave,52
608,find,52
40,hope,52
263,trying,51
133,gone,50
413,happens,47
638,asked,47
6,guess,47
165,worked,46
61,lost,44
10,knows,44
89,called,44
47,pay,42
260,bless,42
216,standing,42
87,happening,42
264,start,40
146,built,39
174,pass,39
29,watching,39
554,use,39
561,goes,39
950,join,37
139,feel,37
293,wants,36
269,gets,36
737,care,36
117,brought,35
246,serve,35
314,met,35
202,joined,34
154,involved,34
507,spent,34
175,meet,34
722,try,34
583,left,33
76,build,33
251,protect,33
337,given,33
338,created,33
806,elected,32
903,served,32
313,mentioned,31
122,spoke,31
226,agreed,30
49,forget,30
328,vote,29
185,allow,29
469,buy,28
575,paid,28
656,impeach,27
571,became,27
312,lose,27
169,knew,27
81,means,27
539,allowed,26
134,watch,26
18,starting,26
456,wait,26
180,giving,26
361,helped,26
224,end,26
327,cut,25
158,leaving,25
565,paying,25
662,sign,25
199,support,25
429,create,25
273,moving,25
130,killed,25
155,leave,24
203,says,24
217,report,24
640,growing,24
200,defend,24
376,ensure,24
655,hit,24
301,helping,24
73,building,23
460,set,23
645,asking,23
346,hate,22
267,gotten,22
93,grow,22
69,comes,22
193,promise,21
492,winning,21
151,discuss,21
179,honored,21
172,found,21
225,agree,20
350,based,20
359,add,20
573,ran,20
557,supposed,20
596,become,20
652,beat,20
30,talked,20
82,stay,20
825,run,20
270,negotiate,20
161,putting,20
66,spoken,20
609,waiting,19
466,listen,19
603,rebuilt,19
516,share,19
450,following,19
729,makes,19
1027,expand,19
644,leading,19
954,thanking,19
562,watched,19
582,telling,18
126,dealing,18
569,treated,18
853,send,18
968,rising,18
275,captured,18
295,mention,18
220,move,17
58,represent,17
368,welcome,17
375,committed,17
415,investigate,17
20,speaking,17
458,reach,17
103,opened,17
88,creating,17
192,known,17
79,live,17
679,running,17
721,hold,16
239,respect,16
594,released,16
887,rid,16
601,playing,16
119,reported,16
837,bringing,16
90,needs,15
393,achieve,15
900,show,15
844,announced,15
861,kept,15
317,passed,15
98,takes,15
470,loves,15
108,turned,15
550,discussing,15
454,negotiating,15
209,serving,15
597,hurt,15
978,voted,15
510,interpreted,14
23,congratulate,14
52,representing,14
147,open,14
455,finish,14
654,approved,14
1292,encourage,14
208,assure,14
195,spend,14
173,sending,14
48,imagine,14
511,wish,14
322,promised,14
749,release,14
547,buying,13
191,deliver,13
282,expect,13
197,raised,13
530,respected,13
383,save,13
625,matter,13
320,ended,13
436,excuse,13
468,papered,13
360,named,13
787,wrote,13
519,supporting,13
518,consider,13
831,choose,13
329,increase,13
342,reached,13
496,grew,13
944,seems,13
445,fought,13
953,owned,12
406,protecting,12
286,seeing,12
1131,gives,12
287,includes,12
57,seem,12
587,stopped,12
99,mind,12
416,rebuild,12
574,discussed,12
230,played,12
494,covered,12
1010,write,12
41,provide,12
72,according,12
558,policing,12
36,recognize,12
168,needed,12
661,sold,12
1057,forced,11
261,sent,11
580,meeting,11
357,signing,11
1016,deserve,11
22,joining,11
668,gathered,11
1158,walking,11
306,celebrate,11
696,written,11
857,appointed,11
653,looked,11
593,handle,11
136,works,11
752,blame,10
334,losing,10
579,deal,10
744,calls,10
624,hearing,10
553,protected,10
750,holding,10
1286,living,10
633,broke,10
897,breaking,10
1026,compete,10
850,spending,10
896,turn,10
566,introduce,10
461,honor,10
642,treat,10
1114,driving,10
387,provided,10
390,completed,10
430,ends,10
885,fire,10
1002,reflect,10
181,looks,10
214,renewed,10
182,earned,10
243,defending,10
65,assume,10
102,investigating,10
86,thinking,10
250,pray,10
323,delivered,9
692,kidding,9
556,play,9
849,suffering,9
344,led,9
479,sounds,9
1003,placed,9
969,forgotten,9
937,raise,9
63,tried,9
815,extend,9
463,hardworking,9
839,hated,9
657,worry,9
725,change,9
623,shown,9
339,lifted,9
629,held,9
229,advance,9
992,concerned,9
1070,seek,9
68,break,9
305,negotiated,9
678,headed,9
1275,booming,9
231,defeat,9
1359,dying,9
1762,solve,9
444,using,9
1117,answer,9
367,express,9
835,defeated,9
159,announce,8
925,close,8
398,impose,8
400,imposed,8
605,scheduled,8
1273,overturn,8
948,believes,8
614,caught,8
259,step,8
419,explain,8
1294,represents,8
634,own,8
434,accomplished,8
213,trained,8
1059,launched,8
442,received,8
343,recorded,8
471,confirmed,8
823,roll,8
755,destroy,8
234,helps,8
706,cherish,8
110,puts,8
196,stepped,8
590,continues,8
205,decided,8
736,sound,8
860,recognized,8
767,meant,8
84,liked,8
331,produced,8
612,seeking,7
482,inspired,7
1113,lowering,7
1049,sued,7
16,listening,7
747,reading,7
1038,traveling,7
873,face,7
1040,revive,7
425,approve,7
162,announcing,7
877,strengthen,7
1322,uphold,7
1314,brings,7
433,accomplish,7
1199,name,7
446,follow,7
489,stands,7
319,related,7
632,failed,7
891,defrauded,7
1068,destroyed,7
604,rebuilding,7
245,carry,7
1206,lived,7
971,promote,7
279,opening,7
1004,describe,7
395,overcome,7
1450,pick,7
129,fired,7
474,considered,7
1005,rolling,7
78,learn,7
382,arrived,7
1266,investigated,7
178,stayed,7
816,depleted,7
936,focus,7
546,purchasing,7
880,finished,7
1177,supported,7
499,salute,6
201,chose,6
1296,stood,6
602,killing,6
472,meaning,6
1238,sell,6
188,permits,6
591,view,6
