,Word,Count
23,great,92
1,new,47
6,good,37
51,many,37
3,big,34
9,other,28
14,more,28
153,ukrainian,26
48,bad,26
21,american,23
96,wrong,17
19,important,15
98,real,13
85,true,13
50,last,12
72,high,12
13,only,11
62,total,11
130,strong,10
18,political,10
59,same,10
138,second,9
184,better,9
83,tough,9
45,corrupt,9
91,ridiculous,9
164,next,8
67,first,8
88,clear,8
140,own,8
137,whole,8
158,worst,8
24,fake,8
120,greatest,7
145,full,7
56,fraudulent,7
71,kag2020,7
297,massive,7
188,much,7
256,perfect,7
132,wonderful,7
94,hard,6
8,tremendous,6
55,angry,6
26,former,6
28,long,6
258,military,6
2,endless,6
129,republican,6
37,impeachable,6
35,radical,6
124,different,6
58,dishonest,6
131,complete,5
117,free,5
79,little,5
397,@potus,5
127,amazing,5
10,willing,5
167,powerful,5
257,false,5
230,incredible,5
177,partisan,5
192,crazy,5
109,sick,5
233,possible,5
34,simple,5
197,terrible,5
5,russian,4
231,joint,4
4,happy,4
80,proud,4
248,right,4
99,major,4
159,crooked,4
178,unprecedented,4
330,anti,4
38,double,4
44,greater,4
123,presidential,4
57,illegal,4
152,exact,4
46,pro,4
39,foreign,4
325,appropriate,4
205,fair,4
185,2nd,4
146,incorrect,4
215,small,4
47,trump,4
149,smart,3
232,strongest,3
194,pathetic,3
110,congressional,3
121,entire,3
151,close,3
105,phony,3
165,financial,3
222,various,3
198,executive,3
220,legal,3
219,disgraceful,3
175,few,3
106,most,3
0,minor,3
104,unlawful,3
75,blatant,3
12,usual,3
407,best,3
17,huge,3
27,private,3
363,highest,3
32,bigger,3
334,horrible,3
234,brilliant,3
318,latest,3
316,lucky,3
300,guilty,3
281,i6gwghuesu,3
245,unable,3
163,large,3
90,human,3
280,early,3
255,congenial,3
269,quid,3
282,secret,2
361,sharp,2
375,autonomous,2
388,aware,2
252,less,2
393,inaccurate,2
396,sure,2
174,poor,2
244,low,2
187,biggest,2
172,special,2
409,future,2
239,secure,2
411,accurate,2
166,safe,2
419,direct,2
358,nice,2
348,chinese,2
356,dem,2
290,stronger,2
217,median,2
298,deeper,2
302,lowest,2
209,average,2
311,pure,2
208,closed,2
262,higher,2
319,hispanic,2
320,worse,2
323,criminal,2
227,warmer,2
326,pompous,2
228,recent,2
335,unsubstantiated,2
339,docvfm8eqi,2
342,thefive,2
343,absolute,2
201,old,2
218,beautiful,2
73,open,2
77,trump2020,2
143,numerous,2
78,ready,2
136,softball,2
52,current,2
20,focused,2
22,third,2
25,internal,2
125,actual,2
119,successful,2
89,sorry,2
92,costly,2
95,impossible,2
40,red,2
36,tired,2
97,plain,2
63,outstanding,2
102,honest,2
76,rogue,2
156,call,2
65,weak,2
161,stupid,2
322,negligent,1
355,convenient,1
314,legitimate,1
41,irrational,1
349,official,1
350,heroic,1
351,lawful,1
352,@nro,1
313,apparent,1
353,urgent,1
354,such,1
312,inexcusable,1
346,past,1
69,zdj3lyo76h,1
357,creepy,1
310,foster,1
309,interesting,1
359,interested,1
360,incapable,1
33,awesome,1
362,careful,1
31,ineligible,1
364,stymie,1
365,relative,1
347,least,1
344,innocent,1
345,lawless,1
66,artificial,1
324,minimum,1
61,unparalleled,1
64,ultimate,1
60,pleased,1
327,newest,1
328,indivisible,1
329,inner,1
54,unconstitutional,1
331,dirty,1
332,enraged,1
333,edkr6jyysx,1
53,invalid,1
321,obvious,1
317,lousy,1
336,final,1
337,polish,1
366,lively,1
49,fourth,1
340,easier,1
341,square,1
68,⁦@louisvuitton⁩,1
43,obligatory,1
42,constitutional,1
315,probable,1
338,unlocked,1
370,growth,1
367,nicer,1
7,grand,1
405,dramatic,1
406,hispanicheritagemonth,1
16,environmental,1
408,out,1
15,disastrous,1
410,honorable,1
11,permissible,1
412,credible,1
413,relentless,1
414,democratic,1
415,giddy,1
416,international,1
417,trumper,1
418,ironic,1
420,ukranian,1
368,entitled,1
421,actua,1
422,uxiebmttrl,1
423,cute,1
424,natural,1
425,fundraising,1
426,embarrassed,1
427,unpatriotic,1
428,solemn,1
429,explicit,1
430,alleged,1
431,bizarre,1
432,breaking,1
433,friendly,1
434,destructive,1
404,twisted,1
403,vweg3femo5,1
402,vvedqbx8e7,1
401,empty,1
369,congratulatory,1
307,cool,1
371,worker,1
372,economic,1
373,70th,1
374,spectacular,1
30,@dailysignal,1
376,maximum,1
377,positive,1
378,thin,1
379,20th,1
380,pre,1
381,emptive,1
382,respected,1
383,dominant,1
384,21st,1
385,hand,1
386,favorite,1
387,unpardonable,1
29,revealing,1
389,rare,1
390,upcoming,1
391,dangerous,1
392,sinister,1
394,correct,1
395,there-,1
398,one!,1
399,insane,1
400,bottom,1
308,calm,1
162,agricultural,1
306,boring,1
305,biased,1
134,selective,1
202,southern,1
203,key,1
204,unqualified,1
133,recoverable,1
206,inqu,1
207,preventable,1
128,virtual,1
126,kj1ltwysxa,1
210,illegitimate,1
211,a6os0wvcw5,1
212,affordable,1
213,fest,1
214,speechless,1
216,overflow,1
122,afraid,1
118,absurd,1
116,targeted,1
221,vicious,1
115,historic,1
223,complex,1
224,fast,1
225,clean,1
226,suspect,1
114,enough,1
113,sole,1
229,significant,1
112,surprising,1
111,decisive,1
200,flashback,1
199,@secpo,1
135,gruesome,1
180,rough,1
160,seven,1
157,serial,1
168,additional,1
