,Word,Count
5,so,82
19,just,73
6,now,68
0,very,59
10,never,46
4,even,33
18,when,33
38,why,32
8,also,25
20,ever,23
22,only,21
39,totally,20
40,really,19
7,again,17
33,how,16
30,much,15
28,where,14
47,always,14
31,hard,13
36,all,12
23,far,12
62,more,12
85,then,12
35,already,11
55,soon,11
24,here,11
68,back,10
69,before,10
57,well,9
21,else,9
63,most,9
73,away,8
51,absolutely,8
9,actually,8
116,completely,8
83,fraudulently,7
52,out,7
2,quickly,7
122,almost,7
65,as,6
112,at,6
44,too,6
60,highly,6
13,immediately,6
17,there,6
11,no,6
12,longer,6
75,down,5
53,shortly,5
15,better,5
105,fully,5
67,easily,5
27,once,5
142,not,5
41,together,5
3,home,5
45,ago,5
61,still,4
71,up,4
25,rather,4
77,finally,4
119,badly,4
123,strongly,4
58,potentially,4
87,supposedly,3
133,therefore,3
184,america,3
129,right,3
82,over,3
107,financially,3
109,anywhere,3
78,probably,3
168,illegally,3
43,likewise,3
144,forward,3
59,about,3
145,perhaps,3
46,instead,3
66,long,3
32,simultaneously,2
1,nicely,2
100,around,2
175,specifically,2
103,hopefully,2
163,especially,2
125,importantly,2
137,blatantly,2
54,in,2
130,mostly,2
113,least,2
114,pretty,2
49,anyway,2
121,basically,2
166,wrong,2
161,however,2
29,often,2
185,purposely,2
159,that,2
93,unfortunately,2
76,largely,2
157,desperately,2
189,@stevedoocy,2
89,closely,2
88,twice,2
80,properly,2
86,directly,2
42,maybe,2
26,exactly,2
152,duly,1
156,regardless,1
150,dramatically,1
160,rapidly,1
151,yet,1
154,accidentally,1
155,overwhelmingly,1
165,simply,1
153,constitutionally,1
162,barely,1
158,nowhere,1
164,negatively,1
187,unsuccessfully,1
167,first,1
183,entirely,1
197,currently,1
196,nationalvoterregistrationday,1
195,everywhere,1
194,amazingly,1
193,merely,1
192,later,1
191,remotely,1
190,additionally,1
188,selectively,1
148,definitely,1
186,@senshelby,1
182,practically,1
169,aloud,1
181,boldly,1
180,namely,1
179,fda6qxaheo,1
178,clearly,1
177,generally,1
176,best,1
174,lately,1
173,extremely,1
172,increasingly,1
171,illegitimately,1
170,poorly,1
149,inside,1
99,by,1
147,versa,1
79,fairly,1
98,comprehen,1
97,way,1
96,v1rvxeeuso,1
95,less,1
94,sometimes,1
92,@eddierispone,1
91,big,1
90,mistakenly,1
84,frankly,1
81,justly,1
74,naturally,1
146,officially,1
72,momentarily,1
70,possibly,1
64,further,1
56,somewhat,1
50,forcefully,1
48,double,1
37,miserably,1
34,outside,1
16,legally,1
14,next,1
101,after,1
102,early,1
104,politically,1
106,perfectly,1
143,thoroughly,1
141,falsely,1
140,off,1
139,sadly,1
138,real,1
136,separately,1
135,adequately,1
134,@realdonaldtrump,1
132,knowingly,1
131,evilly,1
128,persuasively,1
127,frequently,1
126,conveniently,1
124,proudly,1
120,fast,1
118,carefully,1
117,slowly,1
115,prior,1
111,anymore,1
110,since,1
108,forever,1
198,unquestionably,1
