,Word,Count
5,the white house,4
15,the target center,4
2,the deep state,3
21,the united nations,2
19,villages,2
12,china trade talk meeting,1
20,adam #,1
18,the great state of north carolina,1
17,the great people of utah,1
16,shifty,1
14,the big rally,1
13,the great state of minnesota,1
0,miami international airport,1
1,pelosi,1
10,the great state,1
9,phase two,1
8,the crooked bidens,1
7,the corrupt new york times,1
6,the cabinet room,1
4,the american airlines center,1
3,ymca ‼️,1
11,the james e .,1
