,Word,Count
3,ukraine,43
10,turkey,37
23,china,24
13,the united states,24
8,syria,23
20,louisiana,22
2,usa,16
6,texas,14
35,minneapolis,12
7,america,12
36,minnesota,8
15,usmca,7
24,trump,7
12,dallas,7
0,russia,5
5,us,5
9,obama,4
22,kentucky,4
17,north carolina,4
4,pelosi,4
45,japan,4
30,iraq,3
65,san antonio,3
61,florida,3
33,kansas city,2
47,@realdonaldtrump,2
73,levin,2
41,california,2
1,miami,2
37,brazil,2
51,iran,2
52,washington,2
39,mexico,2
25,the united states of america,2
27,germany,2
21,mississippi,2
68,beijing,1
60,n .c,1
16,victoria,1
62,lm1htqx0ly,1
63,the people's republic of china,1
64,aus,1
14,presid,1
66,austin,1
67,france,1
32,lake charles,1
58,pilye1c220,1
69,new jersey,1
70,country,1
71,the united states of america &amp,1
72,israel,1
11,johnson county,1
74,committee,1
75,west virginia,1
76,vp,1
77,@nyt,1
59,poland,1
56,san francisco,1
57,the united states cong,1
44,idlib province,1
31,great state,1
29,this constitutional republic,1
28,cisco,1
38,missouri,1
40,the state of california,1
26,assad,1
42,ethiopia,1
43,the great state,1
46,the turkish republic,1
34,jr .,1
48,jerusalem,1
49,ankara,1
50,new york city,1
19,el salvador,1
18,guatemala,1
53,australia,1
54,italy,1
55,the united kingdom,1
78,biden,1
