,Word,Count
4,kag2020,3
0,keepamericagreat,2
27,250 million dollar,2
26,4 billion dollar,2
11,millions of dollars,2
23,wy,1
19,1000,1
20,28 billion dollars,1
21,1 .5 billion dollars,1
22,100,1
25,thefive,1
24,tx01,1
17,6000,1
28,almost $15 million,1
29,over $500,1
30,5b,1
18,over $4,1
16,5000,1
1,$2 .6 billion,1
15,almost $2000,1
14,11,1
13,$68 billion,1
12,eight trillion dollars,1
10,1400,1
9,16-20 billion,1
8,8 trillion dollars,1
7,stlblues,1
6,trumpboom,1
5,trump2020,1
3,$150 billion,1
2,#usm,1
31,the millions of dollars,1
