,Word,Count
6,democrats,87
3,democrat,33
7,american,32
17,ukrainian,28
0,kurds,22
1,dems,19
9,republicans,19
5,americans,11
19,republican,8
2,russian,6
26,nothing democrats,3
11,washington democrats,2
12,hispanic,2
14,turks,2
15,europeans,2
34,ukraine,2
4,ukrainians,2
32,autism,2
30,dem,2
29,chinese,2
24,democratic,2
13,great republican,2
27,african-americans,1
33,evangelical christians,1
35,hispanic americans,1
31,louisiana republicans,1
28,polish,1
18,turkish,1
25,kurdish,1
23,new republican,1
22,minnesotans,1
21,un-american,1
20,new ukraine,1
16,european,1
10,soviet,1
8,ahhhh,1
36,ukranian,1
