,Word,Count
15,congress,30
26,house,19
16,@foxnews,14
12,rt,14
94,whistleblower,14
30,the u .s,13
39,the republican party,10
84,isis,10
113,state,8
108,media,6
225,rt @paulsperry,6
88,fake news,6
40,the democrat party,6
190,rt @jessebwatters,5
189,cnn,5
111,great,5
13,fox news,5
93,nato,5
25,schiff,4
241,@potus,4
75,the fake news,4
24,pelosi,4
21,the do nothing democrats,4
91,@foxandfriends,4
193,obama,4
50,senate,4
41,the fake news media,3
137,usmca,3
252,@seanhannity,3
97,fox,3
0,u .s,3
159,icig,3
83,the isis caliphate,3
212,mitt romney,3
79,scam,3
167,fbi,3
120,vote,3
95,real ukraine,2
105,sanctions,2
107,pkk,2
288,inauguration,2
96,asked,2
82,the house of representatives,2
80,the full house,2
102,phase one,2
109,@eddierispone,2
78,shifty schiff,2
101,congress &amp,2
148,ig,2
117,farmers,2
126,@lagop,2
201,trade,2
213,republican party,2
215,@robertjeffress,2
188,@washingtonpost,2
187,doj,2
227,cia,2
228,the lamestream media,2
234,aoc,2
171,border,2
169,mueller,2
240,medicare,2
164,fed,2
157,daca,2
156,federal judgeships,2
247,an executive order,2
250,the do nothing dems,2
147,fake,2
145,oecd,2
258,state department,2
262,the european union,2
270,border security,2
296,greatest,2
206,the failing new york times,2
42,the american airlines center,2
43,@vp,2
48,bad government,2
14,green party,2
57,me,2
28,energy,2
8,trump national doral,2
49,working hard,2
64,ever,2
306,fox &amp,2
70,very,2
36,lv,2
2,defense,2
71,illegal immigration,2
325,the do nothing party,1
236,lyin,1
334,stock market and economy,1
323,@realdonaldtru,1
237,the visa waiver program,1
333,kassam,1
238,the u .s . &amp,1
332,@realdonaldtrump-@repadamschiff,1
239,medicare advantage,1
331,appropriations,1
330,shelley,1
242,the young black leadership summit,1
249,thefive,1
243,house intelligence committee,1
324,.co/szt60k4sw3,1
244,the washington times,1
329,strong border security,1
245,no trump pressure,1
251,interference,1
328,air force one,1
327,the do nothing democrats!,1
246,rt @flotus :,1
326,liddle',1
248,medicar,1
235,bad,1
231,"schiff , &amp",1
335,trump-ukraine,1
233,.of ukraine,1
209,bold usa,1
210,.co/,1
211,china &amp,1
344,the united nations,1
343,maxine waters,1
214,bombshell report,1
342,ukraine government,1
216,@hmdatmi,1
217,fox news',1
218,congressional democrats',1
219,volker,1
341,pompeo,1
220,the @nytimes &amp,1
221,n3faz5uvi0,1
340,hoax to russian collusion,1
339,the crooked pols,1
338,the intelligence community ig,1
222,american political history,1
223,house intel panel,1
224,pelosi blatantly lies during @gma interview about schiff's,1
337,healthcare,1
226,biased inspector,1
336,@realdonaldtrump &amp,1
229,ex-envoy,1
230,reps . pelosi &amp,1
322,cdt,1
232,trump &amp,1
253,nbc news,1
298,the obama administration's,1
254,all saints episcopal school,1
307,@foxandfriends mark levin,1
315,nothing,1
314,fwmnnrl9po,1
283,perfect,1
313,wenstrup,1
284,increased,1
208,2012 &amp,1
312,dni,1
286,tx,1
287,radicals &amp,1
311,fnc,1
310,flashback,1
309,national border patrol council,1
308,ass,1
289,"obama/biden out , &amp",1
255,united,1
290,trump/pence in,1
291,big,1
305,@marklevinshow,1
292,excellent,1
293,big news,1
294,apple,1
304,ukrainescandal,1
303,fraud &amp,1
302,second &amp,1
295,navistar,1
301,china trade turmoil,1
300,fake &amp,1
297,the joint chiefs of staff,1
316,cut record taxes &amp,1
282,pelosi &amp,1
317,the va &amp,1
281,the federal reserve,1
256,free,1
257,discredit the barr investigation,1
299,ukraine,1
259,@randpaul,1
260,@repmarkmeadows,1
261,the world trade organization,1
321,american,1
263,"tariffs , trade barriers",1
264,the texas success story,1
265,complete &amp,1
266,house intel,1
267,whistle-blower's accusations,1
268,bullshit,1
269,moat,1
320,aoc plus 3,1
319,shape,1
271,moot,1
272,the crime of,1
273,@parscale,1
274,strong,1
275,border patrol,1
318,&amp,1
276,our u .s,1
277,court,1
278,victory,1
279,coup,1
280,freedoms,1
285,rt @kayleighmcenany,1
173,the police union charities,1
207,foster house &amp,1
68,the united states congress,1
77,ukraine &amp,1
76,@abc news,1
74,emails,1
73,pres,1
72,the radical left democrats,1
69,the @stlouisblues amazing comeback,1
67,shifty,1
58,asylum cooperation agreements,1
66,shifty adam schiff,1
65,the witch hunt,1
63,a constitutional travesty,1
62,governors,1
61,domination &amp,1
60,independence,1
81,democrat party impeachment,1
85,the wall street journal,1
86,fox impeachment,1
87,chinese company,1
89,anguilla,1
90,@foxandfriends @steveducey  ,1
92,european nations,1
98,the u .s .,1
99,understand,1
100,false,1
103,fraudulent,1
104,economic power,1
106,treasury,1
110,dem/socialists/media,1
112,@speakerpelosi,1
114,nyc,1
115,boeing planes,1
59,liberty &amp,1
56,measured &amp,1
205,cbs,1
11,the hostile media &amp,1
23,national security advisor,1
22,@eleanornorton,1
20,msm,1
19,the obama administration,1
18,the @heritage foundation's,1
17,sec,1
10,camp david,1
55,gover,1
9,the host site for the g-7,1
7,crazed,1
6,media &amp,1
5,wefi,1
4,@worldbank,1
3,made,1
27,the impeachment proceeding,1
29,sides &amp,1
31,"the oil , &amp",1
32,kurds &amp,1
33,some european nations,1
34,the ⁦@louisvuitton trump,1
35,@louisvuitton⁩,1
37,potus,1
38,pledge,1
44,@rterdogan,1
45,the economy &amp,1
46,the fake news &amp,1
47,loud &amp,1
51,the ridiculous &amp,1
52,bucksexton,1
53,censure rep,1
54,d &amp,1
116,wow,1
118,taliban,1
119,@foxandfriends  @repleezeldin  schiff,1
175,the minneapolis police,1
181,"the promises made , promises kept",1
180,@toddstarnes,1
179,trading,1
178,minneapolis police department,1
177,police officers,1
176,minneapolis police officers &amp,1
174,left dem,1
121,replace liberal,1
1,oil,1
172,secure,1
170,the party of honest,1
168,administration,1
166,washington examiner,1
165,con artists,1
182,rt @ap_scoop,1
183,fbi lovebirds,1
184,rt @seanmdav,1
185,ic ig,1
186,wapo,1
191,dream big,1
192,the economy of turkey,1
194,rt @hughhewitt : stream,1
195,@ambjohnbolton,1
196,russia &amp,1
197,the trump tax cut,1
198,median family incomrs,1
199,the radical left,1
200,fcc,1
202,@wsjatlarge,1
203,sleepy,1
204,deface the nation,1
163,gop,1
162,friends of trump,1
161,ig report,1
138,the @tpusa advisory board,1
122,louisiana republicans,1
123,fire,1
124,great republican,1
125,sudduth coliseum,1
127,homeland security,1
128,border crossings,1
129,the national security of a nation &amp,1
130,@ustreasury,1
131,mccabe,1
132,the white house,1
133,✔ jobless,1
134,trump doral,1
135,nafta,1
136,the target center,1
139,maga,1
160,boom @mariabartiromo,1
140,great people &amp,1
141,⬇ ▪,1
