,Word,Count
25,trump,32
34,adam schiff,22
234,ed henry,19
35,witch hunt,15
20,nancy pelosi,15
235,mark levin,12
93,biden,12
65,whistleblower,12
85,john bel edwards,10
63,hunter,9
91,@realdonaldtrump,8
9,hillary clinton,8
66,transcript,7
167,joe biden,7
78,donald trump,6
58,hunter biden,6
13,clinton,6
5,hillary,5
6,bidens,5
31,obama,5
59,sleepy joe,4
29,pelosi,4
114,quid pro quo,4
154,treason,3
117,sleepy joe biden,3
251,zelensky,3
94,kevin,3
46,jim,3
44,barack obama,3
2,crooked hillary,3
18,kimberley strassel,3
187,schiffs,2
133,sondland,2
237,ed,2
227,me,2
118,joe,2
120,scam,2
68,donald j,2
54,rand paul,2
243,fox,2
238,preach brother,2
57,matt,2
126,bret baier,2
223,rep,2
161,peter baker,2
253,turner,2
175,subpoena,2
107,bolsonaro,2
4,jill stein,2
164,graham,2
108,kag2020,2
10,elissa slotkin,2
273,nadler,2
215,chuck schumer,2
170,joe biden's,2
113,volodymyr zelensky,2
219,@kia,2
27,corrupt,2
92,kevin mcaleenan,2
90,steve kerr,2
37,dan,2
220,mac pro,2
256,cruz,2
200,trump fundraising haul,1
203,novembe,1
202,chin,1
199,@replouiegohmert @breitbartnews,1
205,richard,1
206,kellie,1
197,@repleezeldin,1
201,mccarthy,1
198,cujhikzfgr,1
204,hugh,1
189,ed rollins @foxnews,1
196,schiff,1
195,jackson district @boyscouts,1
163,bob,1
165,whistleblowers,1
166,edwards,1
168,open borders,1
169,ameri,1
171,god,1
172,https,1
173,peter schweizer,1
174,secret empires,1
176,jeff flake,1
177,impeachmittromney,1
178,@andrewcmccarthy,1
179,russian,1
180,congressman schiff,1
181,great,1
182,thanks jim,1
183,richard ketay,1
184,ivanka,1
185,@trish_regan,1
186,adam schiff's,1
188,lee zeldin @foxnews,1
208,jim hood,1
190,lee zeldin,1
191,@gma,1
192,adam schiffty schiff,1
193,@gstephanopoulos,1
194,joe digenova,1
207,franklin graham,1
0,mark esper,1
209,mike pompeo,1
248,matt gaetz,1
250,transcript https,1
252,perino,1
254,maquire,1
255,stefanik,1
257,scott,1
258,mcmaster,1
259,trump hater,1
260,corrupt congressman liddle' adam schiff,1
261,robert ray  @foxnews,1
262,rd robert ray,1
263,anti-trumper,1
264,trump transcript shows him,1
265,donald tr,1
266,trump  ,1
267,kevin mccarthy,1
268,ukraine whistleblower's,1
269,@realdonaldtrum,1
270,giuliani,1
271,pro quo,1
272,pamela brown,1
274,andrew mccarthy,1
275,the witch hunt,1
276,anti-trump,1
277,witch hunt scam,1
278,greatest,1
249,john roberts,1
247,ian bremmer,1
210,jeanne zaino,1
246,yes ed,1
211,barr,1
212,border wall,1
213,eddie rispone,1
214,ralph abraham,1
216,jay powell,1
217,yo,1
218,xi,1
221,navistar,1
222,djlyoma7kb,1
224,adam schiff millions,1
225,mark milley,1
162,woodward,1
228,johnathan ward,1
229,happy birthday,1
230,robert jeffress,1
231,hillary clinton email,1
232,jeff van drew,1
233,rosh hashanah,1
236,paul ryan,1
239,the pro sha,1
240,love you mark levin,1
241,get ed henry,1
242,henry,1
244,friends,1
245,ed henry @edhenrynews,1
226,jim mclaughlin,1
140,adam,1
160,bob woodward,1
69,bashar al-assad,1
49,huma abedin,1
50,brian babin,1
51,brian,1
52,schumer,1
53,nervous nancy's,1
55,jeff zucker,1
56,@mattbevin,1
60,veritas,1
61,jeff zucker's,1
62,sleepy joe biden's,1
64,payoff,1
67,coup,1
70,napoleon bonaparte,1
86,rudy giuliani,1
71,angela merkel,1
72,katie,1
73,kim,1
74,analysis,1
75,scott hapgood,1
76,brian kilmeade,1
77,harry reid,1
79,harry,1
80,chris wallace,1
81,mike wallace,1
82,mark,1
83,steve hilton,1
48,anthony wiener,1
47,walls,1
45,elijah cummings,1
43,phony witch hunt,1
3,congresswoman tulsi,1
7,corey lewandowski,1
8,mick mulvaney,1
11,haley stevens,1
12,admin,1
14,alexandria ocasio-cortez,1
15,illhan omar,1
16,bernie sanders,1
17,tom,1
19,@tomfitton,1
21,de los estados,1
22,están motivados,1
23,kenn starr,1
24,pelosi finger wags,1
26,shifty schiff,1
28,andy,1
30,susan rice,1
32,susan,1
33,michael mccaul,1
36,dan brouillette,1
38,rick perry,1
39,rick,1
40,corrupt adam schiff,1
41,@rterdogan,1
42,louis vuitton,1
84,awol,1
87,mathew golsteyn,1
159,chuck,1
144,dershowitz,1
131,bob kroll,1
132,elizabeth warren,1
134,pro quo's,1
135,pastor brunson,1
136,frey,1
137,omar,1
138,down trump,1
139,joni,1
1,mark esperanto,1
141,michael atkinson,1
142,contradict warren's,1
143,catherine herridge,1
145,michael,1
88,green beret,1
146,northrrn syria,1
147,stephen moore,1
148,freedomworks  ,1
149,bush,1
150,ajit pai,1
151,endless wars,1
152,.again,1
153,nervous nancy,1
155,gerry baker,1
156,ken starr,1
157,chuck todd,1
158,@ronjohnsonwi,1
130,free speech,1
129,jacob frey,1
128,abe lincoln,1
127,jake gibson,1
89,con job,1
95,sean,1
96,mike parson,1
97,alex azar,1
98,legitimize,1
99,sarah sanders,1
100,corey lewandowski - news - the,1
101,jed clark,1
102,vicky,1
103,tom reed,1
104,robert o'brien,1
105,erdogan,1
106,warmer,1
109,stay out,1
110,shep smith,1
111,@foxnews poll,1
112,andrew napolitano,1
115,gregg popovich,1
116,john kiriakou  @tuckercarlson,1
119,impeached,1
121,don,1
122,yom kippur,1
123,tucker carlson,1
124,wirch hunt,1
125,bob mueller,1
279,destructive witch hunt,1
