,Word,Count
20,https,131
70,impeachment,54
24,people,48
323,call,43
109,years,36
247,@realdonaldtrump,33
77,time,29
29,country,28
154,today,26
42,media,24
285,conversation,23
181,job,21
52,statement,21
186,way,21
246,history,21
837,transcript,18
396,schiff,17
234,deal,17
338,election,17
198,news,17
319,case,16
25,amp,15
160,millions,14
701,information,14
220,tonight,14
603,whistleblower,14
287,night,13
144,day,13
405,phone,13
46,reason,13
273,jobs,12
10,dems,12
325,words,12
822,hand,11
414,others,11
164,vote,11
371,isis,11
485,@whitehouse,11
237,order,11
304,record,11
399,pressure,11
15,@ivankatrump,10
297,book,10
4,soldiers,10
92,fraud,10
249,thing,10
345,facts,10
306,runoff,10
401,process,10
392,@foxandfriends,10
272,trade,9
86,interview,9
100,economy,9
138,crime,9
171,transparency,9
233,congratulations,9
545,things,9
463,fact,9
156,tomorrow,9
587,dollars,8
349,campaign,8
87,inquiry,8
174,lives,8
185,work,8
218,corruption,8
376,countries,8
204,lot,8
276,war,8
252,person,7
197,fighters,7
141,family,7
266,story,7
254,troops,7
431,@lindseygrahamsc,7
303,questions,7
175,thousands,7
41,cost,7
108,office,7
590,nothing,6
342,numbers,6
522,scam,6
74,times,6
71,@vp,6
532,@mariabartiromo,6
167,power,6
1,ceasefire,6
358,son,6
248,government,6
7,wars,6
44,money,6
410,version,6
654,public,6
61,farmers,6
537,families,5
313,income,5
500,crimes,5
257,friends,5
283,@stevescalise,5
779,nation,5
158,disaster,5
161,thanks,5
261,leader,5
176,friend,5
183,year,5
12,@gop,5
725,@jessebwatters,5
723,treason,5
235,days,5
11,area,5
213,taxes,5
497,witness,5
676,deals,5
97,crowd,5
483,border,5
93,voters,5
344,emails,5
96,rally,5
1013,president,5
444,@devinnunes,5
947,press,5
366,part,5
51,yesterday,5
322,telephone,5
427,week,5
425,relationship,4
704,push,4
80,course,4
593,right,4
794,company,4
79,poll,4
412,show,4
623,workers,4
343,problems,4
457,lawyer,4
599,place,4
373,situation,4
196,success,4
162,pelosi,4
113,level,4
53,@greggjarrett,4
421,weeks,4
996,pm,4
718,incomes,4
359,credibility,4
639,lies,4
398,game,4
147,disgrace,4
85,surprise,4
131,stories,4
498,heart,4
321,account,4
310,choice,4
212,party,4
30,hundreds,4
525,morning,4
685,attempt,4
301,rights,4
912,honor,4
99,rules,4
329,victory,4
296,security,4
182,end,4
659,partner,4
335,kag2020,4
652,man,4
646,misdemeanors,4
464,question,4
139,state,4
339,5th,4
697,claim,4
696,narrative,4
628,beginning,3
393,sanctions,3
409,father,3
661,request,3
629,cops,3
635,police,3
391,mess,3
375,prisoners,3
390,guy,3
400,talk,3
415,dirt,3
642,speech,3
487,candidates,3
244,agenda,3
459,win,3
320,copy,3
520,businesses,3
672,extortion,3
3,areas,3
475,evening,3
293,assistance,3
290,focus,3
468,help,3
559,info,3
562,reporting,3
567,majority,3
336,tickets,3
574,quid,3
341,vets,3
365,enemy,3
594,court,3
597,@ingrahamangle,3
350,bias,3
450,clue,3
258,strength,3
446,tax,3
441,decision,3
253,safety,3
438,fighting,3
437,side,3
611,none,3
363,operation,3
434,fight,3
452,@ericbolling,3
26,search,3
211,trumprallydallas,3
82,use,3
172,leaks,3
170,meetings,3
769,form,3
64,candidate,3
163,votes,3
785,complaint,3
72,will,3
148,name,3
813,drug,3
140,enemies,3
81,investigation,3
820,research,3
136,coup,3
1008,dollar,3
823,word,3
933,gun,3
827,author,3
924,snakes,3
843,politics,3
98,approval,3
899,stuff,3
122,line,3
894,leadership,3
874,hole,3
17,women,3
110,energy,3
177,experience,3
67,enthusiasm,3
882,business,3
49,nations,3
195,chance,3
1055,accuser,3
48,support,3
1059,type,3
205,factory,3
1136,collusion,3
1072,@bulldawgderek,2
923,fundraising,2
949,@repmarkmeadows,2
411,requests,2
496,contact,2
1032,put,2
935,industry,2
1175,release,2
460,car,2
1033,shape,2
928,lowlife,2
408,@marklevinshow,2
461,insurance,2
406,reminder,2
914,duty,2
1070,@rjccw,2
474,polls,2
1054,addition,2
1031,inauguration,2
905,republicans,2
904,accusations,2
891,healthcare,2
892,seniors,2
1060,districts,2
486,ratings,2
1061,w6o2jkaxz7,2
893,socialists,2
1069,influence,2
907,scale,2
430,world,2
1021,team,2
1009,venture,2
432,legislation,2
1007,@kia,2
993,charges,2
1083,school,2
1010,driving,2
988,stake,2
987,voting,2
978,mine,2
977,standards,2
439,change,2
423,aspects,2
976,top,2
440,idea,2
1011,technologies,2
975,spikes,2
886,@senthomtillis,2
445,gas,2
974,fence,2
973,alligators,2
1094,ratcliffe,2
422,services,2
1012,truck,2
968,prices,2
453,access,2
967,prescription,2
458,republican,2
965,brains,2
1107,military,2
