,Word,Count
12,rt,355
0,https,253
65,president,156
77,democrats,103
53,amp,79
40,trump,72
164,schiff,59
21,@realdonaldtrump,56
57,ukraine,55
335,whistleblower,45
36,democrat,42
197,turkey,38
63,news,38
191,adam,37
193,hunt,35
238,united,34
188,house,33
86,congress,33
192,witch,33
360,biden,32
83,pelosi,31
227,fake,30
239,states,29
370,china,28
957,ed,26
93,@foxnews,26
317,louisiana,25
150,syria,25
74,party,24
1138,henry,23
223,republican,23
2,kurds,23
167,do,23
147,obama,23
22,america,22
284,country,22
124,republicans,22
9,usa,22
1164,@rncresearch,22
280,joe,21
205,governor,20
274,rep,19
34,great,19
97,state,19
4,mark,18
26,hillary,17
121,nancy,17
183,@seanhannity,17
78,@gopchairwoman,17
125,american,17
1137,levin,16
181,impeachment,15
567,minneapolis,15
72,clinton,15
357,border,15
359,hunter,15
123,texas,15
372,scam,15
87,dems,14
62,fox,14
71,americans,13
478,john,12
6,secretary,12
168,usmca,11
92,@donaldjtrumpjr,11
480,edwards,11
184,congressman,10
568,minnesota,10
163,shifty,10
479,bel,10
350,military,10
25,crooked,10
253,greatest,9
353,radical,9
361,sleepy,9
380,donald,9
222,@danscavino,9
405,new,9
861,swamp,8
127,me,8
233,center,8
88,election,8
35,media,8
340,thursday,8
349,amendment,8
373,transcript,8
817,chairman,8
68,corruption,8
190,corrupt,7
229,november,7
231,dallas,7
157,security,7
857,mitt,7
616,big,7
166,@jim_jordan,7
41,national,7
208,isis,7
248,approval,7
425,europe,7
314,fraud,7
32,russia,6
858,romney,6
341,october,6
422,middle,6
56,bidens,6
823,liddle,6
520,kevin,6
261,jim,6
264,washington,6
909,@paulsperry,6
601,trade,6
488,mayor,6
172,speaker,6
423,east,6
615,ig,5
55,@clewandowski,5
287,north,5
348,second,5
1117,u7wxkro6kx,5
426,nato,5
404,friday,5
210,nations,5
375,@marklevinshow,5
878,san,5
566,target,5
922,pro,5
408,@mariabartiromo,5
59,vp,5
551,sen,5
288,carolina,5
767,@kimstrassel,5
263,@senatemajldr,5
285,white,5
105,senator,5
783,cnn,5
774,general,5
270,wars,5
128,@presssec,5
631,zelensky,5
96,us,5
249,rating,5
753,@loudobbs,5
417,@foxandfriends,5
10,wall,5
313,left,5
390,caliphate,4
617,rally,4
344,tate,4
170,@ztpetrizzo,4
338,jeff,4
474,mueller,4
406,york,4
240,deal,4
286,seats,4
282,brian,4
355,kentucky,4
1059,autism,4
267,senate,4
246,economy,4
484,farmers,4
407,times,4
230,people,4
410,@morningsmaria,4
309,paul,4
310,case,4
209,european,4
594,robert,4
835,chuck,4
387,southern,4
694,bob,4
751,japan,4
778,@hughhewitt,4
695,fbi,4
921,quid,4
119,@tomfitton,4
658,report,4
75,russian,4
148,administration,4
112,book,4
23,first,4
710,police,4
711,union,4
928,florida,4
736,ambassador,4
1065,hoax,3
468,car,3
469,insurance,3
510,job,3
336,@gma,3
73,green,3
255,barack,3
1037,market,3
1036,stock,3
882,god,3
433,republic,3
467,@eddierispone,3
114,strassel,3
345,crime,3
463,iraq,3
738,quo,3
693,@byronyork,3
548,city,3
868,ukrainian,3
308,rand,3
352,endorsement,3
232,airlines,3
458,economic,3
113,kimberley,3
290,schumer,3
439,mike,3
455,phase,3
729,department,3
748,@parscale,3
902,story,3
454,tariffs,3
735,subpoena,3
322,median,3
325,point,3
1255,may,3
297,@speakerpelosi,3
109,@repleezeldin,3
443,steve,3
1058,dollar,3
932,aoc,3
269,endless,3
503,vote,3
89,day,3
1083,antonio,3
472,dem,3
703,california,3
200,dan,3
1207,nadler,3
3,oil,3
161,coup,3
986,mccarthy,3
827,treason,3
650,federal,3
211,@vvfriedman,3
946,medicare,3
655,icig,3
159,emails,3
623,justice,3
13,promises,3
33,crazy,3
1,knvqf6jdil,3
30,jill,3
202,energy,3
606,vice,3
853,graham,3
620,@foxbusiness,3
789,@trish_regan,3
974,villages,3
579,trumpminneapolis,3
356,matt,3
652,daca,3
829,rate,3
386,assad,3
860,drain,3
43,miami,3
42,doral,3
228,deep,3
647,campaign,3
185,michael,3
140,free,3
646,failing,3
831,baker,3
844,peter,3
569,massive,3
420,happy,3
399,pollster,2
747,@toddstarnes,2
773,inspector,2
456,one,2
1106,zero,2
841,woodward,2
394,germany,2
1107,him,2
391,europeans,2
740,pastor,2
893,record,2
459,power,2
840,xqjzzt7gsp,2
403,poll,2
796,january,2
806,cut,2
452,agricultural,2
777,doj,2
876,reading,2
779,@washingtonpost,2
877,gw4hfdbipj,2
761,ic,2
821,iran,2
427,member,2
756,@mzhemingway,2
428,harry,2
416,anguilla,2
884,@greggjarrett,2
434,again,2
435,asked,2
1086,millions,2
438,wallace,2
855,@w_terrence,2
1082,navistar,2
845,@senjudiciary,2
1080,mac,2
805,tax,2
1079,@apple,2
449,@greggutfeld,2
451,patriot,2
1073,inauguration,2
961,committee,2
737,sondland,2
599,congressional,2
985,leader,2
586,unemployment,2
582,tune,2
1001,barr,2
667,fed,2
671,mass,2
938,zeldin,2
937,lee,2
1010,@randpaul,2
1015,world,2
1018,photograph,2
936,schiffs,2
933,nothing,2
687,candidate,2
552,@royblunt,2
654,mexico,2
653,court,2
547,kansas,2
977,@replouiegohmert,2
635,taxes,2
640,democratic,2
630,volodymyr,2
629,supreme,2
627,andrew,2
641,staff,2
649,spy,2
613,@jairbolsonaro,2
651,judgeships,2
612,oecd,2
611,brazil,2
610,march,2
609,bolsonaro,2
607,premier,2
838,press,2
925,richard,2
546,un,2
461,sanctions,2
704,saturday,2
960,intelligence,2
1061,bill,2
714,frey,2
487,fakenews,2
906,intel,2
1063,zqbttlbgmp,2
719,mahalet,2
723,officers,2
899,lyin,2
734,warren,2
482,lwcwvpeiqn,2
481,ybmyosgdk3,2
471,ca,2
466,war,2
464,turkish,2
1060,cares,2
499,mathew,2
538,lesm,2
504,liberal,2
1031,pompeo,2
532,nation,2
531,government,2
1033,west,2
697,bret,2
528,acting,2
698,baier,2
524,@scavino45,2
521,mcaleenan,2
918,lamestream,2
512,kerr,2
509,con,2
917,cia,2
1048,patrol,2
505,@docabraham,2
491,giuliani,2
413,scott,2
176,capitol,2
60,corey,2
1189,cruz,2
1152,brother,2
137,starr,2
1151,preach,2
1150,amen,2
138,special,2
1149,morning,2
1148,sunday,2
61,lewandowski,2
58,ex,2
339,zucker,2
217,lv,2
139,prosecutor,2
1244,bzicekn8hy,2
318,constitutional,2
320,candidates,2
323,household,2
324,highest,2
329,heritage,2
46,g-7,2
219,county,2
66,ukrainians,2
1155,@edhenry,2
293,nervous,2
244,@secpompeo,2
254,h1r2be2ys6,2
104,omar,2
243,@vp,2
111,tom,2
258,working,2
117,foundation,2
259,hard,2
260,snuppjb4xm,2
241,never,2
