,Word,Count
24,thank,52
144,said,34
72,want,31
40,see,30
7,made,30
42,done,29
18,doing,29
121,got,27
192,going,25
53,trying,21
160,make,20
124,think,20
212,win,19
154,fighting,19
230,read,17
75,let,17
99,go,16
6,making,15
8,https,15
153,coming,14
33,protect,14
14,called,14
187,vote,14
80,watch,13
49,seen,13
338,keep,13
64,working,12
126,getting,12
166,fight,12
74,know,12
155,love,12
317,look,11
47,need,11
137,work,11
219,is,10
119,end,10
58,left,10
184,impeach,10
245,amp,10
140,take,9
59,support,9
65,put,9
247,knew,9
76,happen,9
20,based,9
88,asked,9
178,took,8
167,bring,8
294,seeing,8
73,destroy,8
424,running,8
458,stop,8
297,call,8
12,calling,8
15,like,8
48,looking,8
286,stated,8
659,resign,7
358,lying,7
16,gone,7
35,told,7
302,say,7
23,including,7
543,elected,7
223,released,7
135,wants,7
404,sign,7
111,find,7
194,won,7
341,having,7
432,building,6
418,watching,6
190,happened,6
306,start,6
179,built,6
181,send,6
180,happening,6
471,continue,6
480,@repmarkmeadows,6
301,allowed,6
300,taken,6
170,help,6
31,went,6
239,beat,6
57,found,6
201,signed,6
346,gave,6
405,force,6
17,give,6
326,wanted,6
232,involved,6
214,impeached,6
220,saying,6
41,needs,6
249,started,6
446,try,5
726,draining,5
248,seems,5
141,came,5
250,lost,5
725,am,5
130,believe,5
361,saw,5
351,hit,5
277,used,5
443,hurt,5
408,stands,5
718,was,5
244,caught,5
241,come,5
289,explain,5
411,meet,5
236,join,5
685,reading,5
331,talking,5
208,stay,5
342,helping,5
204,wrote,5
406,makes,5
191,deleted,5
200,tell,5
227,testify,5
0,holding,5
316,fabricated,5
4,ending,5
19,winning,5
653,taking,5
13,heard,5
25,thought,5
486,paid,5
30,announced,5
113,remember,5
474,met,5
546,means,5
51,ask,5
542,focused,5
89,investigate,4
246,pay,4
161,needed,4
164,continues,4
425,had,4
96,agree,4
237,loves,4
417,play,4
226,says,4
357,worked,4
412,investigating,4
527,lied,4
276,turned,4
295,decided,4
274,treated,4
273,breaking,4
401,providing,4
765,pushed,4
218,looks,4
525,shows,4
29,set,4
251,mentioned,4
445,urging,4
298,get,4
455,release,4
468,exposed,4
3,secured,4
145,http,4
789,exist,4
142,captured,4
114,killed,3
211,became,3
213,add,3
716,changed,3
133,spoke,3
343,attacking,3
578,handed,3
684,impeaching,3
115,voted,3
621,pressured,3
620,raised,3
303,listen,3
395,waiting,3
353,killing,3
506,shut,3
263,protecting,3
81,fired,3
39,held,3
253,speak,3
125,saved,3
369,brought,3
46,respected,3
255,pushing,3
128,leaving,3
373,defend,3
375,lead,3
380,dems,3
234,lose,3
116,voting,3
616,registered,3
228,transcribed,3
131,deal,3
79,attack,3
638,reached,3
285,move,3
87,reminds,3
429,known,3
97,tied,3
1,ended,3
407,beginning,3
26,using,3
333,tried,3
477,guess,3
91,failed,3
185,closed,3
186,hope,3
414,fixed,3
582,lies,3
330,asking,3
470,allow,3
112,telling,3
156,arrived,3
435,considering,3
569,begged,3
162,engaged,3
637,mention,3
278,forced,3
791,attempted,3
717,pressure,2
364,securing,2
703,develop,2
322,dealing,2
319,disappeared,2
574,playing,2
702,@aptiv,2
363,landed,2
589,bless,2
595,witch,2
706,write,2
548,driving,2
572,excited,2
327,fought,2
715,talk,2
597,continuing,2
340,explained,2
599,stopped,2
339,proven,2
354,train,2
370,authorized,2
356,kill,2
593,acid,2
337,count,2
336,meeting,2
600,pertained,2
592,delete,2
583,@robertjeffress,2
460,spent,2
547,increased,2
493,listening,2
487,expected,2
674,show,2
672,calls,2
430,controlled,2
649,improving,2
431,created,2
650,mean,2
651,investigated,2
434,ripped,2
436,fill,2
437,handing,2
439,stand,2
314,head,2
441,hold,2
665,selling,2
469,questioned,2
444,deny,2
464,wishing,2
448,hearing,2
450,pass,2
661,joining,2
454,knowing,2
463,wounded,2
457,apologize,2
462,died,2
489,abandoned,2
676,demean,2
545,include,2
496,steal,2
371,giving,2
372,@minneapolispd,2
612,launched,2
614,framed,2
383,refuses,2
387,host,2
691,given,2
690,learn,2
392,trump,2
618,run,2
521,trust,2
461,policing,2
515,supposed,2
627,committed,2
682,electrified,2
629,blown,2
681,stuffed,2
680,sell,2
505,tries,2
503,hurting,2
500,forget,2
499,remaining,2
409,defeated,2
636,affected,2
678,lowering,2
399,destroyed,2
288,seem,2
159,following,2
259,chose,2
243,obtained,2
756,dig,2
254,spoken,2
171,fast,2
754,tore,2
169,replace,2
260,focus,2
238,supports,2
752,showing,2
165,leading,2
265,moved,2
52,co,2
748,seeking,2
157,wait,2
54,overturn,2
173,denying,2
269,offered,2
189,fabricating,2
207,born,2
210,crash,2
216,become,2
69,buy,2
221,allowing,2
193,pray,2
224,pick,2
92,conduct,2
63,cares,2
177,liked,2
62,removed,2
233,confirmed,2
816,inaugurated,2
175,create,2
268,back,2
769,slams,2
132,intended,2
11,putting,2
123,stick,2
290,determine,2
138,thinking,2
792,defraud,2
292,trashing,2
283,releasing,2
32,ignoring,2
790,sound,2
305,begun,2
5,bringing,2
293,wake,2
149,understand,2
2,resettled,2
36,withhold,2
37,related,2
270,rejected,2
296,don't,2
21,consider,2
821,demand,1
818,visited,1
819,informed,1
820,insist,1
817,@foxandf,1
812,basing,1
804,hoping,1
805,expose,1
803,are,1
802,invest,1
634,recover,1
655,projecting,1
822,donated,1
633,declared,1
823,debunks,1
635,saving,1
641,requesting,1
654,improve,1
639,drops,1
647,arches,1
646,@boyscouts,1
645,nullify,1
811,threatened,1
644,sue,1
824,believes,1
813,characterizing,1
810,initiates,1
814,feel,1
643,fabricate,1
809,ruling,1
808,ruiling,1
652,suggesting,1
815,works,1
642,blows,1
807,oppose,1
648,learning,1
640,lets,1
806,wnesru5xum,1
731,care,1
828,.involving,1
632,grant,1
603,@kimstrassel,1
833,frozen,1
601,choked,1
834,rig,1
835,recommending,1
836,suffering,1
837,sooooo,1
598,interfere,1
838,scrambling,1
596,interfering,1
594,picked,1
839,recieved,1
840,ruin,1
591,looked,1
590,suggest,1
841,representing,1
588,standing,1
587,exposes,1
586,writes,1
585,encourage,1
584,tolerate,1
581,revealed,1
842,declassified,1
580,miss,1
579,open,1
843,coexist,1
602,bears,1
604,schiff,1
631,awaited,1
605,disclosed,1
630,nominated,1
825,solve,1
628,fool,1
626,enjoy,1
625,rid,1
826,imp,1
624,perpetuated,1
623,charge,1
622,backfire,1
827,undermine,1
657,becoming,1
619,testified,1
617,detailed,1
829,reveal,1
830,maintain,1
831,undermined,1
615,accuse,1
832,claiming,1
613,derail,1
611,pretends,1
610,posing,1
609,trained,1
608,identify,1
607,pulling,1
606,inspector,1
656,setting,1
787,lift,1
801,rebuild,1
704,delaying,1
712,starting,1
711,close,1
710,misled,1
749,curved,1
709,forgotten,1
750,face,1
751,mopped,1
708,advancing,1
707,focuses,1
753,wondering,1
705,passing,1
755,implies,1
714,puts,1
757,implied,1
758,@jh690208,1
701,cover,1
700,judge,1
699,pressu,1
698,ramping,1
697,change,1
759,mark,1
696,interview,1
695,promises,1
694,nsb2vmmfe1,1
713,attend,1
747,celebrating,1
692,fooled,1
722,pretended,1
729,cause,1
732,burn,1
728,removing,1
733,remove,1
734,negate,1
