,Word,Count
248,great,104
205,democrats,91
456,schiff,66
95,trump,66
230,impeachment,64
149,ukraine,52
110,thank,52
1043,call,50
374,nothing,48
81,never,48
76,people,48
156,news,43
1035,whistleblower,42
89,democrat,41
234,american,39
114,good,38
252,fake,38
547,adam,37
312,witch,37
570,turkey,37
526,many,37
366,years,35
652,said,34
732,united,34
75,like,33
30,even,33
115,country,33
228,congress,32
537,house,32
88,media,31
337,want,31
310,pelosi,30
37,made,29
1331,ukrainian,29
682,republican,29
313,hunt,28
733,states,27
523,vote,27
190,done,26
250,time,26
255,@foxnews,26
1147,china,25
73,also,25
895,going,25
1156,transcript,24
886,conversation,24
1115,biden,24
327,republicans,24
404,syria,24
200,party,24
600,deal,23
490,today,23
259,state,23
31,dems,22
434,much,22
236,election,22
709,fighting,22
11,kurds,22
3525,@rncresearch,22
203,ever,21
3448,henry,21
175,statement,21
232,trying,21
740,make,20
567,think,20
983,louisiana,20
540,totally,20
1110,border,20
552,really,20
395,obama,20
561,must,20
16,mark,19
786,",000",19
629,isis,18
824,wrong,18
1100,history,18
1094,military,18
959,case,18
599,work,17
1049,read,17
214,since,17
525,@seanhannity,17
209,@gopchairwoman,17
1101,country!,16
104,another,16
3446,levin,16
1114,hunter,16
778,greatest,16
309,nancy,16
699,left,16
597,governor,16
514,millions,16
58,hillary,15
111,you!,15
815,hard,15
848,trade,15
28,making,15
457,corrupt,15
794,fight,15
1287,@foxandfriends,15
336,radical,15
227,important,15
1347,phone,14
171,corruption,14
828,real,14
2352,information,14
196,clinton,14
151,protect,14
1736,minneapolis,14
165,reason,13
1091,second,13
621,always,13
133,better,13
687,tonight,13
712,love,13
986,back,13
1153,scam,13
976,record,13
210,seen,13
314,working,13
318,texas,13
237,2016,13
1037,can't,13
333,economy,13
57,crooked,13
876,impeach,12
586,total,12
898,night,12
339,know,12
1493,john,12
522,last,12
764,true,12
850,jobs,12
674,high,12
1051,words,12
807,hand,12
1489,keep,12
708,coming,12
286,book,12
571,getting,12
18,secretary,12
1494,edwards,11
