,Word,Count
5,thank,882
129,know,866
93,people,845
191,going,830
60,great,769
12,want,638
7,think,635
188,said,611
111,like,483
50,trump,475
6,much,464
36,right,444
80,american,415
49,well,400
131,years,391
200,country,385
125,many,368
23,united,360
204,good,351
30,laughter,341
24,states,336
86,time,334
115,today,328
127,really,323
43,also,320
168,never,283
158,done,270
410,deal,263
215,back,241
154,make,238
109,world,236
481,china,229
449,look,229
22,call,229
155,come,223
157,made,222
32,first,215
69,ever,209
29,tell,209
262,things,206
213,thing,202
394,even,200
287,every,195
325,trade,192
441,last,179
409,mean,170
38,work,164
13,take,162
352,state,159
71,incredible,159
788,countries,159
1082,jobs,158
10,something,157
72,vice,154
342,tremendous,152
3,everybody,147
390,believe,143
483,economy,135
491,year,134
142,long,134
4,okay,133
256,better,130
414,turkey,129
258,talk,128
438,talking,127
510,billion,127
337,ukraine,127
179,working,125
1309,agreement,123
692,military,122
164,three,122
141,came,121
312,nation,121
37,important,119
163,actually,117
550,can't,115
831,percent,115
217,heard,114
744,always,112
530,",000",111
914,secretary,109
379,congress,109
459,fighting,109
255,americans,106
140,give,105
67,little,104
83,history,104
555,money,104
473,strong,103
208,maybe,102
2190,conversation,102
1001,half,102
619,governor,101
66,thought,99
1215,hispanic,98
1103,family,98
341,democrats,98
402,administration,96
3458,indiana,95
133,coming,95
178,honor,95
442,number,95
930,together,93
1145,numbers,93
280,need,93
230,different,93
20,please,92
444,million,92
1135,usmca,92
1039,help,91
119,inaudible,91
571,anything,90
388,happened,90
201,proud,89
1823,corruption,88
327,love,88
225,since,88
8,getting,87
499,farmers,87
1036,house,87
488,dollars,87
596,happen,87
523,election,85
290,yeah,85
266,fact,84
353,went,83
1156,community,82
282,another,82
239,days,82
731,keep,81
834,life,81
687,bring,80
716,support,80
1771,four,79
291,whole,79
294,took,79
112,question,79
1368,nations,79
21,stand,79
645,general,78
990,tough,78
273,around,78
468,told,77
197,best,77
1465,fight,77
750,national,77
570,syria,76
431,happy,76
500,care,76
2202,whistleblower,75
428,everything,74
698,wanted,74
118,women,74
3044,louisiana,73
737,respect,73
448,started,73
3101,minister,73
2189,perfect,73
165,pretty,72
1663,government,72
403,biden,72
704,greatest,72
355,seen,72
330,nice,71
297,fantastic,71
2316,japan,71
82,making,71
1031,nobody,71
888,continue,70
1656,words,70
773,leadership,69
153,hard,69
991,appreciate,69
65,place,69
585,looking,69
753,including,69
559,able,69
58,hear,68
554,story,68
973,washington,67
405,saying,67
366,schiff,67
320,already,67
5174,arizona,67
1172,vote,67
3141,venezuela,67
858,across,66
627,home,66
148,hope,66
1962,probably,65
177,friend,65
1265,opportunity,64
1642,used,64
424,isis,64
592,leaders,63
701,grateful,63
3100,prime,63
251,next,63
391,meeting,62
1970,soldiers,62
1535,york,62
1346,team,62
804,week,61
529,beautiful,61
493,signed,61
2007,read,61
57,donald,61
976,business,60
16,sure,60
435,taken,60
2650,audience,60
202,millions,59
101,part,59
812,thanks,59
429,kurds,59
950,person,59
162,weeks,59
983,anybody,59
795,security,58
969,frankly,58
1308,border,58
1545,nothing,58
733,freedom,58
73,mike,58
565,somebody,58
1438,iraq,57
1386,economic,57
466,couple,56
381,understand,56
779,report,56
699,stop,55
1798,remember,55
693,families,55
944,taking,54
1584,senator,54
2313,pressure,54
2117,pelosi,54
238,five,54
2069,left,54
815,progress,54
175,close,54
295,office,53
853,speak,53
398,news,53
771,free,53
2011,media,52
221,phone,52
2127,find,52
1511,gave,52
661,service,51
921,trying,51
399,case,51
156,true,51
1130,mexico,51
696,forward,50
267,times,50
992,future,50
1035,white,50
574,company,50
259,ahead,50
660,forces,50
335,yesterday,50
452,gone,50
926,start,49
181,whatever,49
95,amazing,49
540,tariffs,49
476,sanctions,49
999,kind,48
304,force,48
854,word,48
2252,asked,47
1190,almost,47
2144,impeachment,47
361,ambassador,47
628,unemployment,47
1436,happens,47
27,guess,47
1591,steve,47
3236,iowa,47
367,republican,47
572,still,47
1921,businesses,47
478,else,47
1558,friends,46
594,worked,46
977,companies,46
358,thousands,46
2219,corrupt,46
300,level,45
1807,absolutely,45
2231,transcript,45
203,special,45
1,room,45
443,real,45
917,group,44
2095,market,44
207,lost,44
306,along,44
1907,foreign,44
1034,month,44
39,knows,44
778,europe,43
534,relationship,43
4638,zelensky,43
911,bless,43
507,second,42
214,pass,42
305,happening,42
775,standing,42
104,congratulations,42
116,especially,42
2914,wall,41
1971,away,41
700,behalf,41
1173,2016,41
411,terrible,41
1612,drug,41
1283,wonderful,41
1396,clear,41
1154,small,40
1161,workers,40
1167,healthcare,40
376,speech,40
475,powerful,40
1407,mark,40
94,must,40
160,lives,40
2116,nancy,40
4720,regime,40
994,power,40
608,decision,40
309,called,39
2089,less,39
114,watching,39
1214,african,39
117,young,39
1995,goes,39
770,leader,39
463,whether,39
343,texas,39
518,built,39
740,truth,38
4664,tennessee,38
87,woman,38
506,largest,38
28,point,38
3166,premier,38
1126,phase,38
1075,name,38
579,energy,37
413,erdoğan,37
1992,iran,37
3344,system,37
3420,join,37
1004,period,37
464,feel,37
1015,situation,37
303,defense,37
938,gets,36
1026,wants,36
408,horrible,36
1844,citizens,36
1982,russia,36
2756,federal,36
270,building,36
235,months,36
712,problem,36
1062,area,36
1080,members,36
525,open,35
392,brought,35
909,safe,35
400,fake,35
1626,lighthizer,35
882,serve,35
1124,deals,35
824,peace,35
541,european,35
1071,manufacturing,35
996,member,35
9,ready,35
706,promise,34
1894,choice,34
1821,spent,34
564,involved,34
1688,voice,34
5716,finland,34
1030,fair,34
1536,justice,34
644,meet,34
212,easy,34
298,totally,34
721,joined,34
952,republicans,34
374,statement,34
232,single,34
1337,religious,34
451,region,33
890,protect,33
1201,created,33
1908,policies,33
2529,folks,33
85,international,33
2173,wrong,33
3182,chinese,33
1981,land,33
277,build,33
364,hunt,32
313,anywhere,32
1230,trillion,32
1478,matter,32
3267,served,32
437,east,32
302,terms,32
1078,johnson,32
2593,democracy,32
754,biggest,32
139,course,32
602,it'll,32
363,witch,32
241,record,32
389,privilege,32
1869,values,32
4881,medicare,32
1147,faith,32
2372,attorney,31
2303,agriculture,31
169,forget,31
768,america's,31
412,spoke,31
436,middle,31
1121,mentioned,31
549,example,31
474,position,31
1604,guys,31
45,outside,31
2633,court,31
2894,elected,31
643,chance,31
373,press,31
531,soon,31
2750,democrat,30
659,armed,30
113,everyone,30
988,mine,30
465,success,30
652,john,30
813,agreed,30
124,credit,30
14,administrator,30
821,campaign,30
249,possible,30
1127,bigger,30
6566,maduro,29
2878,billions,29
395,though,29
288,means,29
599,representatives,29
1335,human,29
1025,smart,29
686,allow,29
2150,adam,29
2138,rudy,29
105,historic,29
425,guard,29
415,ceasefire,29
678,welcome,29
711,difference,28
598,pompeo,28
2734,years!,28
1107,chairman,28
1780,enough,28
1100,representative,28
2021,later,28
143,line,28
1901,prosperity,28
253,south,28
2634,wife,28
2625,hoax,28
1571,italy,28
1336,rights,28
3047,minnesota,28
609,knew,27
1628,farm,27
1108,lose,27
1212,lowest,27
1199,given,27
1197,decades,27
1176,increase,27
2019,issues,27
206,might,27
1339,communities,27
2038,became,27
209,message,27
957,fighters,27
2108,playing,27
2230,crazy,27
2318,impeach,27
453,watch,27
2322,senate,27
2355,sign,27
62,starting,27
5715,niinistö,27
2054,paid,27
480,stronger,27
401,obama,27
827,children,27
422,quickly,27
776,allies,27
1551,wait,26
1449,hundreds,26
2711,borders,26
1929,allowed,26
749,action,26
1378,questions,26
1027,safety,26
286,side,26
461,literally,26
380,worst,26
676,giving,26
1256,nation's,26
1271,helped,26
1131,canada,25
1483,create,25
1053,certain,25
2297,agricultural,25
580,leaving,25
1195,nearly,25
1005,reason,25
954,moving,25
445,killed,25
1175,wages,25
562,sort,25
1819,politics,25
1505,finally,25
173,moment,25
1767,show,25
675,honored,25
1298,order,25
642,without,25
4661,tyson,24
724,says,24
786,partners,24
3169,technology,24
568,leave,24
2598,public,24
717,defend,24
3496,exports,24
965,total,24
1898,union,24
1318,ensure,24
1707,heritage,24
2234,stock,24
1055,helping,24
1115,north,24
1444,others,24
2909,criminal,24
331,mind,24
161,certainly,24
159,throughout,24
15,bridenstine,24
503,services,24
490,worth,23
1069,extraordinary,23
11,exciting,23
1095,particular,23
4146,doctor,23
345,louis,23
210,anyway,23
372,badly,23
528,commitment,23
470,sometimes,23
2822,judges,23
1258,advantage,23
615,letter,23
2289,asking,23
264,plan,23
349,heart,23
53,live,23
637,base,23
811,negotiations,23
1123,cuts,23
2801,regulations,23
780,nato,23
434,control,23
1093,department,23
1240,agenda,23
1129,korea,23
1840,share,23
2217,taxes,23
2101,farmer,23
1999,ones,23
583,tonight,23
1225,hate,23
1568,italian,23
496,hopefully,23
2238,markets,22
2319,idea,22
929,gotten,22
522,investment,22
2607,liberty,22
1089,scalia,22
772,president's,22
2002,wars,22
2675,anymore,22
244,comes,22
190,step,22
2577,radical,22
556,confidence,22
1059,night,22
321,grow,22
2225,large,22
1983,fine,22
1764,winning,22
1096,congressman,22
257,fast,22
1237,prices,22
542,products,22
482,strongest,22
939,process,22
222,calls,22
2014,paying,22
912,joint,22
691,champion,21
955,zone,21
807,earlier,21
552,discuss,21
2,hello,21
456,amount,21
563,quid,21
1285,victory,21
107,truly,21
487,trillions,21
2677,ukrainian,21
368,party,21
247,within,21
916,early,21
1221,senators,21
947,would've,21
3194,bill,21
1363,cooperation,21
2435,final,21
626,found,21
1539,following,21
315,needs,21
512,india,21
311,beyond,21
1574,respected,21
2113,highest,21
3478,results,21
1033,longer,21
2142,concerned,20
940,negotiate,20
2093,become,20
2081,answer,20
502,financial,20
56,space,20
1561,reach,20
289,stay,20
2111,rebuilt,20
2276,blues,20
1951,cases,20
1754,among,20
1128,anyone,20
2200,immediately,20
2259,growing,20
595,successful,20
2898,tape,20
74,pence,20
586,putting,20
1986,supposed,20
128,talked,20
2720,socialism,20
577,outstanding,20
3604,pork,20
26,laughs,20
2253,unfortunately,20
1756,staff,20
227,spoken,20
6492,venezuelan,20
1263,signing,20
2642,stories,20
2158,city,20
798,hours,20
64,interesting,20
809,agree,20
639,germany,20
2336,political,20
629,rate,20
630,france,20
2624,makes,19
3428,thanking,19
1619,listen,19
1044,areas,19
899,ways,19
3583,conservative,19
1087,labor,19
1111,alex,19
1146,reasons,19
2643,sorry,19
739,round,19
838,army,19
471,solution,19
3675,expand,19
2285,leading,19
840,parents,19
310,closely,19
2131,waiting,19
1228,policy,19
970,partner,19
1249,ranchers,19
1570,friendship,19
2048,property,19
236,hundred,19
504,access,19
1041,particularly,19
1997,watched,19
1314,committed,19
3507,promises,19
151,dream,19
2306,agreements,19
1032,mention,19
2309,beat,19
2683,release,19
430,dealing,18
3440,prosperous,18
2034,treated,18
2710,enforcement,18
382,immunity,18
1751,father,18
746,alongside,18
3161,neighbors,18
2052,unfair,18
2083,view,18
769,role,18
1549,finish,18
943,glad,18
454,interest,18
658,uniform,18
2068,telling,18
2184,disgrace,18
989,hell,18
1248,massive,18
539,tomorrow,18
705,known,18
2228,phony,18
3073,send,18
5178,martha,18
703,simple,18
910,secure,18
958,captured,18
2001,endless,18
2115,speaker,18
1664,rule,18
2725,favor,18
3985,scam,18
40,short,18
3480,rising,18
2153,fraud,17
566,rick,17
344,opened,17
406,problems,17
2064,minute,17
789,move,17
1023,stuff,17
1523,interests,17
651,major,17
308,creating,17
2270,stanley,17
1399,discussions,17
199,represent,17
2198,exact,17
3530,importantly,17
1445,investigate,17
3261,currency,17
611,terrific,17
2667,price,17
423,full,17
1241,based,17
1629,mnuchin,17
3136,hemisphere,17
1651,spirit,17
756,troops,17
688,greetings,17
494,quite,17
2604,hold,17
485,behind,17
2651,booo,17
718,constitution,17
3212,legal,17
3687,opportunities,17
2442,running,17
78,speaking,17
694,commander-in-chief,16
2197,living,16
3673,field,16
2194,exactly,16
1724,capital,16
2088,released,16
2395,otherwise,16
397,reported,16
841,marine,16
3676,digital,16
2010,fully,16
755,raise,16
5439,health,16
1106,global,16
614,hand,16
3243,points,16
648,lieutenant,16
2838,polls,16
2575,despite,16
2632,supreme,16
2254,perhaps,16
3958,reciprocal,16
1900,growth,16
2008,saudi,16
3726,executive,16
1547,negotiating,16
6320,macallister,16
2345,thousand,16
766,strength,16
3139,cuba,16
1563,stage,16
3011,bringing,16
573,crisis,16
5697,pakistan,15
1081,cabinet,15
3103,kept,15
284,earth,15
2329,eight,15
1076,cost,15
1018,david,15
1045,miles,15
1020,sudden,15
855,gratitude,15
2664,opinion,15
2386,least,15
2009,arabia,15
5181,hoosier,15
5179,mcsally,15
5719,finnish,15
801,negotiation,15
1555,innocent,15
102,high,15
2139,giuliani,15
1812,either,15
1267,list,15
1148,promised,15
329,takes,15
2287,police,15
2407,game,15
2344,school,15
1876,afghanistan,15
2802,vets,15
745,serving,15
3406,poll,15
924,tougher,15
3039,announced,15
1133,passed,15
3502,voted,15
1909,social,15
4385,wheat,15
2097,greater,15
2098,hurt,15
1631,loves,15
4383,beef,15
1376,achieve,15
106,event,15
1966,discussing,15
1768,central,15
3498,floor,14
1635,lawyers,14
2690,personal,14
4849,illegal,14
1021,worse,14
5275,florida,14
1527,issue,14
1542,agencies,14
1639,votes,14
4836,veterans,14
998,lots,14
962,charge,14
1623,head,14
79,brave,14
908,patriots,14
44,busy,14
923,beginning,14
2364,smith,14
2324,stillman,14
2317,approved,14
2310,names,14
1383,past,14
1229,regulation,14
2134,presidents,14
1755,chiefs,14
3626,critical,14
2171,ryan,14
492,subject,14
180,representing,14
633,sending,14
2156,prosecutor,14
4030,gives,14
4028,subpoenas,14
782,common,14
2047,intellectual,14
5103,poland,14
4740,encourage,14
1312,addition,14
2864,california,14
167,imagine,14
1324,efforts,14
743,assure,14
1831,interpreted,14
1832,wish,14
1883,terrorism,14
3392,hong,14
1348,save,14
495,easily,14
2179,goods,14
1203,food,14
1957,buying,14
1977,equipment,14
4425,japanese,14
1088,gene,14
419,morning,14
4154,meese,14
535,gentleman,14
1234,natural,14
418,fire,14
92,congratulate,14
1092,talented,14
2188,nonsense,14
1236,lower,14
710,spend,14
1218,reached,13
2934,duty,13
2910,reform,13
702,deliver,13
2003,agents,13
553,whatsoever,13
1870,principles,13
365,crooked,13
347,plant,13
1227,result,13
5172,caterpillar,13
2582,front,13
2902,drugs,13
3775,democratic,13
152,willing,13
4558,salvador,13
669,courage,13
1270,named,13
985,expect,13
2072,substantially,13
5177,ducey,13
1177,higher,13
1541,officials,13
260,goal,13
2546,tony,13
3833,kevin,13
1522,fought,13
5289,seniors,13
1500,excuse,13
2547,pastor,13
3393,kong,13
714,raised,13
1408,confident,13
2222,weapons,13
4389,duvall,13
1638,meaning,13
4936,candace,13
1810,mess,13
2205,information,13
1377,benefit,13
192,moon,13
1781,grew,13
2160,crime,13
808,violence,13
2172,subpoena,13
3493,investigations,13
1748,mother,13
1627,papered,13
3176,huawei,13
835,combat,13
1370,challenges,13
2993,sides,13
46,station,13
1439,places,13
1855,supporting,13
3131,meetings,13
1853,consider,13
3200,hunter,13
2832,wrote,13
185,hearts,13
1079,county,13
2992,choose,13
836,veteran,13
3399,seems,13
3986,reporters,13
2742,doctors,13
467,unconventional,13
752,reagan,13
377,turned,13
1141,ended,13
1420,protecting,12
319,positive,12
318,export,12
1086,ross,12
2612,change,12
263,according,12
1450,rebuild,12
2349,face,12
1136,jared,12
6034,milley,12
1299,withdrawal,12
1315,peaceful,12
3222,caliphate,12
2649,sound,12
2452,hospital,12
4693,booming,12
234,mission,12
1159,highly,12
2321,fellas,12
2251,boris,12
2053,discussed,12
941,obviously,12
933,fairness,12
2269,2019,12
2262,seven,12
918,outcome,12
521,product,12
1633,andrew,12
1910,relations,12
149,provide,12
2250,turn,12
2078,stopped,12
677,warm,12
875,sense,12
108,television,12
2971,coffin,12
3058,suffering,12
497,summit,12
4945,ja'ron,12
1835,delegation,12
3989,afternoon,12
751,ronald,12
457,works,12
4079,potential,12
6194,asylum,12
1744,player,12
1796,mario,12
1773,covered,12
3628,write,12
820,played,12
814,vital,12
2272,champions,12
810,table,12
612,plane,12
617,plans,12
975,phenomenal,12
1974,plus,12
960,various,12
196,seem,12
986,effort,12
1987,policing,12
2915,rapidly,12
76,daughter,12
2020,talks,12
3144,socialist,12
137,recognize,12
346,vuitton,12
1534,southern,12
1013,includes,12
1011,seeing,12
1540,several,12
1948,courts,12
1952,amounts,12
3549,rules,12
5171,iran's,12
3423,signs,11
1350,robert,11
1838,minutes,11
2016,introduce,11
5844,mental,11
2125,personally,11
2814,industry,11
2141,acting,11
3643,deserve,11
603,needed,11
4500,association,11
4025,investigation,11
1993,trouble,11
2035,fairly,11
2085,handle,11
2591,laws,11
1875,recently,11
1942,award,11
269,correct,11
3265,transparency,11
623,death,11
1193,previous,11
2873,college,11
252,direction,11
2051,organization,11
3293,participant,11
2413,pietrangelo,11
3729,regulatory,11
2947,hardest,11
1213,century,11
150,inspiration,11
1317,basis,11
5284,patients,11
4555,catch,11
3339,september,11
138,achievement,11
240,break,11
679,looks,11
3835,forced,11
1881,coalition,11
1526,specifically,11
4032,shifty,11
3096,jerusalem,11
4394,chris,11
4157,presidential,11
2221,nuclear,11
84,joining,11
2241,games,11
3082,appointed,11
2247,honest,11
404,biden's,11
1391,effect,11
2728,planes,11
2719,serious,11
1073,celebrate,11
